holding,holding_ticker,sub_name,sub_clean,sub_ticker,qota_pct,bookval_won,sub_mc,market_val_won
SK스퀘어,402340, 에스케이텔레콤씨에스티원㈜,SK텔레콤씨에스티원,,55.4,66835000000,0,0.0
SK스퀘어,402340, 티맵모빌리티㈜,티맵모빌리티,,63.2,317576000000,0,0.0
SK스퀘어,402340, 원스토어㈜ ,원스토어,459590,45.8,82186000000,0,0.0
SK스퀘어,402340,㈜드림어스컴퍼니 ,드림어스컴퍼니,060570,22.2,38907000000,63727352780,14147472317.16
SK스퀘어,402340," id Quantique, SA.",id Quantique SA.,,0.0,0,0,0.0
SK스퀘어,402340," SK Square Americas, Inc.",SK Square Americas,,100.0,267858000000,0,0.0
SK스퀘어,402340, 인크로스㈜ ,인크로스,216050,36.1,33762000000,81297595260,29348431888.86
SK스퀘어,402340,㈜온마인드 ,온마인드,,0.0,0,0,0.0
SK스퀘어,402340,㈜그린랩스 ,그린랩스,,0.0,0,0,0.0
SK스퀘어,402340,㈜코빗 ,코빗,,0.0,0,0,0.0
SK스퀘어,402340,㈜해긴 ,해긴,,0.0,0,0,0.0
SK스퀘어,402340, 에스케이하이닉스㈜ ,SK하이닉스,000660,20.1,3374726000000,1296405601935000,260577525988935.0
SK스퀘어,402340, 코리아시큐리티홀딩스㈜ ,코리아시큐리티홀딩스,,0.0,0,0,0.0
SK스퀘어,402340,SK쉴더스㈜,SK쉴더스,,32.0,426953000000,0,0.0
SK스퀘어,402340, TGC Square Pte. Ltd ,TGC Square Pte.,,100.0,1000000,0,0.0
SK스퀘어,402340,미래에셋딥테크펀드,미래에셋딥테크펀드,,12.5,7500000000,0,0.0
SK스퀘어,402340,"IONQ, Inc.",IONQ,,0.9,189609000000,0,0.0
SK스퀘어,402340, Techmaker GmbH ,Techmaker GmbH,,0.0,0,0,0.0
SK스퀘어,402340, 콘텐츠웨이브㈜,콘텐츠웨이브,,36.7,74226000000,0,0.0
SK스퀘어,402340,㈜스파크플러스 ,스파크플러스,,0.0,0,0,0.0
SK스퀘어,402340, 11번가㈜,11번가,,0.0,0,0,0.0
SK스퀘어,402340, 에프에스케이엘앤에스㈜,에프SK엘앤에스,,60.0,17757000000,0,0.0
SK스퀘어,402340, SK플래닛㈜ ,SK플래닛,,99.5,668624000000,0,0.0
HD한국조선해양,009540,㈜케이씨씨,케이씨씨,,0.06,2148000000,0,0.0
HD한국조선해양,009540,NIKORMA TRANSPORT LTD.,NIKORMA TRANSPORT LTD.,,11.5,0,0,0.0
HD한국조선해양,009540,㈜청구,청구,,0.0,0,0,0.0
HD한국조선해양,009540,㈜하스코(동아정기),하스코,,0.01,0,0,0.0
HD한국조선해양,009540,㈜강원도민프로축구단,강원도민프로축구단,,0.01,0,0,0.0
HD한국조선해양,009540,㈜아진카인텍(KCO에너지),아진카인텍,,0.0,0,0,0.0
HD한국조선해양,009540,Enova Systems Inc.,Enova Systems,,0.46,0,0,0.0
HD한국조선해양,009540,"OSX CONSTRUCAO
NAVAL S.A.","OSX CONSTRUCAO
NAVAL S.A.",,0.2,0,0,0.0
HD한국조선해양,009540,창명해운㈜,창명해운,,0.97,1043000000,0,0.0
HD한국조선해양,009540,KC 상생투자조합,KC 상생투자조합,,16.67,5139000000,0,0.0
HD한국조선해양,009540,글로벌ICT융합펀드,글로벌ICT융합펀드,,2.0,148000000,0,0.0
HD한국조선해양,009540,㈜케이씨씨글라스,케이씨씨글라스,,0.03,127000000,0,0.0
HD한국조선해양,009540,HD현대중공업㈜,HDHD중공업,,69.23,6200239000000,0,0.0
HD한국조선해양,009540,HD현대삼호㈜,HD현대삼호,,96.65,1633459000000,0,0.0
HD한국조선해양,009540,HD현대미포㈜,HD현대미포,010620,0.0,0,0,0.0
HD한국조선해양,009540,㈜HD현대스포츠,HD현대스포츠,,100.0,5215000000,0,0.0
HD한국조선해양,009540,"HD Hyundai-Vietnam Shipbuilding Co., Ltd.",HD Hyundai-Vietnam Shipbuilding,,0.0,0,0,0.0
HD한국조선해양,009540,HHI MAURITIUS LIMITED,HHI MAURITIUS LIMITED,,100.0,0,0,0.0
HD한국조선해양,009540,Hyundai Heavy Industries Miraflores PowerPlant Inc,Hyundai Heavy Industries Miraflores PowerPlant,,100.0,0,0,0.0
HD한국조선해양,009540,Hyundai Arabia Company Ltd.,Hyundai Arabia mpany,,100.0,0,0,0.0
HD한국조선해양,009540,HD현대에너지솔루션㈜,HD현대에너지솔루션,322000,53.57,319404000000,2204160000000,1180768512000.0
HD한국조선해양,009540,"Hyundai Technology Center
India Pvt., Ltd.","Hyundai Technology Center
India Pvt.",,100.0,2139000000,0,0.0
HD한국조선해양,009540,현대중공업파워시스템㈜,HD중공업파워시스템,,0.0,0,0,0.0
HD한국조선해양,009540,Pontos Investment LLC,Pontos Investment LLC,,100.0,55385000000,0,0.0
HD한국조선해양,009540,씨마크서비스㈜,씨마크서비스,,100.0,3136000000,0,0.0
HD한국조선해양,009540,"HD Hyundai Europe Research and Development Center
GmbH","HD Hyundai Europe Research and Development Center
GmbH",,100.0,4107000000,0,0.0
HD한국조선해양,009540,HD현대마린엔진㈜,HD현대마린엔진,071970,35.05,81956000000,2686582404000,941647132602.0
HD한국조선해양,009540,HD하이드로젠㈜,HD하이드로젠,,100.0,155000000000,0,0.0
HD한국조선해양,009540,"HD Hyundai Heavy Industries Philippines, Inc.",HD Hyundai Heavy Industries Philippines,,0.0,0,0,0.0
HD한국조선해양,009540,AMC 사이언스㈜,AMC 사이언스,,84.38,27000000000,0,0.0
HD한국조선해양,009540,HD Hyundai Asia Holdings Pte. Ltd.,HD Hyundai Asia Holdings Pte.,,60.0,508271000000,0,0.0
HD한국조선해양,009540,신고려관광㈜,신고려관광,,29.0,22870000000,0,0.0
HD한국조선해양,009540,현대힘스㈜,현대힘스,460930,20.84,32501000000,611848861330,127509302701.172
HD한국조선해양,009540,현대엠파트너스㈜,현대엠파트너스,,9.93,19250000000,0,0.0
HD한국조선해양,009540,"Hyundai Green Industries Co., W.L.L.",Hyundai Green Industries  W.L.L.,,49.0,0,0,0.0
HD한국조선해양,009540,International Maritime Industries,International Maritime Industries,,20.0,46523000000,0,0.0
HD한국조선해양,009540,"HD HYUNDAI (SHANGHAI) FINANCIAL LEASING CO.,Ltd.",HD HYUNDAI  FINANCIAL LEASING CO.,,41.26,89274000000,0,0.0
HD한국조선해양,009540,"Saudi Engines
Manufacturing Company","Saudi Engines
Manufacturing mpany",,30.0,34617000000,0,0.0
HD한국조선해양,009540,Elcogen Group PLC,Elcogen Group PLC,,15.33,14816000000,0,0.0
HD한국조선해양,009540,㈜벡스코,벡스코,,7.96,5603000000,0,0.0
HD한국조선해양,009540,㈜현대경제연구원,현대경제연구원,,1.76,49000000,0,0.0
HD한국조선해양,009540,극동중기㈜,극동중기,,7.5,502000000,0,0.0
HD한국조선해양,009540,KSF 선박금융㈜,KSF 선박금융,,2.36,200000000,0,0.0
HD한국조선해양,009540,현대공조㈜,현대공조,,10.0,60000000,0,0.0
HD현대,267250,HD한국조선해양㈜,HD한국조선해양,009540,35.05,3964493000000,29441616256000,10319286497727.998
HD현대,267250,팔란티어코리아 유한회사,팔란티어코리아 유한회사,,34.0,1080000000,0,0.0
HD현대,267250,(주)메디플러스솔루션,메디플러스솔루션,,68.35,18292000000,0,0.0
HD현대,267250,HD현대일렉트릭㈜,HD현대일렉트릭,267260,35.74,569346000000,42499572165000,15189347091771.0
HD현대,267250,HD현대오일뱅크㈜,HD현대오일뱅크,,73.85,2394569000000,0,0.0
HD현대,267250,HD현대마린솔루션㈜,HD현대마린솔루션,443060,55.32,77683000000,9661610630000,5344803000516.0
HD현대,267250,HD현대미래파트너스㈜,HD현대미래파트너스,,0.0,0,0,0.0
HD현대,267250,HD현대로보틱스㈜,HD현대로보틱스,,81.82,237037000000,0,0.0
HD현대,267250,㈜아비커스,아비커스,,100.0,70000000000,0,0.0
HD현대,267250,HD현대사이트솔루션㈜,HD현대사이트솔루션,,100.0,883865000000,0,0.0
HD현대,267250,"미래에셋-현대중공업지주
신성장투자조합1호","미래에셋-HD중공업지주
신성장투자조합1호",,29.85,10000000000,0,0.0
LG,003550,엘지전자(주),LG전자,066570,35.0,3004623000000,39173755439000,13710814403650.0
LG,003550,"LG Holdings Japan Co., Ltd.",LG Holdings Japan,,100.0,191080000000,0,0.0
LG,003550,ZKW Holding GmbH,ZKW Holding GmbH,,30.0,39082000000,0,0.0
