순위,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%)
1,B4: HV→TS-8% SL-7% / LV→TS-15% SL-10%,153.88,35.64,4.318,0.828,123199.18
2,B2: TS-8% SL-7%,153.55,35.64,4.308,0.828,121955.57
3,B4: HV→TS-8% / LV→TS-15%,153.08,35.64,4.295,0.826,120242.99
4,B3: TS-8% TP+50%,152.35,35.64,4.275,0.825,117611.37
5,B2: TS-8% SL-8%,152.14,35.64,4.269,0.824,116879.21
6,B2: TS-8% SL-10%,152.14,35.64,4.269,0.824,116879.21
7,B2: TS-8% SL-12%,152.14,35.64,4.269,0.824,116879.21
8,B2: TS-8% SL-15%,152.14,35.64,4.269,0.824,116879.21
9,B3: TS-8% TP+100%,151.94,35.64,4.263,0.824,116181.61
10,B3: TS-8% TP+150%,151.94,35.64,4.263,0.824,116181.61
11,B3: TS-8% TP+200%,151.61,35.64,4.254,0.823,115011.99
12,B3: TS-8% TP+75%,151.38,35.64,4.248,0.822,114211.71
13,B3: TS-8% TP+30%,148.16,35.64,4.157,0.814,103495.8
14,"v80 baseline (TS-15%, SL-10%)",148.24,35.73,4.149,0.815,103734.08
15,B4: HV→TS-15% / LV→TS-8% (역),147.32,35.73,4.123,0.812,100831.75
