sl_cd,ts_cd,7.8y,cagr,mdd,WF1,WF2,WF3,WF4,wf_min,wf_mean,cv
0,1,4.27,140.48,32.9,6.414,2.801,4.19,7.559,2.801,5.2410000000000005,0.35449450023932233
0,5,4.213,137.91,32.73,8.487,2.801,3.912,6.418,2.801,5.4045,0.4089012985811504
0,2,4.199,138.11,32.89,7.626,2.752,4.116,6.499,2.752,5.24825,0.3656591047877919
0,3,4.149,135.99,32.78,7.416,2.813,3.876,6.179,2.813,5.071,0.3589533804696984
1,2,3.925,135.27,34.46,7.593,2.781,5.007,6.338,2.781,5.42975,0.328154009420075
1,1,3.91,134.77,34.46,6.228,2.798,5.037,7.041,2.798,5.276,0.3029509121422273
0,0,3.861,137.95,35.73,6.283,2.582,4.188,7.351,2.582,5.101,0.3619918931689644
1,5,3.764,129.14,34.31,8.795,2.807,4.804,4.321,2.807,5.181749999999999,0.4269572093669356
1,3,3.746,128.68,34.35,7.356,2.812,4.82,4.52,2.812,4.877,0.33284731140106805
0,7,3.734,124.93,33.46,8.722,2.315,3.695,4.475,2.315,4.80175,0.4981222298349579
1,0,3.731,133.3,35.73,6.215,2.476,5.032,6.954,2.476,5.16925,0.32874488469049906
0,20,3.724,138.84,37.28,7.869,2.895,4.97,3.831,2.895,4.891249999999999,0.3822434782118808
1,20,3.648,137.15,37.6,8.132,2.9,5.979,3.735,2.9,5.1865,0.3932409385877697
5,20,3.639,135.55,37.25,8.048,2.407,6.062,3.808,2.407,5.08125,0.42365314635203655
7,0,3.628,129.64,35.73,6.201,2.004,5.51,4.644,2.004,4.58975,0.3467602171749119
2,5,3.628,127.62,35.18,8.556,2.53,4.87,4.684,2.53,5.16,0.4197022109981215
3,20,3.612,133.05,36.83,8.051,2.347,6.009,3.804,2.347,5.05275,0.42888473468125976
10,20,3.605,137.51,38.15,8.538,2.475,6.829,3.487,2.475,5.33225,0.46019416729362783
3,0,3.602,128.7,35.73,6.183,2.1,5.066,5.139,2.1,4.622,0.3292181549949558
2,1,3.593,126.95,35.34,6.247,2.581,4.992,4.712,2.581,4.633,0.2845285087275564
2,0,3.586,128.13,35.73,6.234,2.279,4.989,4.901,2.279,4.60075,0.31307765595403414
10,5,3.538,132.57,37.48,9.278,2.164,5.812,4.417,2.164,5.41775,0.476389061077428
10,0,3.537,126.38,35.73,6.825,1.933,5.39,4.2,1.933,4.587,0.39069790126304244
7,20,3.525,135.83,38.54,7.726,2.331,6.766,3.625,2.331,5.112,0.43206645667039983
2,3,3.51,123.64,35.22,7.153,2.519,4.733,4.591,2.519,4.7490000000000006,0.3456396416406956
2,2,3.503,123.77,35.33,7.412,2.523,5.063,4.066,2.523,4.766,0.37254899297294636
3,1,3.498,126.96,36.29,6.17,2.284,5.068,5.06,2.284,4.6455,0.3091672186246999
20,5,3.493,130.95,37.49,9.093,2.321,4.409,4.271,2.321,5.0235,0.4957483201076238
15,0,3.482,124.42,35.73,6.857,1.672,5.437,4.588,1.672,4.6385000000000005,0.40850761969665844
2,20,3.479,131.64,37.84,7.915,2.649,5.909,3.53,2.649,5.00075,0.41238940840701405
3,5,3.476,125.61,36.14,8.622,2.12,4.889,4.853,2.12,5.121,0.4515511112632126
20,0,3.476,129.61,37.29,7.001,2.048,5.347,4.142,2.048,4.6345,0.3895960299167423
5,0,3.474,124.11,35.73,6.467,1.883,5.131,4.236,1.883,4.42925,0.37720817051221034
10,1,3.461,131.27,37.93,6.776,2.191,5.374,4.854,2.191,4.798749999999999,0.34625973021903245
15,5,3.459,129.67,37.49,8.912,1.893,5.72,4.715,1.893,5.3100000000000005,0.4724305248687621
7,5,3.446,130.5,37.87,8.305,2.177,5.728,4.293,2.177,5.12575,0.4347009190666532
5,5,3.442,125.86,36.57,8.636,2.065,5.04,4.412,2.065,5.03825,0.4673411043397487
20,1,3.439,130.59,37.98,6.517,2.237,5.332,4.769,2.237,4.713750000000001,0.3315731369651631
5,1,3.435,126.13,36.72,6.415,2.028,5.117,4.662,2.028,4.555499999999999,0.3500663654461479
20,3,3.428,129.38,37.74,7.47,2.127,6.035,4.243,2.127,4.96875,0.4024578165894341
10,10,3.405,129.91,38.15,9.96,2.092,6.41,3.363,2.092,5.456250000000001,0.5566078898603439
7,1,3.405,129.45,38.02,6.132,2.15,5.494,4.918,2.15,4.6735,0.3250034874926744
0,15,3.373,130.83,38.79,8.404,2.575,4.513,3.444,2.575,4.734,0.47048605104815033
3,2,3.371,122.35,36.29,7.432,2.197,4.948,4.217,2.197,4.6985,0.39851144102406133
3,3,3.366,121.79,36.18,7.132,2.102,4.977,4.737,2.102,4.737,0.3767017490956036
15,1,3.332,126.12,37.85,6.489,1.801,5.422,5.276,1.801,4.747,0.37163538999275436
5,3,3.315,121.35,36.61,7.183,1.972,5.339,4.267,1.972,4.69025,0.4017533539694211
1,15,3.312,130.21,39.31,8.679,2.587,5.442,3.413,2.587,5.03025,0.46693966620132643
20,20,3.312,130.88,39.51,8.165,2.765,6.82,2.646,2.646,5.099,0.47865139443763166
10,15,3.308,129.24,39.07,9.16,2.171,6.251,3.142,2.171,5.181,0.5303024770809626
5,10,3.298,122.85,37.25,9.265,2.09,5.685,3.048,2.09,5.022,0.5537641031739718
10,3,3.298,124.74,37.82,7.627,1.989,5.679,4.259,1.989,4.8885000000000005,0.42081637453115384
2,7,3.294,118.16,35.88,8.762,2.076,3.632,4.229,2.076,4.67475,0.5320549960401584
5,7,3.267,121.71,37.25,8.972,1.902,4.242,4.603,1.902,4.92975,0.5180309238022759
2,10,3.264,117.1,35.88,9.108,1.958,5.09,3.352,1.958,4.877,0.5501233435182433
7,3,3.238,122.77,37.91,6.882,2.042,5.687,4.059,2.042,4.6675,0.38930173226589126
15,3,3.236,122.13,37.74,7.316,1.66,5.901,4.459,1.66,4.834,0.4328650132582464
15,10,3.23,123.26,38.16,9.574,1.902,5.987,3.273,1.902,5.184,0.565206822349329
15,20,3.223,130.33,40.44,8.002,2.546,6.813,2.785,2.546,5.0365,0.4783996311622941
5,15,3.212,125.55,39.09,8.591,2.133,5.519,3.16,2.133,4.850750000000001,0.5120837343912013
3,15,3.198,124.96,39.07,8.613,2.01,5.469,3.386,2.01,4.8694999999999995,0.5108335599337209
3,7,3.19,117.48,36.82,8.962,1.808,3.708,4.868,1.808,4.8365,0.5417975661711055
3,10,3.185,117.29,36.82,9.319,1.832,5.254,3.176,1.832,4.895250000000001,0.5781293606281086
10,2,3.172,120.33,37.93,7.936,1.976,5.859,3.221,1.976,4.747999999999999,0.4873061425883963
5,2,3.166,116.26,36.72,7.463,1.956,5.063,3.359,1.956,4.46025,0.46035087332211
7,2,3.166,120.36,38.02,7.156,2.078,5.758,3.335,2.078,4.58175,0.4342369345686367
20,7,3.158,120.5,38.16,9.452,2.157,3.295,4.141,2.157,4.76125,0.5877043083353737
1,7,3.153,121.0,38.38,9.004,2.337,3.79,3.482,2.337,4.65325,0.5522129533420058
20,10,3.153,124.31,39.43,9.765,2.331,4.764,2.813,2.331,4.91825,0.5983466322173793
7,15,3.15,126.88,40.28,8.259,2.126,6.192,2.977,2.126,4.8885,0.5046565259697294
15,15,3.138,122.62,39.07,8.59,2.109,6.236,2.822,2.109,4.9392499999999995,0.5308793861504871
2,15,3.127,122.93,39.31,8.448,2.247,5.374,3.176,2.247,4.811249999999999,0.4961395610501523
10,7,3.114,118.8,38.15,9.643,1.807,3.668,4.082,1.807,4.800000000000001,0.6092605483687673
20,15,3.106,123.05,39.62,8.763,2.388,6.243,2.502,2.388,4.973999999999999,0.539134198051288
15,2,3.092,117.01,37.85,7.615,1.666,5.697,3.56,1.666,4.6345,0.48222767704347724
7,7,3.066,118.14,38.54,8.635,1.854,3.906,4.115,1.854,4.6275,0.5352069134838926
0,10,3.059,121.42,39.7,9.069,2.317,4.274,2.879,2.317,4.63475,0.5733666716626529
15,7,2.996,114.34,38.16,9.266,1.753,3.36,3.789,1.753,4.542,0.6232993998527394
1,10,2.991,120.56,40.3,9.358,2.226,5.263,2.869,2.226,4.929,0.5673179827256281
20,2,2.836,119.32,42.07,7.774,2.194,4.471,2.883,2.194,4.3305,0.49711337325856797
7,10,2.806,117.83,41.98,8.921,1.872,6.231,2.346,1.872,4.8425,0.5986726145681548
