기간,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%),평균 보유
2026 YTD,baseline (no corr filter),1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,corr ≤ 0.7,1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,corr ≤ 0.6,1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,corr ≤ 0.5,1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,corr ≤ 0.4,1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,corr ≤ 0.3,1367.23,23.96,57.072,3.596,142.22,2.9
2024~2026 (2.3y),baseline (no corr filter),233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3y),corr ≤ 0.7,233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3y),corr ≤ 0.6,233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3y),corr ≤ 0.5,233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3y),corr ≤ 0.4,233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3y),corr ≤ 0.3,233.29,25.89,9.011,2.437,1415.3,2.9
2018~2026 (7.8y),baseline (no corr filter),148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8y),corr ≤ 0.7,148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8y),corr ≤ 0.6,148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8y),corr ≤ 0.5,148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8y),corr ≤ 0.4,148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8y),corr ≤ 0.3,148.24,35.73,4.149,0.815,103734.08,3.0
