순위,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%)
1,Static G-tilt (baseline),148.24,35.73,4.149,0.815,103734.08
2,Dyn lb=30d top1,142.29,37.64,3.781,0.801,86176.54
3,Dyn lb=120d top1,141.84,38.66,3.669,0.8,84949.6
4,Dyn lb=120d softmax,133.48,37.02,3.606,0.776,64910.94
5,Dyn lb=252d softmax,132.37,37.59,3.521,0.774,62588.98
6,Dyn lb=252d top1,131.18,37.6,3.489,0.773,60174.45
7,Dyn lb=60d softmax,126.78,36.98,3.428,0.758,51945.28
8,Dyn lb=120d top2_avg,126.56,37.16,3.405,0.759,51570.11
9,Dyn lb=252d top2_avg,123.06,37.19,3.309,0.749,45769.6
10,Dyn lb=30d softmax,122.37,37.21,3.289,0.746,44703.69
11,Dyn lb=60d top2_avg,119.55,36.95,3.236,0.74,40534.89
12,Dyn lb=30d top2_avg,118.96,37.83,3.144,0.738,39711.1
13,Dyn lb=60d top1,119.75,38.13,3.14,0.743,40815.14
