MA,days,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
170,10,81.55,1.585,2.518,1.92,42.47,9504.39,0.0,81.55,2.8
250,8,76.76,1.522,2.392,1.865,41.16,7728.26,0.0,76.76,2.8
170,8,78.45,1.548,2.471,1.854,42.31,8320.64,0.0,78.45,2.8
250,7,76.83,1.523,2.392,1.854,41.45,7750.37,0.0,76.83,2.8
170,7,76.28,1.519,2.424,1.849,41.25,7566.26,0.0,76.28,2.8
200,8,76.07,1.512,2.419,1.827,41.64,7496.2,0.0,76.07,2.8
200,7,74.69,1.493,2.389,1.811,41.25,7051.93,0.0,74.69,2.8
170,5,77.81,1.539,2.451,1.789,43.49,8090.9,0.0,77.81,2.8
200,10,78.27,1.54,2.448,1.728,45.28,8253.33,0.0,78.27,2.8
200,3,74.01,1.487,2.369,1.648,44.91,6843.55,0.0,74.01,2.8
250,10,67.0,1.406,2.182,1.609,41.64,4968.67,0.0,67.0,2.8
120,7,66.84,1.394,2.218,1.598,41.83,4931.58,0.0,66.84,2.8
200,5,73.9,1.488,2.381,1.556,47.49,6810.18,0.0,73.9,2.8
150,10,75.05,1.504,2.392,1.552,48.35,7167.97,0.0,75.05,2.8
120,8,66.88,1.393,2.222,1.546,43.26,4939.97,0.0,66.88,2.8
150,5,69.83,1.432,2.288,1.537,45.42,5662.85,0.0,69.83,2.8
250,5,73.58,1.482,2.368,1.52,48.4,6711.59,0.0,73.58,2.8
120,5,61.17,1.305,2.017,1.512,40.46,3760.47,0.0,61.17,2.8
250,3,72.56,1.467,2.337,1.447,50.13,6412.68,0.0,72.56,2.8
200,15,69.34,1.42,2.204,1.347,51.48,5538.04,0.0,69.34,2.8
150,8,66.79,1.4,2.23,1.325,50.43,4920.23,0.0,66.79,2.8
120,10,69.06,1.427,2.29,1.323,52.18,5465.72,0.0,69.06,2.8
170,15,68.51,1.414,2.224,1.32,51.89,5330.64,0.0,68.51,2.8
120,3,58.44,1.265,1.945,1.317,44.39,3288.5,0.0,58.44,2.8
150,7,65.14,1.374,2.191,1.304,49.95,4551.74,0.0,65.14,2.8
120,15,66.46,1.385,2.212,1.299,51.18,4843.3,0.0,66.46,2.8
170,3,66.65,1.389,2.218,1.292,51.58,4886.32,0.0,66.65,2.8
150,15,67.58,1.405,2.198,1.259,53.69,5104.44,0.0,67.58,2.8
150,3,57.94,1.266,1.949,1.244,46.57,3207.03,0.0,57.94,2.8
250,15,57.3,1.263,1.961,1.174,48.8,3105.97,0.0,57.3,2.8
