V,Q,G,M,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
20,0,50,30,85.32,1.603,2.507,1.94,43.97,11141.65,0.0,85.32,2.8
15,0,55,30,81.55,1.585,2.518,1.92,42.47,9504.39,0.0,81.55,2.8
15,0,60,25,79.53,1.536,2.452,1.859,42.78,8717.2,0.0,79.53,2.8
5,0,70,25,77.48,1.526,2.449,1.835,42.22,7976.08,0.0,77.48,2.8
20,5,50,25,74.51,1.478,2.309,1.785,41.75,6997.86,0.0,74.51,2.8
10,0,60,30,73.49,1.473,2.327,1.781,41.27,6684.56,0.0,73.49,2.8
25,0,40,35,71.45,1.424,2.176,1.775,40.24,6097.99,0.0,71.45,2.8
10,0,70,20,70.25,1.441,2.319,1.767,39.76,5774.04,0.0,70.25,2.8
15,5,55,25,69.2,1.426,2.238,1.739,39.8,5501.69,0.0,69.2,2.8
20,0,60,20,68.5,1.401,2.217,1.725,39.7,5327.95,0.0,68.5,2.8
10,5,70,15,66.22,1.39,2.193,1.716,38.59,4790.68,0.0,66.22,2.8
10,5,55,30,81.36,1.566,2.479,1.71,47.58,9429.32,0.0,81.36,2.8
10,0,50,40,80.09,1.539,2.422,1.691,47.36,8930.3,0.0,80.09,2.8
15,5,50,30,79.97,1.548,2.427,1.64,48.76,8883.95,0.0,79.97,2.8
20,0,55,25,67.49,1.404,2.195,1.633,41.33,5082.41,0.0,67.49,2.8
15,10,60,15,62.86,1.348,2.099,1.63,38.57,4082.62,0.0,62.86,2.8
25,5,40,30,61.09,1.322,2.027,1.627,37.56,3747.1,0.0,61.09,2.8
15,5,70,10,61.47,1.334,2.098,1.625,37.83,3817.11,0.0,61.47,2.8
10,10,70,10,64.06,1.356,2.123,1.622,39.49,4324.79,0.0,64.06,2.8
25,0,50,25,64.44,1.357,2.094,1.62,39.78,4402.8,0.0,64.44,2.8
5,5,70,20,71.39,1.448,2.314,1.614,44.23,6080.32,0.0,71.39,2.8
15,0,50,35,74.99,1.481,2.31,1.579,47.51,7148.69,0.0,74.99,2.8
10,5,60,25,70.2,1.423,2.267,1.558,45.07,5760.0,0.0,70.2,2.8
20,5,60,15,61.12,1.317,2.062,1.548,39.49,3752.64,0.0,61.12,2.8
25,10,40,25,62.94,1.34,2.068,1.513,41.61,4097.76,0.0,62.94,2.8
20,10,40,30,65.06,1.361,2.123,1.485,43.81,4533.98,0.0,65.06,2.8
20,0,70,10,62.26,1.339,2.092,1.48,42.08,3965.94,0.0,62.26,2.8
5,5,50,40,78.06,1.51,2.373,1.411,55.34,8180.2,0.0,78.06,2.8
15,5,60,20,61.09,1.318,2.067,1.402,43.59,3747.07,0.0,61.09,2.8
5,10,70,15,63.36,1.341,2.119,1.391,45.54,4181.72,0.0,63.36,2.8
0,5,70,25,66.31,1.377,2.126,1.368,48.46,4810.62,0.0,66.31,2.8
25,5,50,20,56.54,1.254,1.911,1.368,41.32,2988.45,0.0,56.54,2.8
20,5,55,20,54.2,1.224,1.895,1.365,39.7,2652.67,0.0,54.2,2.8
20,10,55,15,53.31,1.21,1.865,1.364,39.09,2533.49,0.0,53.31,2.8
5,5,60,30,63.26,1.353,2.112,1.334,47.42,4161.59,0.0,63.26,2.8
0,10,70,20,62.94,1.316,2.042,1.332,47.24,4097.37,0.0,62.94,2.8
5,10,60,25,65.87,1.36,2.09,1.33,49.52,4712.21,0.0,65.87,2.8
25,10,55,10,55.71,1.237,1.822,1.325,42.03,2865.15,0.0,55.71,2.8
10,10,40,40,67.41,1.382,2.175,1.32,51.08,5064.65,0.0,67.41,2.8
15,5,40,40,62.39,1.287,1.884,1.313,47.53,3990.67,0.0,62.39,2.8
10,10,55,25,62.82,1.32,1.977,1.309,48.0,4074.75,0.0,62.82,2.8
20,10,60,10,56.91,1.244,1.819,1.309,43.48,3044.76,0.0,56.91,2.8
25,0,55,20,55.7,1.241,1.902,1.306,42.66,2864.89,0.0,55.7,2.8
20,5,40,35,55.01,1.223,1.888,1.294,42.52,2765.85,0.0,55.01,2.8
25,10,50,15,55.12,1.244,1.923,1.294,42.59,2780.97,0.0,55.12,2.8
0,10,60,30,61.88,1.295,1.819,1.282,48.26,3892.92,0.0,61.88,2.8
25,5,55,15,54.16,1.207,1.762,1.275,42.49,2647.42,0.0,54.16,2.8
10,10,50,30,63.28,1.315,1.927,1.274,49.68,4164.94,0.0,63.28,2.8
0,10,55,35,67.75,1.361,1.919,1.269,53.4,5144.34,0.0,67.75,2.8
20,0,40,40,50.31,1.147,1.776,1.251,40.22,2164.1,0.0,50.31,2.8
10,0,55,35,71.19,1.417,2.156,1.247,57.1,6026.83,0.0,71.19,2.8
15,10,50,25,63.65,1.351,2.078,1.23,51.75,4239.07,0.0,63.65,2.8
15,10,40,35,64.41,1.353,2.116,1.225,52.59,4396.92,0.0,64.41,2.8
0,0,70,30,66.85,1.382,2.086,1.219,54.84,4932.28,0.0,66.85,2.8
5,0,55,40,69.1,1.396,2.137,1.203,57.45,5477.24,0.0,69.1,2.8
25,5,60,10,51.38,1.167,1.72,1.199,42.85,2289.56,0.0,51.38,2.8
10,10,60,20,55.56,1.212,1.795,1.197,46.42,2844.07,0.0,55.56,2.8
20,10,50,20,49.59,1.157,1.769,1.135,43.68,2081.45,0.0,49.59,2.8
5,10,50,35,61.0,1.286,1.884,1.114,54.78,3730.76,0.0,61.0,2.8
0,0,60,40,67.1,1.375,2.094,1.101,60.95,4990.39,0.0,67.1,2.8
10,5,50,35,68.39,1.392,2.133,1.098,62.27,5300.28,0.0,68.39,2.8
15,10,55,20,50.77,1.172,1.815,1.093,46.43,2217.29,0.0,50.77,2.8
15,0,70,15,49.03,1.127,1.659,1.085,45.17,2019.73,0.0,49.03,2.8
25,0,60,15,45.07,1.066,1.559,1.083,41.63,1625.18,0.0,45.07,2.8
5,0,60,35,63.15,1.317,1.927,1.0,63.13,4139.69,0.0,63.15,2.8
0,10,50,40,61.89,1.286,1.829,0.967,64.03,3895.44,0.0,61.89,2.8
5,5,55,35,64.36,1.327,1.941,0.962,66.88,4385.75,0.0,64.36,2.8
0,5,60,35,61.14,1.281,1.807,0.952,64.24,3755.87,0.0,61.14,2.8
0,5,55,40,61.81,1.276,1.787,0.895,69.05,3879.51,0.0,61.81,2.8
5,10,55,30,52.38,1.143,1.411,0.878,59.66,2413.98,0.0,52.38,2.8
