V,Q,G,M,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
30,15,10,45,90.39,1.655,2.617,2.288,39.51,13722.21,0.0,90.39,2.8
35,20,20,25,88.76,1.621,2.593,2.204,40.26,12843.51,0.0,88.76,2.9
20,20,10,50,93.37,1.681,2.689,2.199,42.47,15468.43,0.0,93.37,2.8
20,10,15,55,97.64,1.712,2.7,2.03,48.1,18302.08,0.0,97.64,2.7
20,15,15,50,93.87,1.669,2.682,2.027,46.3,15779.98,0.0,93.87,2.8
40,20,15,25,81.87,1.577,2.511,2.022,40.49,9637.55,0.0,81.87,2.9
30,15,25,30,83.15,1.557,2.508,1.993,41.72,10173.37,0.0,83.15,2.9
25,20,10,45,80.19,1.544,2.449,1.99,40.31,8968.44,0.0,80.19,2.8
35,10,25,30,87.2,1.588,2.556,1.976,44.12,12046.42,0.0,87.2,2.9
40,15,20,25,77.43,1.495,2.326,1.976,39.18,7957.79,0.0,77.43,2.8
40,5,20,35,87.46,1.628,2.558,1.967,44.47,12176.95,0.0,87.46,2.8
40,5,25,30,91.37,1.602,2.63,1.961,46.59,14279.68,0.0,91.37,2.8
25,10,15,50,96.76,1.72,2.678,1.959,49.38,17680.04,0.0,96.76,2.8
20,20,15,45,85.59,1.578,2.471,1.948,43.92,11267.12,0.0,85.59,2.8
25,10,10,55,89.97,1.64,2.59,1.943,46.3,13492.21,0.0,89.97,2.8
30,15,15,40,85.32,1.603,2.507,1.94,43.97,11141.65,0.0,85.32,2.8
20,15,10,55,88.56,1.625,2.551,1.909,46.39,12737.07,0.0,88.56,2.8
30,5,15,50,95.33,1.695,2.606,1.889,50.47,16719.8,0.0,95.33,2.8
30,10,10,50,86.69,1.617,2.558,1.878,46.16,11797.15,0.0,86.69,2.8
25,15,10,50,85.54,1.595,2.545,1.85,46.23,11244.48,0.0,85.54,2.8
30,5,10,55,85.53,1.601,2.479,1.847,46.3,11239.96,0.0,85.53,2.7
15,5,25,55,96.22,1.662,2.584,1.845,52.15,17310.36,0.0,96.22,2.8
40,15,15,30,79.8,1.548,2.435,1.841,43.35,8820.87,0.0,79.8,2.9
40,10,20,30,81.63,1.566,2.459,1.83,44.61,9540.01,0.0,81.63,2.9
40,20,10,30,76.98,1.517,2.392,1.828,42.12,7802.2,0.0,76.98,2.9
40,10,10,40,83.07,1.593,2.465,1.818,45.7,10140.01,0.0,83.07,2.9
25,15,15,45,85.66,1.591,2.515,1.813,47.24,11301.53,0.0,85.66,2.8
35,15,25,25,79.93,1.5,2.394,1.795,44.53,8869.4,0.0,79.93,2.9
30,20,25,25,84.11,1.546,2.472,1.79,46.98,10593.46,0.0,84.11,2.9
30,10,15,45,86.64,1.607,2.499,1.787,48.49,11772.91,0.0,86.64,2.8
35,10,20,35,80.32,1.541,2.397,1.779,45.15,9017.76,0.0,80.32,2.9
30,20,10,40,86.93,1.627,2.566,1.768,49.17,11914.42,0.0,86.93,2.8
20,5,25,50,93.15,1.605,2.587,1.764,52.8,15335.24,0.0,93.15,2.8
40,10,25,25,82.05,1.547,2.455,1.76,46.63,9710.83,0.0,82.05,2.9
40,15,10,35,79.97,1.555,2.441,1.724,46.39,8883.22,0.0,79.97,2.8
35,10,10,45,84.35,1.598,2.46,1.717,49.13,10701.51,0.0,84.35,2.8
15,20,15,50,84.04,1.564,2.428,1.714,49.03,10563.99,0.0,84.04,2.8
20,20,20,40,74.5,1.461,2.276,1.695,43.96,6994.26,0.0,74.5,2.9
30,20,15,35,73.11,1.446,2.259,1.599,45.72,6573.71,0.0,73.11,2.8
15,15,15,55,81.57,1.531,2.373,1.598,51.04,9513.65,0.0,81.57,2.7
35,20,15,30,77.7,1.518,2.372,1.592,48.82,8053.17,0.0,77.7,2.8
30,20,20,30,74.43,1.456,2.309,1.567,47.5,6972.38,0.0,74.43,2.8
35,5,10,50,82.76,1.583,2.411,1.563,52.96,10006.2,0.0,82.76,2.8
20,10,20,50,89.58,1.609,2.527,1.536,58.32,13279.35,0.0,89.58,2.8
15,20,20,45,75.97,1.459,2.291,1.527,49.74,7464.39,0.0,75.97,2.8
35,20,10,35,75.24,1.487,2.319,1.525,49.34,7226.38,0.0,75.24,2.8
35,15,15,35,76.39,1.503,2.353,1.502,50.85,7605.22,0.0,76.39,2.8
30,5,20,45,91.99,1.649,2.587,1.49,61.72,14638.54,0.0,91.99,2.8
35,15,20,30,76.07,1.482,2.33,1.48,51.4,7497.37,0.0,76.07,2.9
35,15,10,40,79.6,1.538,2.39,1.478,53.86,8745.37,0.0,79.6,2.8
40,10,15,35,71.82,1.45,2.241,1.457,49.28,6200.77,0.0,71.82,2.8
25,20,15,40,71.94,1.429,2.244,1.449,49.64,6234.71,0.0,71.94,2.9
25,5,20,50,86.75,1.583,2.5,1.423,60.95,11825.83,0.0,86.75,2.7
40,5,10,45,75.31,1.488,2.288,1.423,52.91,7249.32,0.0,75.31,2.8
20,5,20,55,88.79,1.602,2.511,1.415,62.75,12858.2,0.0,88.79,2.7
20,15,20,45,81.69,1.525,2.375,1.404,58.2,9561.89,0.0,81.69,2.8
15,10,25,50,90.28,1.603,2.481,1.402,64.38,13661.31,0.0,90.28,2.8
15,15,20,50,83.09,1.521,2.296,1.386,59.95,10148.53,0.0,83.09,2.8
25,10,20,45,83.16,1.546,2.424,1.381,60.22,10179.91,0.0,83.16,2.8
20,20,25,35,63.6,1.308,2.028,1.374,46.29,4229.25,0.0,63.6,2.8
35,5,15,45,81.14,1.55,2.387,1.371,59.19,9339.65,0.0,81.14,2.8
15,20,10,55,79.43,1.516,2.386,1.369,58.01,8679.05,0.0,79.43,2.8
20,10,25,45,85.82,1.529,2.45,1.368,62.72,11377.83,0.0,85.82,2.8
30,15,20,35,72.9,1.439,2.245,1.364,53.45,6512.05,0.0,72.9,2.8
40,5,15,40,76.99,1.507,2.338,1.362,56.53,7806.92,0.0,76.99,2.8
35,5,20,40,82.77,1.562,2.404,1.349,61.37,10012.25,0.0,82.77,2.8
35,10,15,40,75.31,1.481,2.269,1.349,55.81,7249.4,0.0,75.31,2.8
30,10,20,40,80.5,1.525,2.363,1.343,59.96,9090.76,0.0,80.5,2.8
25,5,15,55,79.41,1.506,2.34,1.338,59.34,8673.2,0.0,79.41,2.7
25,20,25,30,70.23,1.394,2.202,1.335,52.63,5769.53,0.0,70.23,2.9
20,15,25,40,74.35,1.427,2.207,1.301,57.14,6948.06,0.0,74.35,2.8
25,20,20,35,66.86,1.362,2.127,1.276,52.38,4935.17,0.0,66.86,2.9
35,5,25,35,76.81,1.467,2.303,1.267,60.64,7746.18,0.0,76.81,2.8
25,5,25,45,84.07,1.517,2.417,1.249,67.34,10575.85,0.0,84.07,2.8
15,10,20,55,85.11,1.555,2.398,1.227,69.36,11046.2,0.0,85.11,2.8
