gs1,gs2,mom,g_rev,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
rev_z,oca_z,12m,0.5,93.76,1.713,2.752,2.437,38.48,15712.41,0.0,93.76,2.8
rev_z,oca_z,12m,0.6,90.39,1.655,2.617,2.288,39.51,13722.21,0.0,90.39,2.8
oca_z,gp_growth_z,12m-1m,0.8,77.9,1.528,2.382,2.156,36.12,8123.83,0.0,77.9,2.8
rev_z,oca_z,12m-1m,0.5,79.55,1.564,2.477,2.113,37.65,8726.24,0.0,79.55,2.8
rev_z,oca_z,12m-1m,0.6,75.79,1.507,2.341,2.013,37.65,7404.83,0.0,75.79,2.8
oca_z,gp_growth_z,12m,0.7,73.7,1.474,2.35,1.956,37.67,6748.89,0.0,73.7,2.8
oca_z,gp_growth_z,12m-1m,0.5,77.79,1.523,2.419,1.94,40.11,8085.27,0.0,77.79,2.8
oca_z,gp_growth_z,12m,0.8,72.06,1.443,2.268,1.913,37.67,6270.4,0.0,72.06,2.8
oca_z,gp_growth_z,12m,0.5,77.57,1.526,2.389,1.896,40.91,8007.74,0.0,77.57,2.8
oca_z,gp_growth_z,12m-1m,0.7,69.47,1.42,2.226,1.894,36.68,5570.15,0.0,69.47,2.8
rev_z,gp_growth_z,12m-1m,0.6,75.76,1.494,2.404,1.876,40.38,7395.96,0.0,75.76,2.8
rev_z,rev_accel_z,12m,0.7,65.77,1.375,2.183,1.838,35.78,4689.05,0.0,65.77,2.8
rev_z,oca_z,12m,0.7,75.92,1.476,2.27,1.814,41.85,7446.68,0.0,75.92,2.8
rev_z,rev_accel_z,12m,0.8,65.51,1.355,2.156,1.811,36.18,4631.38,0.0,65.51,2.8
oca_z,gp_growth_z,12m-1m,0.6,69.91,1.428,2.252,1.774,39.42,5683.98,0.0,69.91,2.8
oca_z,gp_growth_z,6m-1m,0.7,62.79,1.348,2.111,1.772,35.44,4067.84,0.0,62.79,2.8
rev_z,gp_growth_z,12m,0.6,66.04,1.359,2.13,1.717,38.46,4749.74,0.0,66.04,2.8
oca_z,gp_growth_z,12m,0.6,68.1,1.401,2.195,1.711,39.8,5229.63,0.0,68.1,2.8
rev_z,gp_growth_z,12m,0.8,64.47,1.332,2.092,1.7,37.93,4409.68,0.0,64.47,2.8
rev_z,gp_growth_z,12m,0.5,64.14,1.345,2.156,1.694,37.86,4340.2,0.0,64.14,2.8
oca_z,gp_growth_z,6m-1m,0.6,61.63,1.322,2.085,1.621,38.01,3846.42,0.0,61.63,2.8
rev_z,gp_growth_z,12m-1m,0.7,65.34,1.359,2.142,1.618,40.38,4594.04,0.0,65.34,2.8
rev_z,gp_growth_z,12m,0.7,64.44,1.333,2.09,1.611,40.0,4403.1,0.0,64.44,2.8
oca_z,gp_growth_z,6m,0.8,56.86,1.251,1.967,1.605,35.44,3038.13,0.0,56.86,2.8
rev_z,gp_growth_z,12m-1m,0.5,64.47,1.348,2.169,1.596,40.38,4409.2,0.0,64.47,2.8
rev_z,gp_growth_z,12m-1m,0.8,64.32,1.338,2.111,1.593,40.38,4376.79,0.0,64.32,2.8
oca_z,gp_growth_z,6m-1m,0.5,63.48,1.342,2.128,1.585,40.05,4206.17,0.0,63.48,2.8
oca_z,gp_growth_z,6m,0.5,63.21,1.335,2.075,1.565,40.38,4151.54,0.0,63.21,2.8
gp_growth_z,op_margin_z,12m-1m,0.5,61.19,1.307,2.127,1.547,39.54,3764.39,0.0,61.19,2.8
oca_z,gp_growth_z,6m,0.6,58.79,1.275,1.993,1.546,38.04,3346.29,0.0,58.79,2.8
rev_z,rev_accel_z,12m,0.6,59.38,1.287,2.044,1.533,38.73,3444.67,0.0,59.38,2.8
rev_accel_z,oca_z,12m,0.6,55.56,1.225,1.875,1.523,36.47,2844.42,0.0,55.56,2.8
rev_z,oca_z,12m,0.8,65.69,1.366,2.086,1.522,43.15,4671.77,0.0,65.69,2.8
rev_z,oca_z,12m-1m,0.7,61.56,1.318,2.056,1.499,41.07,3833.9,0.0,61.56,2.8
rev_accel_z,oca_z,12m,0.7,57.46,1.243,1.899,1.485,38.68,3130.96,0.0,57.46,2.8
rev_accel_z,oca_z,12m,0.5,56.22,1.238,1.882,1.461,38.49,2941.54,0.0,56.22,2.8
rev_accel_z,oca_z,12m-1m,0.5,57.6,1.258,2.01,1.458,39.5,3152.84,0.0,57.6,2.8
oca_z,gp_growth_z,6m-1m,0.8,55.44,1.233,1.937,1.432,38.7,2826.36,0.0,55.44,2.8
gp_growth_z,op_margin_z,12m,0.5,59.3,1.285,2.067,1.431,41.43,3430.76,0.0,59.3,2.8
rev_z,rev_accel_z,12m-1m,0.5,54.53,1.221,1.86,1.417,38.49,2698.08,0.0,54.53,2.8
oca_z,gp_growth_z,6m,0.7,49.44,1.137,1.783,1.395,35.44,2065.25,0.0,49.44,2.8
rev_z,oca_z,12m-1m,0.8,55.64,1.23,1.939,1.378,40.38,2855.25,0.0,55.64,2.8
rev_accel_z,oca_z,12m-1m,0.7,56.76,1.237,1.899,1.316,43.14,3022.61,0.0,56.76,2.8
rev_z,oca_z,6m-1m,0.5,54.94,1.228,1.887,1.306,42.07,2754.99,0.0,54.94,2.8
rev_z,rev_accel_z,12m-1m,0.7,51.85,1.175,1.835,1.278,40.58,2347.3,0.0,51.85,2.8
rev_accel_z,oca_z,6m-1m,0.5,53.09,1.171,1.847,1.273,41.7,2504.18,0.0,53.09,2.8
rev_accel_z,oca_z,12m-1m,0.6,48.09,1.126,1.754,1.27,37.87,1920.25,0.0,48.09,2.8
rev_z,oca_z,6m-1m,0.8,53.04,1.202,1.89,1.259,42.13,2497.53,0.0,53.04,2.8
rev_z,rev_accel_z,6m-1m,0.7,57.98,1.247,1.902,1.241,46.73,3213.35,0.0,57.98,2.8
rev_accel_z,oca_z,12m,0.8,50.18,1.147,1.758,1.236,40.59,2149.11,0.0,50.18,2.8
rev_z,rev_accel_z,12m,0.5,54.69,1.228,1.932,1.223,44.71,2720.47,0.0,54.69,2.8
rev_z,rev_accel_z,12m-1m,0.6,49.32,1.136,1.756,1.215,40.58,2051.65,0.0,49.32,2.8
rev_z,rev_accel_z,12m-1m,0.8,46.3,1.098,1.708,1.185,39.06,1740.01,0.0,46.3,2.8
rev_z,rev_accel_z,6m-1m,0.6,50.67,1.15,1.832,1.18,42.93,2205.38,0.0,50.67,2.8
rev_accel_z,oca_z,6m,0.6,51.94,1.163,1.767,1.178,44.1,2358.45,0.0,51.94,2.8
rev_z,rev_accel_z,6m,0.8,60.72,1.265,1.888,1.16,52.36,3679.06,0.0,60.72,2.8
rev_z,gp_growth_z,6m,0.7,49.73,1.129,1.737,1.135,43.8,2097.53,0.0,49.73,2.8
rev_accel_z,oca_z,6m,0.5,45.67,1.075,1.66,1.131,40.37,1680.57,0.0,45.67,2.8
rev_z,rev_accel_z,6m,0.6,53.51,1.181,1.74,1.118,47.84,2559.22,0.0,53.51,2.8
rev_z,oca_z,6m,0.5,45.36,1.063,1.574,1.111,40.83,1651.65,0.0,45.36,2.8
rev_z,rev_accel_z,6m,0.5,49.46,1.127,1.715,1.099,45.01,2067.5,0.0,49.46,2.8
rev_z,oca_z,6m-1m,0.7,45.08,1.082,1.701,1.098,41.07,1626.05,0.0,45.08,2.8
rev_z,rev_accel_z,6m,0.7,51.43,1.155,1.777,1.086,47.35,2295.83,0.0,51.43,2.8
rev_accel_z,oca_z,6m-1m,0.6,48.95,1.123,1.753,1.086,45.08,2011.65,0.0,48.95,2.8
rev_z,oca_z,6m-1m,0.6,44.14,1.069,1.643,1.065,41.45,1542.17,0.0,44.14,2.8
rev_z,gp_growth_z,6m,0.5,51.57,1.154,1.787,1.055,48.87,2312.41,0.0,51.57,2.8
rev_z,oca_z,6m,0.6,43.09,1.036,1.501,1.051,40.99,1452.71,0.0,43.09,2.8
gp_growth_z,op_margin_z,12m,0.6,52.11,1.174,1.848,1.038,50.21,2379.78,0.0,52.11,2.8
rev_z,rev_accel_z,6m-1m,0.5,50.37,1.148,1.69,0.992,50.75,2170.04,0.0,50.37,2.8
rev_accel_z,oca_z,6m,0.8,44.43,1.025,1.59,0.991,44.82,1567.99,0.0,44.43,2.8
gp_growth_z,op_margin_z,12m,0.8,49.65,1.14,1.812,0.983,50.5,2088.82,0.0,49.65,2.8
rev_z,gp_growth_z,6m,0.6,51.43,1.137,1.706,0.975,52.74,2295.52,0.0,51.43,2.8
rev_z,gp_growth_z,6m,0.8,51.34,1.146,1.683,0.972,52.81,2285.06,0.0,51.34,2.8
gp_growth_z,op_margin_z,6m,0.8,42.26,1.02,1.61,0.964,43.83,1384.99,0.0,42.26,2.8
rev_accel_z,oca_z,6m,0.7,45.21,1.039,1.607,0.957,47.22,1638.43,0.0,45.21,2.8
gp_growth_z,op_margin_z,12m,0.7,48.66,1.133,1.815,0.935,52.05,1980.22,0.0,48.66,2.8
gp_growth_z,op_margin_z,12m-1m,0.7,49.86,1.159,1.859,0.934,53.39,2112.59,0.0,49.86,2.8
rev_z,rev_accel_z,6m-1m,0.8,45.47,1.071,1.601,0.915,49.67,1661.68,0.0,45.47,2.8
gp_growth_z,op_margin_z,12m-1m,0.6,46.38,1.104,1.769,0.894,51.89,1747.93,0.0,46.38,2.8
