eb,xb,sb,ed,xd,sd,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
3,6,2,3,6,7,109.22,1.743,2.902,2.727,40.05,28352.1,0.0,109.22,2.4
3,6,2,3,6,5,109.07,1.741,2.901,2.723,40.05,28202.92,0.0,109.07,2.4
2,8,2,3,6,7,101.27,1.65,2.74,2.641,38.34,21050.5,0.0,101.27,2.3
2,8,2,3,6,5,101.13,1.648,2.739,2.637,38.34,20939.6,0.0,101.13,2.3
5,6,2,3,6,7,100.2,1.662,2.753,2.612,38.36,20203.59,0.0,100.2,2.4
5,6,2,3,6,5,100.06,1.661,2.751,2.609,38.36,20097.13,0.0,100.06,2.4
3,6,2,3,8,7,108.8,1.753,2.889,2.597,41.89,27917.78,0.0,108.8,2.5
2,6,2,3,6,7,99.5,1.623,2.694,2.595,38.34,19668.88,0.0,99.5,2.3
2,6,2,3,6,5,99.36,1.622,2.692,2.591,38.34,19565.23,0.0,99.36,2.3
3,6,2,3,8,5,108.07,1.746,2.877,2.578,41.92,27179.41,0.0,108.07,2.5
3,6,2,5,6,7,102.83,1.718,2.831,2.568,40.04,22339.06,0.0,102.83,3.0
5,6,2,3,8,7,99.79,1.672,2.739,2.563,38.94,19893.66,0.0,99.79,2.6
5,6,2,3,8,5,99.1,1.664,2.727,2.545,38.94,19366.75,0.0,99.1,2.5
3,6,2,5,5,3,104.39,1.719,2.833,2.542,41.07,23694.51,0.0,104.39,2.4
3,6,2,3,6,3,99.91,1.65,2.746,2.516,39.71,19984.86,0.0,99.91,2.2
3,6,2,5,6,3,101.64,1.689,2.811,2.511,40.47,21348.65,0.0,101.64,2.4
3,6,2,5,6,5,100.53,1.694,2.793,2.511,40.04,20464.05,0.0,100.53,2.9
2,5,2,3,6,7,95.31,1.597,2.611,2.486,38.34,16705.08,0.0,95.31,2.3
2,5,2,3,6,5,95.18,1.595,2.609,2.482,38.34,16616.96,0.0,95.18,2.3
5,5,2,3,6,7,94.63,1.611,2.694,2.467,38.36,16264.22,0.0,94.63,2.4
5,5,2,3,6,5,94.5,1.61,2.692,2.464,38.36,16178.42,0.0,94.5,2.4
2,8,2,3,8,7,100.86,1.659,2.727,2.443,41.28,20727.64,0.0,100.86,2.5
3,5,2,3,6,7,97.79,1.638,2.733,2.442,40.05,18408.86,0.0,97.79,2.4
3,6,3,3,6,7,93.9,1.715,2.754,2.44,38.48,15795.75,0.0,93.9,2.8
2,6,3,3,6,7,91.31,1.591,2.561,2.438,37.45,14242.15,0.0,91.31,2.6
3,5,2,3,6,5,97.65,1.637,2.731,2.438,40.05,18311.82,0.0,97.65,2.4
3,6,3,3,6,5,93.76,1.713,2.752,2.437,38.48,15712.41,0.0,93.76,2.8
2,6,3,3,6,5,91.18,1.59,2.559,2.435,37.45,14166.96,0.0,91.18,2.6
5,8,2,3,6,7,93.83,1.605,2.643,2.432,38.58,15756.08,0.0,93.83,2.4
5,8,2,3,6,5,93.7,1.604,2.641,2.429,38.58,15672.95,0.0,93.7,2.4
2,6,2,3,8,7,99.1,1.632,2.68,2.428,40.81,19367.11,0.0,99.1,2.5
2,6,3,3,8,7,90.92,1.6,2.547,2.428,37.45,14023.23,0.0,90.92,2.7
2,8,2,3,8,5,100.16,1.652,2.715,2.425,41.31,20178.75,0.0,100.16,2.5
5,5,2,3,8,7,94.24,1.62,2.68,2.42,38.94,16014.43,0.0,94.24,2.6
3,6,2,5,8,7,101.38,1.712,2.799,2.412,42.04,21144.56,0.0,101.38,3.2
2,6,2,3,8,5,98.41,1.625,2.669,2.41,40.83,18854.08,0.0,98.41,2.5
2,6,3,3,8,5,90.26,1.593,2.536,2.41,37.45,13651.02,0.0,90.26,2.7
2,8,2,3,6,3,92.32,1.558,2.586,2.408,38.34,14830.53,0.0,92.32,2.2
5,5,2,3,8,5,93.57,1.613,2.668,2.403,38.94,15589.75,0.0,93.57,2.5
5,6,2,3,6,3,91.29,1.568,2.596,2.402,38.0,14232.68,0.0,91.29,2.3
2,5,3,3,6,7,88.82,1.575,2.522,2.372,37.45,12875.39,0.0,88.82,2.5
2,5,3,3,6,5,88.69,1.574,2.52,2.368,37.45,12807.35,0.0,88.69,2.5
3,6,2,5,8,5,99.86,1.695,2.768,2.365,42.22,19940.4,0.0,99.86,3.1
2,6,2,3,6,3,90.63,1.532,2.542,2.364,38.34,13855.22,0.0,90.63,2.2
2,8,2,5,5,3,96.62,1.624,2.67,2.364,40.88,17588.17,0.0,96.62,2.3
2,5,3,3,8,7,88.44,1.584,2.508,2.362,37.45,12677.32,0.0,88.44,2.7
5,6,2,5,5,3,95.58,1.637,2.682,2.361,40.47,16879.9,0.0,95.58,2.4
3,6,5,3,6,7,88.29,1.685,2.672,2.358,37.44,12600.28,0.0,88.29,3.1
3,6,5,3,6,5,88.17,1.684,2.67,2.355,37.44,12533.69,0.0,88.17,3.1
2,8,2,5,6,7,95.12,1.622,2.666,2.352,40.44,16580.57,0.0,95.12,2.9
5,6,2,5,6,7,94.08,1.635,2.678,2.35,40.04,15912.64,0.0,94.08,3.0
2,5,3,3,8,5,87.79,1.577,2.497,2.344,37.45,12340.59,0.0,87.79,2.7
3,6,2,3,5,5,104.55,1.7,2.824,2.343,44.63,23836.85,0.0,104.55,2.3
3,6,2,3,5,7,104.55,1.7,2.824,2.343,44.63,23836.85,0.0,104.55,2.3
2,5,5,3,6,7,87.42,1.561,2.489,2.335,37.45,12158.04,0.0,87.42,2.6
2,5,5,3,6,5,87.3,1.559,2.487,2.331,37.45,12093.76,0.0,87.3,2.6
2,5,2,3,8,7,94.92,1.605,2.597,2.326,40.81,16448.55,0.0,94.92,2.5
2,5,5,3,8,7,87.05,1.57,2.476,2.325,37.45,11970.92,0.0,87.05,2.7
3,5,2,3,8,7,97.39,1.648,2.719,2.325,41.89,18126.33,0.0,97.39,2.5
2,6,3,3,5,5,87.04,1.547,2.483,2.324,37.45,11966.11,0.0,87.04,2.5
2,6,3,3,5,7,87.04,1.547,2.483,2.324,37.45,11966.11,0.0,87.04,2.5
2,6,2,5,5,3,94.89,1.597,2.624,2.322,40.88,16432.73,0.0,94.89,2.3
3,6,2,5,5,5,99.49,1.687,2.777,2.32,42.88,19664.4,0.0,99.49,2.8
5,6,2,5,8,7,92.7,1.628,2.646,2.315,40.04,15060.24,0.0,92.7,3.2
5,6,3,3,6,7,93.2,1.723,2.749,2.314,40.27,15362.27,0.0,93.2,2.9
3,5,3,3,6,7,88.97,1.661,2.697,2.312,38.48,12952.34,0.0,88.97,2.8
5,6,3,3,6,5,93.06,1.721,2.747,2.311,40.27,15281.2,0.0,93.06,2.9
2,6,2,5,6,7,93.41,1.595,2.617,2.31,40.44,15490.94,0.0,93.41,2.9
3,5,3,3,6,5,88.84,1.659,2.695,2.309,38.48,12883.91,0.0,88.84,2.8
2,5,2,3,8,5,94.24,1.598,2.586,2.308,40.83,16012.43,0.0,94.24,2.5
2,5,5,3,8,5,86.4,1.562,2.465,2.307,37.45,11652.81,0.0,86.4,2.7
3,5,2,3,8,5,96.71,1.64,2.708,2.307,41.92,17646.0,0.0,96.71,2.5
3,6,2,5,5,7,99.17,1.683,2.772,2.305,43.02,19421.43,0.0,99.17,2.8
