sl,ts,cd,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
-0.2,-0.15,1,119.9,1.839,3.098,3.455,34.7,41556.3,0.0,119.9,2.4
-0.2,-0.15,2,118.49,1.826,3.048,3.364,35.23,39550.59,0.0,118.49,2.4
-0.2,-0.15,5,114.45,1.779,2.973,3.248,35.24,34272.55,0.0,114.45,2.4
-0.15,-0.15,2,120.6,1.837,3.085,3.153,38.26,42585.71,0.0,120.6,2.4
-0.15,-0.15,1,121.15,1.842,3.104,3.143,38.54,43398.29,0.0,121.15,2.4
-0.15,-0.15,5,115.25,1.779,3.003,3.113,37.02,35264.29,0.0,115.25,2.4
-0.15,-0.15,0,122.42,1.857,3.109,3.058,40.03,45353.18,0.0,122.42,2.4
-0.2,-0.15,0,122.42,1.857,3.109,3.058,40.03,45353.18,0.0,122.42,2.4
-0.2,-0.15,3,107.03,1.715,2.859,3.026,35.36,26151.69,0.0,107.03,2.4
-0.07,-0.15,1,111.31,1.748,2.958,2.966,37.53,30604.07,0.0,111.31,2.4
-0.05,-0.15,1,113.18,1.772,3.003,2.957,38.28,32741.52,0.0,113.18,2.4
-0.2,-0.25,0,112.04,1.774,2.968,2.913,38.47,31428.22,0.0,112.04,2.4
-0.15,-0.15,3,109.89,1.738,2.916,2.899,37.91,29061.94,0.0,109.89,2.4
-0.15,-0.25,0,110.51,1.765,2.96,2.873,38.47,29729.54,0.0,110.51,2.4
-0.1,-0.15,1,115.8,1.796,3.019,2.871,40.33,35970.83,0.0,115.8,2.4
-0.05,-0.15,2,109.85,1.747,2.93,2.87,38.28,29019.58,0.0,109.85,2.4
-0.2,-0.25,1,113.91,1.803,2.98,2.868,39.71,33616.28,0.0,113.91,2.4
-0.05,-0.15,5,109.47,1.735,2.919,2.86,38.28,28614.62,0.0,109.47,2.4
-0.2,-0.25,2,112.66,1.8,2.98,2.837,39.71,32131.62,0.0,112.66,2.4
-0.2,-0.2,3,110.17,1.753,2.922,2.813,39.17,29359.64,0.0,110.17,2.4
-0.2,-0.25,3,111.66,1.79,2.966,2.812,39.71,30997.32,0.0,111.66,2.4
-0.05,-0.1,0,112.21,1.78,2.957,2.81,39.93,31618.68,0.0,112.21,2.4
-0.2,-0.2,0,110.98,1.761,2.943,2.807,39.54,30238.6,0.0,110.98,2.4
-0.2,-0.25,5,111.26,1.786,2.959,2.802,39.71,30548.57,0.0,111.26,2.4
-0.05,-0.15,3,107.04,1.713,2.872,2.796,38.28,26161.08,0.0,107.04,2.4
-0.2,-0.2,2,109.4,1.75,2.913,2.793,39.17,28546.97,0.0,109.4,2.4
-0.15,-0.25,1,109.92,1.758,2.917,2.768,39.71,29088.34,0.0,109.92,2.4
-0.15,-0.2,0,109.33,1.742,2.914,2.765,39.54,28473.7,0.0,109.33,2.4
-0.07,-0.15,3,103.65,1.671,2.802,2.762,37.53,23042.13,0.0,103.65,2.4
-0.07,-0.15,2,103.21,1.668,2.789,2.75,37.53,22665.72,0.0,103.21,2.4
-0.15,-0.2,5,110.0,1.75,2.928,2.735,40.21,29173.02,0.0,110.0,2.4
-0.2,-0.2,5,108.81,1.743,2.902,2.733,39.82,27929.49,0.0,108.81,2.4
-0.15,-0.2,1,107.93,1.736,2.878,2.73,39.54,27036.88,0.0,107.93,2.4
-0.15,-0.25,2,108.41,1.752,2.912,2.73,39.71,27520.96,0.0,108.41,2.4
-0.1,-0.15,2,109.22,1.743,2.902,2.727,40.05,28352.1,0.0,109.22,2.4
-0.1,-0.2,3,107.81,1.727,2.869,2.725,39.57,26914.43,0.0,107.81,2.4
-0.15,-0.2,2,107.73,1.734,2.876,2.723,39.57,26837.86,0.0,107.73,2.4
-0.15,-0.2,3,107.71,1.732,2.876,2.722,39.57,26817.87,0.0,107.71,2.4
-0.07,-0.15,5,102.08,1.658,2.776,2.72,37.53,21712.18,0.0,102.08,2.4
-0.15,-0.25,3,107.44,1.742,2.897,2.705,39.71,26548.92,0.0,107.44,2.4
-0.2,-0.2,1,107.3,1.733,2.877,2.703,39.69,26418.17,0.0,107.3,2.4
-0.15,-0.25,5,107.04,1.739,2.891,2.695,39.71,26164.36,0.0,107.04,2.4
-0.1,-0.2,2,105.86,1.711,2.834,2.676,39.57,25041.81,0.0,105.86,2.4
-0.1,-0.2,5,107.57,1.729,2.869,2.675,40.21,26684.95,0.0,107.57,2.4
-0.1,-0.15,5,103.44,1.686,2.83,2.662,38.85,22864.19,0.0,103.44,2.4
-0.07,-0.2,3,104.44,1.685,2.816,2.64,39.57,23743.95,0.0,104.44,2.4
-0.1,-0.25,0,100.96,1.671,2.753,2.625,38.47,20805.35,0.0,100.96,2.4
-0.07,-0.2,0,103.63,1.677,2.791,2.621,39.54,23024.08,0.0,103.63,2.4
-0.05,-0.1,1,117.08,1.818,3.058,2.615,44.77,37634.37,0.0,117.08,2.4
-0.07,-0.25,0,99.9,1.653,2.746,2.597,38.47,19977.13,0.0,99.9,2.4
-0.07,-0.15,0,103.61,1.678,2.786,2.595,39.92,23011.23,0.0,103.61,2.4
-0.05,-0.15,0,105.3,1.692,2.814,2.591,40.65,24521.58,0.0,105.3,2.4
-0.1,-0.2,0,102.18,1.671,2.755,2.584,39.54,21794.34,0.0,102.18,2.4
-0.05,-0.25,0,101.1,1.668,2.768,2.579,39.2,20915.75,0.0,101.1,2.4
-0.07,-0.2,2,101.67,1.659,2.761,2.57,39.57,21378.67,0.0,101.67,2.4
-0.1,-0.15,0,107.1,1.723,2.856,2.564,41.77,26216.21,0.0,107.1,2.4
-0.05,-0.2,5,104.9,1.696,2.835,2.563,40.93,24155.8,0.0,104.9,2.4
-0.07,-0.2,1,101.03,1.654,2.746,2.555,39.54,20862.59,0.0,101.03,2.4
-0.05,-0.2,3,102.92,1.674,2.808,2.554,40.29,22415.29,0.0,102.92,2.4
-0.1,-0.1,0,100.12,1.674,2.754,2.554,39.2,20143.7,0.0,100.12,2.4
-0.15,-0.1,0,100.12,1.674,2.754,2.554,39.2,20143.7,0.0,100.12,2.4
-0.2,-0.1,0,100.12,1.674,2.754,2.554,39.2,20143.7,0.0,100.12,2.4
-0.05,-0.2,0,102.31,1.668,2.769,2.541,40.27,21899.73,0.0,102.31,2.4
-0.1,-0.2,1,99.62,1.651,2.712,2.519,39.54,19761.62,0.0,99.62,2.4
-0.07,-0.2,5,100.97,1.653,2.753,2.511,40.21,20811.09,0.0,100.97,2.4
-0.07,-0.1,0,97.66,1.644,2.699,2.491,39.2,18313.15,0.0,97.66,2.4
-0.05,-0.2,2,100.1,1.648,2.751,2.485,40.29,20130.32,0.0,100.1,2.4
-0.05,-0.2,1,99.49,1.643,2.727,2.471,40.27,19663.14,0.0,99.49,2.4
-0.05,-0.25,2,99.66,1.647,2.702,2.465,40.43,19793.8,0.0,99.66,2.4
-0.05,-0.25,1,99.51,1.646,2.697,2.461,40.43,19677.06,0.0,99.51,2.4
-0.07,-0.25,2,97.47,1.623,2.664,2.454,39.71,18179.64,0.0,97.47,2.4
-0.07,-0.25,1,97.32,1.621,2.659,2.451,39.71,18072.38,0.0,97.32,2.4
-0.05,-0.25,3,98.6,1.637,2.677,2.439,40.43,18999.92,0.0,98.6,2.4
-0.1,-0.25,1,96.73,1.631,2.676,2.436,39.71,17664.04,0.0,96.73,2.4
-0.07,-0.25,3,96.65,1.613,2.646,2.434,39.71,17607.74,0.0,96.65,2.4
-0.1,-0.15,3,95.97,1.612,2.687,2.416,39.72,17143.44,0.0,95.97,2.4
-0.1,-0.25,2,95.78,1.623,2.661,2.412,39.71,17014.59,0.0,95.78,2.4
-0.1,-0.25,3,95.51,1.62,2.658,2.405,39.71,16837.04,0.0,95.51,2.4
-0.1,-0.25,5,95.35,1.619,2.654,2.401,39.71,16729.37,0.0,95.35,2.4
-0.05,-0.1,3,110.42,1.759,2.974,2.397,46.07,29628.34,0.0,110.42,2.3
-0.05,-0.1,2,110.17,1.749,2.925,2.381,46.26,29353.44,0.0,110.17,2.3
-0.05,-0.1,5,112.29,1.773,2.956,2.364,47.5,31714.47,0.0,112.29,2.3
-0.07,-0.25,5,92.43,1.57,2.569,2.327,39.71,14895.34,0.0,92.43,2.4
-0.05,-0.25,5,93.39,1.587,2.595,2.31,40.43,15482.82,0.0,93.39,2.4
-0.2,-0.1,5,109.56,1.75,2.92,2.286,47.94,28712.19,0.0,109.56,2.3
-0.1,-0.1,1,106.18,1.732,2.854,2.198,48.31,25334.09,0.0,106.18,2.4
-0.15,-0.1,5,106.33,1.717,2.858,2.129,49.93,25476.83,0.0,106.33,2.3
-0.2,-0.1,1,105.21,1.721,2.829,2.097,50.17,24431.66,0.0,105.21,2.4
-0.1,-0.1,5,105.69,1.722,2.862,2.09,50.56,24880.01,0.0,105.69,2.3
-0.2,-0.1,3,104.16,1.712,2.832,2.052,50.76,23489.85,0.0,104.16,2.3
-0.1,-0.1,2,106.09,1.726,2.846,2.051,51.74,25255.92,0.0,106.09,2.3
-0.07,-0.1,1,99.44,1.657,2.728,2.023,49.14,19623.69,0.0,99.44,2.4
-0.07,-0.1,2,104.75,1.707,2.827,2.02,51.84,24014.03,0.0,104.75,2.3
-0.07,-0.1,5,102.35,1.687,2.834,2.014,50.83,21939.98,0.0,102.35,2.3
-0.07,-0.1,3,102.51,1.686,2.824,1.984,51.67,22072.83,0.0,102.51,2.3
-0.15,-0.1,1,104.04,1.709,2.808,1.976,52.64,23383.4,0.0,104.04,2.4
-0.1,-0.1,3,103.47,1.705,2.836,1.972,52.48,22890.2,0.0,103.47,2.3
-0.15,-0.1,3,101.7,1.685,2.781,1.968,51.67,21402.94,0.0,101.7,2.3
-0.2,-0.1,2,102.98,1.688,2.779,1.937,53.17,22467.27,0.0,102.98,2.3
