기간,전략,CAGR,MDD,Cal,Sharpe,Sortino,total
2026 YTD,A. v80 baseline (rev+oca 60/40),925.63,25.92,35.711,3.159,4.818,121.32
2026 YTD,B. 3f rev+oca+rev_accel 50/30/20,493.36,23.51,20.985,2.616,4.091,83.62
2026 YTD,C. 3f rev+oca+rev_accel 40/30/30,289.91,25.26,11.476,1.998,3.445,59.1
2026 YTD,D. 3f rev+rev_accel+op_margin,905.43,22.36,40.489,3.182,5.356,119.82
2026 YTD,E. 3f rev+oca+op_margin 50/30/20,781.57,24.26,32.216,3.061,4.65,110.18
2026 YTD,F. v79 style rev+oca+gp 50/30/20,739.16,24.26,30.468,2.998,4.539,106.67
2024~2026 (2.3y),A. v80 baseline (rev+oca 60/40),224.94,26.57,8.466,2.408,3.92,1351.13
2024~2026 (2.3y),B. 3f rev+oca+rev_accel 50/30/20,100.19,33.99,2.947,1.572,2.58,383.31
2024~2026 (2.3y),C. 3f rev+oca+rev_accel 40/30/30,114.78,32.48,3.534,1.697,2.867,467.02
2024~2026 (2.3y),D. 3f rev+rev_accel+op_margin,106.0,38.75,2.735,1.63,2.679,415.72
2024~2026 (2.3y),E. 3f rev+oca+op_margin 50/30/20,188.68,27.9,6.764,2.239,3.59,1009.4
2024~2026 (2.3y),F. v79 style rev+oca+gp 50/30/20,218.96,36.87,5.939,2.398,3.945,1291.23
2018~2026 (7.8y),A. v80 baseline (rev+oca 60/40),146.59,34.89,4.201,0.811,4.884,99637.58
2018~2026 (7.8y),B. 3f rev+oca+rev_accel 50/30/20,108.33,34.69,3.123,0.709,4.333,27361.2
2018~2026 (7.8y),C. 3f rev+oca+rev_accel 40/30/30,114.01,37.92,3.006,0.725,4.504,33633.24
2018~2026 (7.8y),D. 3f rev+rev_accel+op_margin,106.11,38.75,2.738,0.703,4.215,25203.7
2018~2026 (7.8y),E. 3f rev+oca+op_margin 50/30/20,134.54,36.33,3.703,0.78,4.714,67885.74
2018~2026 (7.8y),F. v79 style rev+oca+gp 50/30/20,144.57,36.87,3.922,0.806,4.88,93574.76
