기간,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%)
2026 YTD,v80 baseline (12m),1367.23,23.96,57.072,3.596,142.22
2026 YTD,M=6m,464.93,32.28,14.405,2.284,76.88
2026 YTD,M=6m-1m,685.41,23.96,28.611,2.808,97.16
2026 YTD,M=12m-1m,1249.4,23.96,52.153,3.486,135.63
2024~2026 (2.3y),v80 baseline (12m),233.29,25.89,9.011,2.437,1415.3
2024~2026 (2.3y),M=6m,64.43,36.32,1.774,1.194,207.36
2024~2026 (2.3y),M=6m-1m,57.68,34.92,1.652,1.157,179.63
2024~2026 (2.3y),M=12m-1m,163.51,29.52,5.538,2.069,791.52
2018~2026 (7.8y),v80 baseline (12m),148.24,35.73,4.149,0.815,103734.08
2018~2026 (7.8y),M=6m,109.87,36.32,3.025,0.715,28692.32
2018~2026 (7.8y),M=6m-1m,93.93,39.26,2.393,0.665,15653.14
2018~2026 (7.8y),M=12m-1m,131.15,36.24,3.619,0.771,60125.46
