ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.811,75.38,41.62,0.032,0.1725,0.8145030686850053,0.032,0.032,0.314,0.312,0.032,10,0,60,30
250,8,0.15,0.0,0.6,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.929,75.81,39.3,0.032,0.324,0.7883219963204374,0.032,0.118,0.505,0.641,0.032,15,0,60,25
250,8,0.15,0.0,0.7,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.884,45.77,51.78,0.031,0.41325,0.9109982706066027,0.031,0.06,0.668,0.894,0.031,15,0,70,15
250,8,0.2,0.0,0.55,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.686,66.26,39.3,0.014,0.23374999999999999,1.0103974889072587,0.032,0.014,0.294,0.595,0.014,20,0,55,25
250,8,0.1,0.0,0.7,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.955,70.33,35.98,0.012,0.621,0.8001438384748993,0.012,0.252,1.076,1.144,0.012,10,0,70,20
250,8,0.2,0.05,0.6,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.482,60.29,40.68,0.007,0.2085,1.1211665943378284,0.017,0.007,0.226,0.584,0.007,20,5,60,15
250,8,0.15,0.1,0.6,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.553,61.16,39.37,0.006,0.3515,1.1319568549441685,0.006,0.038,0.366,0.996,0.006,15,10,60,15
250,8,0.25,0.0,0.4,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.631,66.18,40.58,0.006,0.23175,0.9426677049190209,0.006,0.026,0.4,0.495,0.006,25,0,40,35
250,8,0.1,0.05,0.7,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.466,59.98,40.91,-0.005,0.49275,0.7726099295776374,-0.005,0.294,0.683,0.999,-0.005,10,5,70,15
250,8,0.15,0.05,0.7,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.49,58.83,39.48,-0.005,0.653,0.8445555695559845,-0.005,0.326,0.836,1.455,-0.005,15,5,70,10
250,8,0.2,0.1,0.55,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.253,51.36,40.98,-0.017,0.3665,0.9721751409541816,-0.017,0.142,0.42,0.921,-0.017,20,10,55,15
250,8,0.2,0.0,0.6,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.453,62.29,42.87,-0.05,0.2585,1.1519751536540914,0.007,-0.05,0.398,0.679,-0.05,20,0,60,20
250,8,0.15,0.05,0.6,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.4,57.64,41.18,-0.052,0.14024999999999999,1.3305123770518257,0.006,-0.052,0.179,0.428,-0.052,15,5,60,20
