ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.567,76.77,49.01,0.295,0.4325,0.33058126393857495,0.487,0.295,0.642,0.306,0.295,30,10,15,45
250,8,0.1,0.0,0.6,0.3,0.2,0.1,0.15,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.751,85.0,48.54,0.253,0.353,0.31951735745791726,0.296,0.319,0.544,0.253,0.253,20,10,15,55
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.25,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.793,81.28,45.32,0.237,0.344,0.5287062704786876,0.237,0.242,0.659,0.238,0.237,40,5,25,30
250,8,0.1,0.0,0.6,0.3,0.3,0.2,0.25,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.678,76.57,45.63,0.195,0.5095000000000001,0.6326874006322918,1.007,0.195,0.58,0.256,0.195,30,20,25,25
250,8,0.1,0.0,0.6,0.3,0.35,0.1,0.1,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.509,73.73,48.86,0.189,0.275,0.3279084734223084,0.189,0.315,0.404,0.192,0.189,35,10,10,45
250,8,0.1,0.0,0.6,0.3,0.25,0.1,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.726,86.1,49.89,0.166,0.31725000000000003,0.2774139875363379,0.35,0.166,0.379,0.374,0.166,25,10,15,50
250,8,0.1,0.0,0.6,0.3,0.4,0.2,0.1,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.552,65.13,41.96,0.152,0.5429999999999999,0.48446350000627936,0.849,0.152,0.701,0.47,0.152,40,20,10,30
250,8,0.1,0.0,0.6,0.3,0.35,0.2,0.1,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.65,64.85,39.31,0.151,0.24574999999999997,0.33911614057950207,0.182,0.151,0.358,0.292,0.151,35,20,10,35
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.2,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.738,77.51,44.6,0.144,0.52275,0.5124419968737111,0.791,0.144,0.759,0.397,0.144,40,5,20,35
250,8,0.1,0.0,0.6,0.3,0.4,0.1,0.1,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.685,73.44,43.59,0.139,0.27999999999999997,0.3247153384433944,0.284,0.139,0.392,0.305,0.139,40,10,10,40
250,8,0.1,0.0,0.6,0.3,0.2,0.15,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.695,78.75,46.44,0.127,0.215,0.4256385779349668,0.14,0.127,0.355,0.238,0.127,20,15,15,50
250,8,0.1,0.0,0.6,0.3,0.3,0.05,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.696,86.9,51.25,0.119,0.405,0.5115671610057457,0.474,0.119,0.689,0.338,0.119,30,5,15,50
250,8,0.1,0.0,0.6,0.3,0.2,0.2,0.2,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.678,65.91,39.27,0.104,0.17325000000000002,0.5676904125696388,0.119,0.104,0.343,0.127,0.104,20,20,20,40
250,8,0.1,0.0,0.6,0.3,0.25,0.15,0.1,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.653,72.57,43.9,0.097,0.19524999999999998,0.4339720186960903,0.097,0.126,0.268,0.29,0.097,25,15,10,50
