ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,g_rev,gs1,gs2,mom
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.262,61.33,48.58,0.476,0.91075,0.29510306434693806,0.476,1.003,1.21,0.954,0.476,0.7,oca_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.825,46.9,56.85,0.47,0.8460000000000001,0.28656807286960406,0.47,0.815,1.12,0.979,0.47,0.6,rev_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.502,70.63,47.02,0.451,0.8432499999999999,0.44246921407751383,0.451,1.28,1.146,0.496,0.451,0.7,oca_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.823,40.62,49.34,0.445,0.6587500000000001,0.20726587665513263,0.445,0.645,0.81,0.735,0.445,0.7,rev_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.276,60.72,47.59,0.441,0.8780000000000001,0.3868608250242852,0.441,1.109,1.294,0.668,0.441,0.8,oca_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.425,63.48,44.55,0.44,0.87825,0.3864122943374615,0.44,0.763,1.381,0.929,0.44,0.8,rev_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.345,66.42,49.38,0.427,0.7922500000000001,0.37500635415203076,0.427,0.575,1.121,1.046,0.427,0.8,rev_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.787,44.95,57.12,0.414,0.78275,0.2986747971829714,0.414,0.766,1.039,0.912,0.414,0.7,rev_z,rev_accel_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.154,54.18,46.95,0.408,0.89525,0.31773814146306834,0.408,1.062,1.115,0.996,0.408,0.7,rev_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.28,67.51,52.75,0.406,0.611,0.33232283978430865,0.41,0.406,0.808,0.82,0.406,0.8,rev_z,rev_accel_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.411,60.33,42.75,0.405,0.778,0.43402783936502465,0.405,0.584,1.305,0.818,0.405,0.7,rev_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.293,61.41,47.5,0.402,0.7057500000000001,0.4880878178770124,0.408,0.402,1.244,0.769,0.402,0.6,rev_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.057,53.56,50.66,0.399,0.9187500000000001,0.4048814092148333,0.399,1.45,0.936,0.89,0.399,0.7,gp_growth_z,op_margin_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.621,32.6,52.48,0.389,0.5375,0.31069906697919364,0.389,0.504,0.818,0.439,0.389,0.8,gp_growth_z,op_margin_z,6m
