ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.15,2,1.247,58.05,46.57,0.523,1.4525,0.3915757597532453,0.523,2.068,1.64,1.579,0.523
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,2,3,6,3,-0.1,-0.15,2,1.339,62.33,46.57,0.523,1.7175,0.4253275109170305,0.523,2.292,1.723,2.332,0.523
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,6,3,-0.1,-0.15,2,1.258,58.57,46.57,0.523,1.76025,0.43373532429055467,0.523,2.375,1.733,2.41,0.523
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,6,3,-0.1,-0.15,2,1.277,62.02,48.55,0.522,0.96925,0.31991926051576336,0.522,0.946,1.396,1.013,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,5,3,6,3,-0.1,-0.15,2,1.256,61.2,48.72,0.522,1.0467499999999998,0.3299059950128672,0.522,1.159,1.481,1.025,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,3,-0.1,-0.15,2,1.182,57.81,48.92,0.522,1.00075,0.3123160589083262,0.522,1.056,1.398,1.027,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,5,3,6,3,-0.1,-0.15,2,1.211,59.44,49.09,0.522,1.083,0.3235968771856648,0.522,1.21,1.482,1.118,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,3,3,6,3,-0.1,-0.15,2,1.097,53.67,48.91,0.522,1.07125,0.334444062841656,0.522,1.309,1.458,0.996,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,5,3,6,3,-0.1,-0.15,2,1.071,52.27,48.8,0.522,1.12275,0.3422007731872747,0.522,1.377,1.525,1.067,0.522
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,3,3,6,3,-0.1,-0.15,2,1.193,55.42,46.46,0.518,1.6307500000000004,0.42831008361428635,0.518,2.446,1.826,1.733,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,5,3,6,3,-0.1,-0.15,2,1.199,55.73,46.46,0.518,1.6702500000000002,0.43678802109022663,0.518,2.543,1.826,1.794,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,3,3,6,3,-0.1,-0.15,2,1.22,56.69,46.46,0.518,1.8402499999999997,0.4390469660075435,0.518,2.662,1.914,2.267,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,5,3,6,3,-0.1,-0.15,2,1.236,57.42,46.46,0.518,1.8395,0.4470186761991171,0.518,2.759,1.914,2.167,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,3,3,6,3,-0.1,-0.15,2,1.109,51.51,46.46,0.518,1.82025,0.43176205078133334,0.518,2.572,1.925,2.266,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,5,3,6,3,-0.1,-0.15,2,1.16,53.9,46.46,0.518,1.84775,0.44438636459189046,0.518,2.737,1.925,2.211,0.518
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,5,-0.1,-0.15,2,1.322,61.58,46.57,0.476,1.34775,0.40709424481735146,0.476,1.994,1.437,1.484,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,7,-0.1,-0.15,2,1.33,61.93,46.57,0.476,1.34775,0.40709424481735146,0.476,1.994,1.437,1.484,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,2,3,6,5,-0.1,-0.15,2,1.416,65.95,46.57,0.476,1.6069999999999998,0.44390616281920187,0.476,2.215,1.515,2.222,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,2,3,6,7,-0.1,-0.15,2,1.424,66.31,46.57,0.476,1.6069999999999998,0.44390616281920187,0.476,2.215,1.515,2.222,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,6,5,-0.1,-0.15,2,1.334,62.11,46.57,0.476,1.6492499999999999,0.4531028400110483,0.476,2.297,1.525,2.299,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,6,7,-0.1,-0.15,2,1.341,62.45,46.57,0.476,1.6492499999999999,0.4531028400110483,0.476,2.297,1.525,2.299,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,6,5,-0.1,-0.15,2,1.358,65.63,48.32,0.476,0.87975,0.2981299102979636,0.476,0.895,1.209,0.939,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,6,7,-0.1,-0.15,2,1.365,65.98,48.32,0.476,0.87975,0.2981299102979636,0.476,0.895,1.209,0.939,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,5,3,6,5,-0.1,-0.15,2,1.339,64.8,48.38,0.476,0.95525,0.3157429716526431,0.476,1.104,1.29,0.951,0.476
