ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.15,5,1.142,56.62,49.6,0.712,1.60175,0.34011660977451746,0.712,2.179,1.676,1.84,0.712
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.1,0,1.409,68.74,48.78,0.698,1.5677500000000002,0.32136032606659004,0.698,1.922,1.841,1.81,0.698
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.15,0,1.466,71.49,48.78,0.695,1.554,0.33544072040036566,0.695,2.008,1.582,1.931,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.15,1,1.459,65.41,44.85,0.695,1.68675,0.37976964540078584,0.695,2.443,1.975,1.634,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.15,2,1.466,68.29,46.57,0.695,1.5389999999999997,0.3540729970802283,0.695,2.179,1.791,1.491,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.15,3,1.426,65.07,45.62,0.695,1.6680000000000001,0.3710413685488916,0.695,2.368,1.975,1.634,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.15,5,1.513,67.69,44.73,0.695,1.6832500000000001,0.3603309984513318,0.695,2.326,1.961,1.751,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.2,0,1.43,72.01,50.35,0.695,1.3439999999999999,0.3041303175501356,0.695,1.826,1.448,1.407,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.2,1,1.435,72.25,50.35,0.695,1.2422499999999999,0.2808722734615115,0.695,1.665,1.327,1.282,0.695
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.07,-0.2,2,1.358,68.36,50.35,0.695,1.3439999999999999,0.3041303175501356,0.695,1.826,1.448,1.407,0.695
