v,q,g,m,mom,gs,cagr,mdd,calmar,sharpe,sortino,rank
15,0,55,30,12m,2f_06,150.26,38.17,3.937,0.821,4.919,1
15,5,50,30,12m-1m,3f_oca_gp,139.05,35.59,3.907,0.793,4.7,2
10,5,55,30,12m,3f_oca_gp,143.01,36.8,3.886,0.804,4.675,3
20,5,45,30,12m,2f_06,140.98,36.39,3.874,0.799,4.695,4
15,5,50,30,12m,3f_oca_gp,139.18,36.35,3.829,0.794,4.674,5
10,5,55,30,12m-1m,3f_oca_gp,137.09,36.37,3.769,0.789,4.625,6
15,0,50,35,12m-1m,3f_oca_gp,136.29,36.26,3.758,0.787,4.653,7
10,5,55,30,12m-1m,2f_06,137.33,36.6,3.753,0.789,4.645,8
0,0,60,40,12m,3f_oca_gp,136.16,36.36,3.745,0.788,4.634,9
10,5,50,35,12m-1m,3f_oca_gp,133.84,35.84,3.735,0.78,4.65,10
15,0,45,40,12m-1m,3f_oca_gp,133.89,35.99,3.72,0.781,4.533,11
15,0,50,35,12m-1m,2f_06,135.22,36.36,3.719,0.784,4.663,12
20,0,50,30,12m,2f_06,138.62,37.4,3.706,0.793,4.666,13
15,5,45,35,12m-1m,3f_oca_gp,134.16,36.22,3.705,0.781,4.61,14
15,5,50,30,12m,2f_06,142.07,38.4,3.7,0.801,4.668,15
0,5,60,35,12m-1m,3f_oca_gp,141.66,38.67,3.663,0.8,4.726,16
0,0,60,40,12m,2f_06,139.22,38.01,3.662,0.795,4.611,17
20,5,45,30,12m-1m,3f_oca_gp,128.8,35.23,3.656,0.767,4.569,18
5,5,50,40,12m-1m,3f_oca_gp,132.83,36.36,3.653,0.778,4.603,19
15,0,55,30,12m-1m,3f_oca_gp,134.82,36.91,3.653,0.783,4.618,20
20,5,45,30,12m,3f_oca_gp,134.89,36.95,3.65,0.782,4.634,21
15,5,50,30,12m,2f_07,139.04,38.17,3.643,0.794,4.613,22
10,0,55,35,12m-1m,2f_07,136.71,37.69,3.627,0.788,4.584,23
