V,Q,G,M,mom,gs,cagr,mdd,calmar,total
25,0,30,45,12m-1m,3f_rev_oca_gp,75.66,42.65,1.774,7067.62
25,5,30,40,12m-1m,2f_rev_oca_0.7,60.02,37.51,1.6,3434.85
15,0,40,45,6m-1m,3f_rev_oca_gp,62.22,40.85,1.523,3819.42
25,15,20,40,12m-1m,3f_rev_oca_gp,59.16,39.13,1.512,3293.58
25,15,20,40,12m-1m,2f_rev_oca_0.7,52.15,36.15,1.442,2310.58
20,15,20,45,12m-1m,3f_rev_oca_gp,55.84,38.86,1.437,2791.04
10,5,40,45,6m-1m,3f_rev_oca_gp,55.76,40.78,1.367,2780.86
20,5,30,45,6m-1m,2f_rev_oca_0.7,55.33,40.75,1.358,2720.89
20,15,30,35,12m,3f_rev_oca_gp,61.03,45.23,1.349,3607.96
25,15,30,30,12m,3f_rev_oca_gp,56.96,42.3,1.347,2953.59
30,10,20,40,12m-1m,3f_rev_oca_gp,57.83,43.0,1.345,3083.34
30,5,20,45,6m-1m,2f_rev_oca_0.7,51.79,38.64,1.34,2268.49
15,10,30,45,6m-1m,2f_rev_oca_0.7,56.83,42.75,1.329,2933.96
25,10,20,45,6m-1m,3f_rev_oca_gp,52.42,39.89,1.314,2343.34
25,5,40,30,12m,2f_rev_oca_0.7,57.99,44.88,1.292,3108.23
30,15,20,35,12m-1m,2f_rev_oca_0.7,50.51,39.14,1.29,2121.04
30,10,20,40,12m-1m,2f_rev_oca_0.7,52.77,41.22,1.28,2386.81
25,15,30,30,12m,2f_rev_oca_0.7,55.81,43.64,1.279,2787.77
25,5,30,40,12m-1m,3f_rev_oca_gp,59.33,46.5,1.276,3320.64
20,5,30,45,12m-1m,3f_rev_oca_gp,55.83,44.08,1.266,2789.67
15,0,55,30,12m,3f_rev_oca_gp,57.84,46.55,1.243,3085.43
25,10,20,45,6m-1m,2f_rev_oca_0.7,48.23,38.84,1.242,1878.66
15,15,30,40,6m-1m,3f_rev_oca_gp,52.56,42.37,1.24,2360.83
20,10,30,40,6m,2f_rev_oca_0.7,52.46,42.5,1.234,2348.55
15,10,30,45,6m-1m,3f_rev_oca_gp,53.05,43.04,1.233,2421.2
25,15,30,30,12m-1m,2f_rev_oca_0.7,52.73,42.78,1.233,2381.64
20,15,30,35,12m,2f_rev_oca_0.7,51.39,41.7,1.232,2221.28
30,5,20,45,12m-1m,3f_rev_oca_gp,53.28,43.54,1.224,2450.51
20,5,45,30,12m,3f_rev_oca_gp,56.46,46.2,1.222,2880.06
20,10,30,40,12m-1m,2f_rev_oca_0.7,50.51,41.38,1.221,2120.99
10,15,30,45,6m-1m,3f_rev_oca_gp,53.78,44.26,1.215,2513.81
25,0,30,45,6m-1m,2f_rev_oca_0.7,47.89,39.43,1.215,1843.68
30,5,20,45,12m-1m,2f_rev_oca_0.7,51.68,42.75,1.209,2255.49
30,10,30,30,12m,3f_rev_oca_gp,50.78,42.23,1.203,2151.47
25,5,30,40,12m,2f_rev_oca_0.7,53.29,44.62,1.194,2451.46
20,5,40,35,6m-1m,2f_rev_oca_0.7,48.08,40.29,1.193,1862.66
15,15,40,30,6m,2f_rev_oca_0.7,53.45,44.87,1.191,2472.42
20,10,30,40,6m-1m,2f_rev_oca_0.7,52.0,43.81,1.187,2293.27
