rank,V,Q,G,M,mom,gs,regime,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
5,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,1.051,58.94,56.1,3.171,94.98,29.95,2.1109999999999998
1,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,1.042,59.88,57.47,3.145,94.2,29.95,2.0935
2,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,1.087,59.84,55.08,2.999,94.52,31.52,2.043
2,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,1.013,59.29,58.53,3.032,94.37,31.13,2.0225
14,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,0.942,56.92,60.41,3.094,92.66,29.95,2.018
8,15,0,55,30,12m,3f_rev_oca_gp,MA200_7d,0.997,58.1,58.27,3.034,90.88,29.95,2.0155
1,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_5d,0.99,59.87,60.48,3.024,94.72,31.33,2.007
8,15,0,55,30,12m,3f_rev_oca_gp,MA200_5d,0.976,58.46,59.88,3.0,91.19,30.39,1.988
3,20,0,45,35,12m-1m,3f_rev_oca_opm,MA200_7d,0.949,54.91,57.84,2.923,87.53,29.95,1.936
5,15,5,45,35,12m,3f_rev_oca_opm,MA200_5d,0.98,57.37,58.55,2.883,93.07,32.28,1.9315
14,15,5,50,30,12m,3f_rev_oca_gp,MA200_5d,0.891,55.53,62.29,2.933,89.76,30.61,1.912
9,15,0,50,35,12m,3f_rev_oca_opm,MA200_5d,0.943,55.64,59.0,2.856,88.09,30.84,1.8995
9,15,0,50,35,12m,3f_rev_oca_opm,MA200_7d,0.961,55.61,57.84,2.824,88.21,31.23,1.8924999999999998
7,20,5,45,30,12m,3f_rev_oca_opm,MA200_7d,0.973,56.02,57.56,2.783,90.24,32.43,1.878
15,20,5,45,30,12m-1m,3f_rev_oca_gp,MA200_7d,0.908,52.23,57.49,2.839,85.65,30.17,1.8735
7,20,5,45,30,12m,3f_rev_oca_opm,MA200_5d,0.894,54.3,60.77,2.847,87.76,30.82,1.8705
10,20,5,45,30,12m,3f_rev_oca_gp,MA200_5d,0.968,58.49,60.44,2.732,92.8,33.97,1.85
10,20,5,45,30,12m,3f_rev_oca_gp,MA200_7d,1.008,59.27,58.78,2.654,94.29,35.53,1.831
3,20,0,45,35,12m-1m,3f_rev_oca_opm,MA200_5d,0.867,53.09,61.25,2.766,85.18,30.79,1.8165
11,20,0,50,30,12m,3f_rev_oca_gp,MA200_7d,1.015,58.15,57.3,2.592,90.65,34.97,1.8035
4,20,0,50,30,12m-1m,3f_rev_oca_opm,MA200_7d,0.888,52.61,59.22,2.717,85.32,31.4,1.8025
13,20,5,50,25,12m-1m,3f_rev_oca_opm,MA200_5d,0.93,56.33,60.59,2.674,87.64,32.77,1.802
11,20,0,50,30,12m,3f_rev_oca_gp,MA200_5d,0.955,57.29,60.02,2.642,90.33,34.2,1.7985
4,20,0,50,30,12m-1m,3f_rev_oca_opm,MA200_5d,0.838,52.26,62.34,2.727,85.43,31.33,1.7825
6,20,0,45,35,12m,3f_rev_oca_opm,MA200_7d,0.956,53.11,55.54,2.579,83.09,32.22,1.7675
13,20,5,50,25,12m-1m,3f_rev_oca_opm,MA200_7d,0.945,55.04,58.23,2.583,85.39,33.05,1.764
12,15,0,55,30,12m,3f_rev_oca_opm,MA200_5d,0.94,54.27,57.74,2.569,84.7,32.97,1.7545
15,20,5,45,30,12m-1m,3f_rev_oca_gp,MA200_5d,0.851,51.0,59.93,2.649,84.12,31.75,1.75
6,20,0,45,35,12m,3f_rev_oca_opm,MA200_5d,0.903,51.83,57.37,2.542,80.91,31.83,1.7225
12,15,0,55,30,12m,3f_rev_oca_opm,MA200_7d,0.966,53.74,55.62,2.455,83.16,33.88,1.7105000000000001
2,20,0,50,30,12m,3f_rev_oca_opm,attack_only,1.422,61.55,43.29,1.349,56.93,42.19,1.3855
1,20,5,45,30,12m-1m,3f_rev_oca_opm,attack_only,1.448,64.95,44.86,1.278,57.31,44.86,1.363
7,20,5,45,30,12m,3f_rev_oca_opm,attack_only,1.272,60.81,47.81,1.401,55.06,39.28,1.3365
4,20,0,50,30,12m-1m,3f_rev_oca_opm,attack_only,1.307,53.54,40.97,1.18,48.06,40.71,1.2435
5,15,5,45,35,12m,3f_rev_oca_opm,attack_only,1.279,60.44,47.25,1.124,53.13,47.25,1.2015
3,20,0,45,35,12m-1m,3f_rev_oca_opm,attack_only,1.32,53.97,40.9,1.061,43.37,40.9,1.1905000000000001
8,15,0,55,30,12m,3f_rev_oca_gp,attack_only,1.243,57.84,46.55,1.047,48.74,46.55,1.145
6,20,0,45,35,12m,3f_rev_oca_opm,attack_only,1.277,59.79,46.84,1.012,47.38,46.84,1.1444999999999999
10,20,5,45,30,12m,3f_rev_oca_gp,attack_only,1.222,56.46,46.2,1.042,48.13,46.2,1.1320000000000001
9,15,0,50,35,12m,3f_rev_oca_opm,attack_only,1.237,58.61,47.39,1.008,47.76,47.39,1.1225
11,20,0,50,30,12m,3f_rev_oca_gp,attack_only,1.135,56.58,49.83,0.99,49.33,49.83,1.0625
12,15,0,55,30,12m,3f_rev_oca_opm,attack_only,1.122,52.23,46.54,0.925,43.07,46.54,1.0235
14,15,5,50,30,12m,3f_rev_oca_gp,attack_only,1.097,52.56,47.91,0.906,43.41,47.91,1.0015
13,20,5,50,25,12m-1m,3f_rev_oca_opm,attack_only,1.122,51.63,46.02,0.871,40.07,46.02,0.9965
15,20,5,45,30,12m-1m,3f_rev_oca_gp,attack_only,1.08,48.03,44.47,0.889,39.54,44.47,0.9845
