top5_idx,V,Q,G,M,mom,gs,regime,E,X,S,crash,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,3,6,3,-0.2,1.089,68.15,62.6,3.188,112.19,35.19,2.1385
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,3,6,3,None,1.089,68.15,62.6,3.188,112.19,35.19,2.1385
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,5,8,5,None,1.051,58.94,56.1,3.171,94.98,29.95,2.1109999999999998
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,5,8,5,-0.2,1.051,58.94,56.1,3.171,94.98,29.95,2.1109999999999998
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,5,8,5,-0.2,1.042,59.88,57.47,3.145,94.2,29.95,2.0935
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,5,8,5,None,1.042,59.88,57.47,3.145,94.2,29.95,2.0935
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,5,7,3,-0.2,1.046,65.99,63.11,3.041,109.18,35.91,2.0435
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,5,7,3,None,1.046,65.99,63.11,3.041,109.18,35.91,2.0435
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,8,5,-0.2,1.087,59.84,55.08,2.999,94.52,31.52,2.043
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,8,5,None,1.087,59.84,55.08,2.999,94.52,31.52,2.043
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,3,5,5,-0.2,0.993,63.36,63.83,3.082,104.74,33.98,2.0375
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,3,5,5,None,0.993,63.36,63.83,3.082,104.74,33.98,2.0375
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,10,5,None,1.003,57.76,57.59,3.05,91.36,29.95,2.0265
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,10,5,-0.2,1.003,57.76,57.59,3.05,91.36,29.95,2.0265
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,5,8,5,None,1.013,59.29,58.53,3.032,94.37,31.13,2.0225
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,5,8,5,-0.2,1.013,59.29,58.53,3.032,94.37,31.13,2.0225
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,5,8,5,-0.2,0.942,56.92,60.41,3.094,92.66,29.95,2.018
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,5,8,5,None,0.942,56.92,60.41,3.094,92.66,29.95,2.018
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,12,5,None,0.94,55.38,58.93,2.993,89.66,29.95,1.9665
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,5,12,5,-0.2,0.94,55.38,58.93,2.993,89.66,29.95,1.9665
