V,Q,G,M,mom,gs,E,X,S,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.195,121.01,37.88,3.181,104.85,32.96,3.1879999999999997
35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,2.16,112.85,52.24,4.097,121.57,29.68,3.1285000000000003
25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.672,106.14,39.72,3.558,119.71,33.64,3.115
30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.812,109.13,38.81,3.396,116.52,34.31,3.104
35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.505,126.64,50.56,3.643,119.41,32.78,3.074
30,15,10,45,6m-1m,2f_rev_oca_0.7,3,4,5,2.735,115.51,42.23,3.352,111.66,33.31,3.0435
35,0,15,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.871,109.11,38.0,3.145,115.42,36.7,3.008
35,0,20,45,6m-1m,2f_rev_oca_0.7,3,4,5,2.521,129.43,51.34,3.478,132.84,38.2,2.9995000000000003
25,10,15,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.577,102.41,39.73,3.358,113.03,33.66,2.9675000000000002
40,0,5,55,6m-1m,2f_rev_accel_opm_0.5,5,8,5,2.495,103.83,41.61,3.44,115.21,33.49,2.9675000000000002
35,15,10,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.045,127.9,42.0,2.866,114.3,39.88,2.9555
40,15,5,40,6m-1m,2f_rev_oca_0.7,3,4,5,3.137,123.76,39.45,2.765,109.06,39.45,2.951
30,5,20,45,6m-1m,2f_rev_oca_0.7,5,8,5,2.673,102.31,38.28,3.195,109.61,34.31,2.934
25,5,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.801,101.15,36.11,3.035,106.61,35.13,2.918
40,0,15,45,6m,2f_rev_oca_0.7,3,6,7,2.561,116.31,45.42,3.238,113.93,35.18,2.8994999999999997
40,5,5,50,6m-1m,2f_rev_accel_opm_0.5,5,8,5,2.569,101.98,39.7,3.221,109.21,33.91,2.895
40,15,15,30,6m-1m,2f_rev_accel_opm_0.5,3,4,5,3.143,123.04,39.15,2.639,103.3,39.15,2.891
25,10,20,45,6m-1m,2f_rev_oca_0.7,5,8,5,2.779,99.2,35.7,3.003,99.39,33.09,2.891
40,0,20,40,6m-1m,2f_rev_oca_0.7,3,4,5,2.668,127.33,47.72,3.081,126.77,41.14,2.8745000000000003
40,5,15,40,6m,2f_rev_oca_0.7,3,4,5,2.906,133.35,45.88,2.835,105.74,37.3,2.8705
40,0,15,45,6m-1m,2f_rev_oca_0.7,5,8,5,2.782,104.64,37.61,2.958,107.36,36.3,2.87
30,5,15,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.299,103.74,45.11,3.44,118.01,34.31,2.8695
40,15,5,40,6m-1m,2f_rev_accel_opm_0.5,3,4,5,2.946,119.58,40.59,2.782,107.0,38.46,2.864
