off_idx,def_idx,oV,oQ,oG,oM,o_mom,o_gs,oE,oX,oS,regime,dV,dQ,dG,dM,d_mom,d_gs,dE,dX,dS,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
0,0,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.264,123.64,37.88,3.44,107.66,31.3,3.352
1,0,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.264,123.64,37.88,3.44,107.66,31.3,3.352
0,2,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.681,108.12,40.32,3.685,123.96,33.64,3.183
1,2,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.681,108.12,40.32,3.685,123.96,33.64,3.183
0,3,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.859,110.57,38.67,3.361,118.36,35.21,3.1100000000000003
1,3,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.859,110.57,38.67,3.361,118.36,35.21,3.1100000000000003
2,1,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,2.025,100.2,49.49,4.126,104.04,25.21,3.0755
3,1,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,2.025,100.2,49.49,4.126,104.04,25.21,3.0755
1,1,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,2.092,113.78,54.38,4.057,125.3,30.89,3.0745000000000005
0,1,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,2.092,113.78,54.38,4.057,125.3,30.89,3.0745000000000005
3,2,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.515,94.9,37.73,3.578,102.83,28.74,3.0465
2,2,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.515,94.9,37.73,3.578,102.83,28.74,3.0465
4,2,20,5,45,30,12m-1m,3f_rev_oca_opm,5,8,5,MA200_7d,25,15,10,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.517,94.95,37.73,3.465,100.25,28.93,2.9909999999999997
4,1,20,5,45,30,12m-1m,3f_rev_oca_opm,5,8,5,MA200_7d,35,0,20,45,6m,2f_rev_oca_0.7,3,6,7,1.981,100.26,50.61,3.938,101.45,25.76,2.9595000000000002
2,3,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.736,97.19,35.52,2.963,97.75,32.99,2.8495
3,3,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.736,97.19,35.52,2.963,97.75,32.99,2.8495
4,3,20,5,45,30,12m-1m,3f_rev_oca_opm,5,8,5,MA200_7d,30,0,20,50,6m-1m,2f_rev_oca_0.7,5,8,5,2.702,97.24,35.98,2.871,95.24,33.18,2.7865
2,0,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.03,109.43,36.11,2.521,88.07,34.94,2.7755
3,0,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,3.03,109.43,36.11,2.521,88.07,34.94,2.7755
1,4,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.332,123.26,52.85,3.18,115.69,36.38,2.7560000000000002
0,4,15,5,50,30,12m,3f_rev_oca_gp,3,6,3,MA200_7d,35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.332,123.26,52.85,3.18,115.69,36.38,2.7560000000000002
4,0,20,5,45,30,12m-1m,3f_rev_oca_opm,5,8,5,MA200_7d,30,15,15,40,6m-1m,2f_rev_oca_0.7,3,6,7,2.994,109.49,36.57,2.449,85.68,34.98,2.7215
2,4,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.316,109.08,47.1,3.061,95.34,31.15,2.6885
3,4,15,5,45,35,12m,3f_rev_oca_opm,5,8,5,MA200_7d,35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.316,109.08,47.1,3.061,95.34,31.15,2.6885
4,4,20,5,45,30,12m-1m,3f_rev_oca_opm,5,8,5,MA200_7d,35,5,20,40,6m,2f_rev_oca_0.7,3,4,5,2.229,109.14,48.95,3.126,92.86,29.71,2.6775
