cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
0,base,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.895,179.77,36.72,351.08
0,base,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.05,80.4,19.85,215.68
0,base,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.521,94.3,37.41,269.63
0,base,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.373,168.16,31.3,777.97
0,base,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.44,107.66,31.3,4161.73
0,oV-5,2018H2-2019,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.278,186.32,35.3,366.61
0,base,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.264,123.64,37.88,44784.53
0,oV-5,2020-2021,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.894,109.27,37.75,327.79
0,oV-5,2022-2023,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.361,66.73,19.85,170.76
0,oV-5,5.25y,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.008,107.88,35.86,4185.1
0,oV-5,full,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.335,123.13,36.92,44016.85
0,oV-5,2024-2026,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.103,147.14,35.86,633.55
