strategy,period,cal,cagr,mdd,total
v77.1_current,7.8y,1.013,61.14,60.36,3625.71
v77.1_current,5.25y,2.659,94.61,35.58,2953.58
v77.1_current,2018H2-19,-0.603,-27.45,45.54,-37.49
v77.1_current,2020-21,0.854,37.51,43.91,87.2
v77.1_current,2022-23,1.855,66.02,35.58,168.5
v77.1_current,2024-26,7.008,197.77,28.22,1005.74
v79_cand_no_crash,7.8y,3.234,122.49,37.88,42937.08
v79_cand_no_crash,5.25y,3.44,107.66,31.3,4161.73
v79_cand_no_crash,2018H2-19,4.895,179.77,36.72,351.08
v79_cand_no_crash,2020-21,2.521,94.3,37.41,269.63
v79_cand_no_crash,2022-23,4.05,80.4,19.85,215.68
v79_cand_no_crash,2024-26,5.373,168.16,31.3,777.97
v79_cand_crash20,7.8y,3.234,122.49,37.88,42937.08
v79_cand_crash20,5.25y,3.44,107.66,31.3,4161.73
v79_cand_crash20,2018H2-19,4.895,179.77,36.72,351.08
v79_cand_crash20,2020-21,2.521,94.3,37.41,269.63
v79_cand_crash20,2022-23,4.05,80.4,19.85,215.68
v79_cand_crash20,2024-26,5.373,168.16,31.3,777.97
