variant,strategy,period,cal,cagr,mdd,total
original,v77.1,7.8y,1.01,62.08,61.48,3794.39
original,v77.1,5.25y,2.682,97.21,36.24,3169.21
original,v77.1,2018H2-19,-0.62,-29.17,47.07,-39.65
original,v77.1,2020-21,0.872,38.28,43.91,89.27
original,v77.1,2022-23,2.452,75.42,30.76,198.94
original,v77.1,2024-26,6.977,192.55,27.6,963.49
original,v79,7.8y,3.195,121.01,37.88,40808.5
original,v79,5.25y,3.181,104.85,32.96,3873.6
original,v79,2018H2-19,4.996,183.48,36.72,359.86
original,v79,2020-21,2.497,93.42,37.41,266.36
original,v79,2022-23,3.877,77.14,19.89,204.67
original,v79,2024-26,4.889,161.14,32.96,728.18
no_jeryong,v77.1,7.8y,0.829,50.95,61.48,2170.17
no_jeryong,v77.1,5.25y,2.139,77.54,36.24,1805.73
no_jeryong,v77.1,2018H2-19,-0.62,-29.17,47.07,-39.65
no_jeryong,v77.1,2020-21,0.872,38.28,43.91,89.27
no_jeryong,v77.1,2022-23,1.83,60.31,32.96,150.8
no_jeryong,v77.1,2024-26,5.413,147.97,27.33,638.93
no_jeryong,v79,7.8y,2.764,104.71,37.88,22781.25
no_jeryong,v79,5.25y,2.379,82.93,34.86,2122.54
no_jeryong,v79,2018H2-19,4.996,183.48,36.72,359.86
no_jeryong,v79,2020-21,2.497,93.42,37.41,266.36
no_jeryong,v79,2022-23,3.399,73.5,21.62,192.58
no_jeryong,v79,2024-26,2.992,104.31,34.86,382.37
sector_cap3,v77.1,7.8y,1.189,71.93,60.49,5990.86
sector_cap3,v77.1,5.25y,2.229,100.05,44.89,3417.91
sector_cap3,v77.1,2018H2-19,-0.628,-25.36,40.36,-34.84
sector_cap3,v77.1,2020-21,1.41,63.27,44.87,162.47
sector_cap3,v77.1,2022-23,3.021,66.26,21.93,169.27
sector_cap3,v77.1,2024-26,7.995,220.63,27.6,1201.43
sector_cap3,v79,7.8y,1.378,69.19,50.23,5293.75
sector_cap3,v79,5.25y,1.796,90.2,50.23,2614.68
sector_cap3,v79,2018H2-19,-0.19,-7.65,40.36,-11.0
sector_cap3,v79,2020-21,2.03,90.47,44.57,255.44
sector_cap3,v79,2022-23,2.603,61.96,23.8,155.85
sector_cap3,v79,2024-26,2.655,133.36,50.23,546.44
