cap,strategy,period,cal,cagr,mdd,total
2,v77.1,7.8y,1.166,60.72,52.09,3553.1
2,v77.1,5.25y,1.933,83.96,43.44,2187.43
2,v77.1,2018H2-19,-0.549,-18.49,33.68,-25.87
2,v77.1,2020-21,0.913,37.64,41.25,87.54
2,v77.1,2022-23,3.425,73.65,21.51,193.09
2,v77.1,2024-26,6.357,171.94,27.05,805.48
2,v79,7.8y,0.792,46.63,58.84,1721.81
2,v79,5.25y,1.101,64.81,58.84,1200.85
2,v79,2018H2-19,-0.305,-10.29,33.68,-14.69
2,v79,2020-21,1.259,51.91,41.25,127.72
2,v79,2022-23,2.0,46.84,23.42,111.4
2,v79,2024-26,1.663,97.84,58.84,349.38
3,v77.1,7.8y,1.189,71.93,60.49,5990.86
3,v77.1,5.25y,2.229,100.05,44.89,3417.91
3,v77.1,2018H2-19,-0.628,-25.36,40.36,-34.84
3,v77.1,2020-21,1.41,63.27,44.87,162.47
3,v77.1,2022-23,3.021,66.26,21.93,169.27
3,v77.1,2024-26,7.995,220.63,27.6,1201.43
3,v79,7.8y,1.378,69.19,50.23,5293.75
3,v79,5.25y,1.796,90.2,50.23,2614.68
3,v79,2018H2-19,-0.19,-7.65,40.36,-11.0
3,v79,2020-21,2.03,90.47,44.57,255.44
3,v79,2022-23,2.603,61.96,23.8,155.85
3,v79,2024-26,2.655,133.36,50.23,546.44
5,v77.1,7.8y,0.753,54.78,72.77,2645.14
5,v77.1,5.25y,2.204,98.53,44.71,3282.87
5,v77.1,2018H2-19,-0.694,-37.4,53.87,-49.64
5,v77.1,2020-21,0.859,39.94,46.48,93.77
5,v77.1,2022-23,3.3,73.15,22.17,191.43
5,v77.1,2024-26,7.165,197.73,27.6,1005.46
5,v79,7.8y,0.943,66.04,70.01,4575.82
5,v79,5.25y,3.617,108.57,30.02,4258.8
5,v79,2018H2-19,-0.612,-33.73,55.12,-45.26
5,v79,2020-21,1.943,89.82,46.23,253.07
5,v79,2022-23,3.509,61.17,17.43,153.44
5,v79,2024-26,6.172,178.92,28.99,857.41
7,v77.1,7.8y,0.641,48.82,76.21,1938.88
7,v77.1,5.25y,2.217,90.18,40.67,2612.91
7,v77.1,2018H2-19,-0.713,-43.56,61.06,-56.73
7,v77.1,2020-21,1.023,45.34,44.31,108.73
7,v77.1,2022-23,2.177,66.96,30.76,171.49
7,v77.1,2024-26,6.516,179.82,27.6,864.3
7,v79,7.8y,1.012,64.02,63.24,4162.64
7,v79,5.25y,3.223,98.86,30.67,3312.39
7,v79,2018H2-19,-0.549,-30.79,56.08,-41.66
7,v79,2020-21,2.237,87.63,39.17,245.1
7,v79,2022-23,3.389,62.45,18.43,157.36
7,v79,2024-26,5.22,160.1,30.67,720.89
99,v77.1,7.8y,1.01,62.08,61.48,3794.39
99,v77.1,5.25y,2.682,97.21,36.24,3169.21
99,v77.1,2018H2-19,-0.62,-29.17,47.07,-39.65
99,v77.1,2020-21,0.872,38.28,43.91,89.27
99,v77.1,2022-23,2.452,75.42,30.76,198.94
99,v77.1,2024-26,6.977,192.55,27.6,963.49
99,v79,7.8y,3.195,121.01,37.88,40808.5
99,v79,5.25y,3.181,104.85,32.96,3873.6
99,v79,2018H2-19,4.996,183.48,36.72,359.86
99,v79,2020-21,2.497,93.42,37.41,266.36
99,v79,2022-23,3.877,77.14,19.89,204.67
99,v79,2024-26,4.889,161.14,32.96,728.18
