cap,off_rank,defense,V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
5,9,v79,20,15,30,35,12m,3f_rev_oca_gp,0.757,51.63,68.24,2.936,88.35,30.09,1.8465
3,9,v77.1,20,15,30,35,12m,3f_rev_oca_gp,1.082,65.44,60.47,2.48,105.9,42.7,1.7810000000000001
3,8,v77.1,20,5,30,45,6m-1m,2f_rev_oca_0.7,1.014,62.15,61.27,2.39,95.65,40.02,1.702
3,3,v77.1,15,0,40,45,6m-1m,3f_rev_oca_gp,0.996,64.79,65.02,2.356,97.76,41.49,1.676
3,1,v77.1,25,0,30,45,12m-1m,3f_rev_oca_gp,1.042,59.28,56.91,2.263,90.22,39.87,1.6524999999999999
3,7,v77.1,10,5,40,45,6m-1m,3f_rev_oca_gp,0.972,62.89,64.72,2.329,93.07,39.96,1.6505
3,15,v77.1,25,5,40,30,12m,2f_rev_oca_0.7,1.098,62.59,57.03,2.173,86.28,39.7,1.6355
3,10,v77.1,25,15,30,30,12m,3f_rev_oca_gp,0.986,60.24,61.1,2.235,96.31,43.09,1.6105
5,15,v79,25,5,40,30,12m,2f_rev_oca_0.7,0.788,53.15,67.42,2.296,80.61,35.11,1.5419999999999998
5,9,v77.1,20,15,30,35,12m,3f_rev_oca_gp,0.792,51.33,64.77,2.284,96.52,42.27,1.5379999999999998
5,3,v79,15,0,40,45,6m-1m,3f_rev_oca_gp,0.626,45.21,72.24,2.288,71.02,31.04,1.4569999999999999
5,8,v79,20,5,30,45,6m-1m,2f_rev_oca_0.7,0.563,41.23,73.28,2.226,72.22,32.45,1.3944999999999999
5,15,v77.1,25,5,40,30,12m,2f_rev_oca_0.7,0.827,52.84,63.86,1.891,88.44,46.78,1.359
5,10,v79,25,15,30,30,12m,3f_rev_oca_gp,0.549,38.68,70.51,2.162,67.2,31.08,1.3555
3,9,v79,20,15,30,35,12m,3f_rev_oca_gp,1.072,55.56,51.84,1.6,76.98,48.11,1.336
5,13,v79,15,10,30,45,6m-1m,2f_rev_oca_0.7,0.566,40.08,70.8,2.079,69.96,33.66,1.3225
5,3,v77.1,15,0,40,45,6m-1m,3f_rev_oca_gp,0.649,44.92,69.2,1.984,78.43,39.54,1.3165
5,8,v77.1,20,5,30,45,6m-1m,2f_rev_oca_0.7,0.582,40.95,70.36,2.034,79.69,39.17,1.3079999999999998
5,7,v79,10,5,40,45,6m-1m,3f_rev_oca_gp,0.574,41.75,72.78,2.027,65.37,32.25,1.3005
3,2,v77.1,25,5,30,40,12m-1m,2f_rev_oca_0.7,0.873,52.07,59.65,1.724,80.57,46.74,1.2985
3,13,v77.1,15,10,30,45,6m-1m,2f_rev_oca_0.7,0.792,50.33,63.53,1.803,80.34,44.57,1.2974999999999999
5,7,v77.1,10,5,40,45,6m-1m,3f_rev_oca_gp,0.594,41.47,69.8,1.834,72.53,39.54,1.214
3,15,v79,25,5,40,30,12m,2f_rev_oca_0.7,1.11,52.88,47.65,1.286,60.11,46.74,1.198
3,14,v77.1,25,10,20,45,6m-1m,3f_rev_oca_gp,0.713,44.98,63.1,1.666,74.99,45.0,1.1895
5,1,v79,25,0,30,45,12m-1m,3f_rev_oca_gp,0.561,37.85,67.45,1.813,61.44,33.89,1.187
3,3,v79,15,0,40,45,6m-1m,3f_rev_oca_gp,0.957,54.94,57.38,1.409,69.97,49.65,1.183
5,1,v77.1,25,0,30,45,12m-1m,3f_rev_oca_gp,0.588,37.58,63.89,1.749,68.43,39.12,1.1685
3,8,v79,20,5,30,45,6m-1m,2f_rev_oca_0.7,0.993,52.47,52.82,1.311,68.16,51.98,1.152
3,1,v79,25,0,30,45,12m-1m,3f_rev_oca_gp,1.008,49.77,49.37,1.286,63.5,49.37,1.147
5,13,v77.1,15,10,30,45,6m-1m,2f_rev_oca_0.7,0.589,39.8,67.61,1.696,77.32,45.58,1.1425
