label,cagr,mdd,calmar,sharpe,sortino,total
sma20 > 1.5,150.59,36.57,4.117,0.821,4.992,112725.91
sma20 > 1.8,151.07,38.17,3.958,0.822,4.97,114379.94
sma5 > 2.0,150.82,38.17,3.952,0.822,4.926,113527.67
sma5 > 1.7,150.82,38.17,3.952,0.822,4.926,113527.67
sma5 > 1.5,150.59,38.17,3.946,0.822,4.923,112730.12
baseline,150.26,38.17,3.937,0.821,4.919,111574.7
sma5 > 1.3,150.11,38.17,3.933,0.82,4.911,111070.83
sma20 > 2.0,149.9,38.17,3.928,0.82,4.916,110372.62
sma20 > 2.5,149.67,38.17,3.922,0.82,4.912,109605.46
RSI > 86,145.2,37.16,3.907,0.808,4.89,95422.34
sma5 > 1.2,147.18,38.17,3.856,0.813,4.907,101497.32
RSI > 85,142.92,37.16,3.846,0.802,4.858,88838.47
sma5 > 1.4,146.57,38.17,3.84,0.812,4.87,99576.86
RSI > 87,138.42,36.79,3.763,0.792,4.76,76988.58
RSI > 88,137.06,37.42,3.663,0.79,4.476,73693.04
RSI > 83,130.97,36.02,3.636,0.772,4.667,60360.69
RSI > 84,135.06,37.16,3.634,0.783,4.755,69047.69
RSI > 82,127.97,36.02,3.553,0.764,4.625,54612.91
sma20 > 1.3,123.69,37.57,3.292,0.753,4.522,47216.71
