label,t,cagr,mdd,calmar,sharpe,sortino,total
sma20>1.45,1.45,155.79,36.57,4.259,0.833,5.077,131913.9
sma20>1.50,1.5,150.59,36.57,4.117,0.821,4.992,112725.91
sma20>1.65,1.65,152.41,38.17,3.993,0.826,4.982,119134.84
sma20>1.60,1.6,151.84,38.17,3.979,0.824,4.97,117113.3
baseline,,150.26,38.17,3.937,0.821,4.919,111574.7
sma20>1.55,1.55,149.87,38.17,3.927,0.82,4.941,110277.9
sma20>1.40,1.4,143.83,36.8,3.909,0.805,4.865,91433.93
sma20>1.70,1.7,147.1,38.17,3.854,0.813,4.918,101255.65
sma20>1.35,1.35,134.52,37.21,3.615,0.781,4.758,67847.53
sma20>1.30,1.3,123.69,37.57,3.292,0.753,4.522,47216.71
