label,t,cagr,mdd,calmar,sharpe,sortino,total
sma20>1.45,1.45,155.79,36.57,4.259,0.833,5.077,131913.9
sma20>1.50,1.5,150.59,36.57,4.117,0.821,4.992,112725.91
sma5>1.25,1.25,155.59,38.17,4.077,0.834,4.994,131129.28
sma20>1.65,1.65,152.41,38.17,3.993,0.826,4.982,119134.84
sma20>1.60,1.6,151.84,38.17,3.979,0.824,4.97,117113.3
sma20>1.80,1.8,151.07,38.17,3.958,0.822,4.97,114379.94
sma5>1.50,1.5,150.59,38.17,3.946,0.822,4.923,112730.12
baseline,,150.26,38.17,3.937,0.821,4.919,111574.7
sma5>1.30,1.3,150.11,38.17,3.933,0.82,4.911,111070.83
sma20>2.00,2.0,149.9,38.17,3.928,0.82,4.916,110372.62
sma20>1.55,1.55,149.87,38.17,3.927,0.82,4.941,110277.9
sma20>1.40,1.4,143.83,36.8,3.909,0.805,4.865,91433.93
sma5>1.20,1.2,147.18,38.17,3.856,0.813,4.907,101497.32
sma20>1.70,1.7,147.1,38.17,3.854,0.813,4.918,101255.65
sma5>1.40,1.4,146.57,38.17,3.84,0.812,4.87,99576.86
sma20>1.35,1.35,132.61,37.21,3.564,0.776,4.723,63717.79
sma5>1.15,1.15,139.48,39.64,3.519,0.795,4.724,79647.2
sma20>1.30,1.3,123.54,37.57,3.288,0.752,4.521,46975.04
