sl,ts,label,7.8y,cagr,mdd,WF1,WF2,WF3,WF4,wf_min,wf_mean,cv
-0.05,-0.18,SL-5_TS-18,4.071,142.06,34.89,6.132,2.785,4.468,5.972,2.785,4.83925,0.27939128220367965
-0.06,-0.18,SL-6_TS-18,4.048,141.26,34.89,5.884,2.744,4.453,6.595,2.744,4.919,0.299607470513989
-0.07,-0.08,SL-7_TS-8,4.015,143.09,35.64,6.523,2.613,4.42,7.458,2.613,5.2535,0.3578669563289139
-0.07,-0.15,SL-7_TS-15,4.013,139.63,34.8,5.937,2.889,4.189,7.491,2.889,5.1265,0.3397305693051611
-0.07,-0.18,SL-7_TS-18,3.984,139.01,34.89,5.937,2.94,4.264,7.358,2.94,5.124750000000001,0.3259510256920933
-0.05,-0.15,SL-5_TS-15,3.981,138.92,34.89,6.132,2.683,4.37,5.8,2.683,4.74625,0.2871389301752255
-0.09,-0.08,SL-9_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.08,-0.08,SL-8_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
,-0.08,SLX_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.12,-0.08,SL-12_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.2,-0.08,SL-20_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.15,-0.08,SL-15_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.1,-0.08,SL-10_TS-8,3.977,141.73,35.64,6.207,2.613,4.349,7.395,2.613,5.141,0.3538205560814171
-0.07,-0.1,SL-7_TS-10,3.967,138.41,34.89,5.81,2.669,4.168,7.218,2.669,4.96625,0.34433085234129746
-0.06,-0.15,SL-6_TS-15,3.966,138.38,34.89,5.884,2.695,4.376,6.338,2.695,4.823250000000001,0.2959280194246992
-0.08,-0.18,SL-8_TS-18,3.956,138.05,34.89,6.171,2.873,4.022,7.358,2.873,5.106,0.3443679090128861
-0.09,-0.18,SL-9_TS-18,3.951,137.88,34.89,5.963,2.628,4.076,7.583,2.628,5.0625,0.37038739713948454
-0.05,-0.2,SL-5_TS-20,3.947,137.74,34.89,6.132,2.785,4.344,5.528,2.785,4.6972499999999995,0.27201166812787503
-0.1,-0.18,SL-10_TS-18,3.937,137.37,34.89,6.286,2.63,3.952,7.486,2.63,5.0885,0.37439637247788177
-0.08,-0.15,SL-8_TS-15,3.937,139.1,35.33,6.219,2.822,4.114,7.409,2.822,5.141,0.34712013611826376
-0.05,-0.12,SL-5_TS-12,3.932,137.21,34.89,6.132,2.836,4.538,5.097,2.836,4.65075,0.25665909237985246
-0.09,-0.15,SL-9_TS-15,3.927,138.77,35.33,6.008,2.636,4.168,7.503,2.636,5.07875,0.3622214551377971
-0.06,-0.08,SL-6_TS-8,3.927,139.97,35.64,6.323,2.629,4.611,5.576,2.629,4.78475,0.2894016361758228
-0.06,-0.2,SL-6_TS-20,3.925,136.95,34.89,5.884,2.744,4.329,6.107,2.744,4.766,0.2839870668132158
-0.08,-0.1,SL-8_TS-10,3.922,136.87,34.89,6.024,2.578,4.099,7.218,2.578,4.97975,0.3570348654686717
-0.05,-0.08,SL-5_TS-8,3.921,139.73,35.64,6.457,2.659,4.531,5.395,2.659,4.7604999999999995,0.2923877543409178
-0.07,-0.12,SL-7_TS-12,3.902,136.16,34.89,5.937,2.387,4.372,6.381,2.387,4.7692499999999995,0.3281003047440177
-0.09,-0.1,SL-9_TS-10,3.897,136.0,34.89,5.971,2.578,4.15,6.795,2.578,4.8735,0.3354335752680509
-0.07,-0.2,SL-7_TS-20,3.891,135.77,34.89,5.937,2.94,4.142,6.967,2.94,4.9965,0.31209621583596825
-0.08,-0.2,SL-8_TS-20,3.886,135.62,34.89,6.171,2.873,4.022,6.967,2.873,5.00825,0.32688499361955264
-0.05,,SL-5_TSX,3.879,138.87,35.8,6.132,2.785,4.355,5.126,2.785,4.5995,0.2657880702281022
-0.09,-0.2,SL-9_TS-20,3.873,135.16,34.89,5.963,2.628,4.076,7.138,2.628,4.95125,0.3493697454221105
-0.12,-0.18,SL-12_TS-18,3.871,135.08,34.89,5.846,2.725,3.806,7.425,2.725,4.9505,0.36678125489709473
-0.06,-0.12,SL-6_TS-12,3.868,134.97,34.89,5.884,2.836,4.357,5.5,2.836,4.64425,0.2552602426402307
-0.06,-0.1,SL-6_TS-10,3.868,134.97,34.89,5.864,2.731,4.293,5.251,2.731,4.53475,0.2607326688943416
-0.06,,SL-6_TSX,3.865,138.08,35.73,5.884,2.744,4.34,5.595,2.744,4.64075,0.2670672772931737
-0.1,-0.15,SL-10_TS-15,3.861,137.96,35.73,6.286,2.582,4.188,7.351,2.582,5.101749999999999,0.3620328580574649
-0.2,-0.15,SL-20_TS-15,3.855,137.73,35.73,5.908,2.768,4.096,7.291,2.768,5.015750000000001,0.3434640611919835
-0.15,-0.15,SL-15_TS-15,3.855,137.73,35.73,5.908,2.768,4.096,7.291,2.768,5.015750000000001,0.3434640611919835
,-0.15,SLX_TS-15,3.855,137.73,35.73,5.908,2.768,4.096,7.291,2.768,5.015750000000001,0.3434640611919835
-0.09,-0.12,SL-9_TS-12,3.85,134.34,34.89,5.969,2.772,4.231,6.03,2.772,4.7505,0.2844962909253016
-0.15,-0.1,SL-15_TS-10,3.836,133.84,34.89,6.349,2.578,4.244,6.249,2.578,4.8549999999999995,0.32130043654033597
,-0.1,SLX_TS-10,3.836,133.84,34.89,6.349,2.578,4.244,6.249,2.578,4.8549999999999995,0.32130043654033597
-0.2,-0.1,SL-20_TS-10,3.836,133.84,34.89,6.349,2.578,4.244,6.249,2.578,4.8549999999999995,0.32130043654033597
-0.12,-0.1,SL-12_TS-10,3.836,133.84,34.89,6.349,2.578,4.244,6.249,2.578,4.8549999999999995,0.32130043654033597
-0.1,-0.2,SL-10_TS-20,3.836,133.86,34.89,6.286,2.63,3.834,7.045,2.63,4.94875,0.36150100785826905
-0.1,-0.1,SL-10_TS-10,3.836,133.84,34.89,6.349,2.578,4.244,6.249,2.578,4.8549999999999995,0.32130043654033597
-0.05,-0.1,SL-5_TS-10,3.835,133.84,34.89,6.044,2.731,3.929,5.077,2.731,4.44525,0.2791733289970539
-0.05,-0.3,SL-5_TS-30,3.826,136.99,35.8,6.132,2.785,4.355,4.914,2.785,4.5465,0.26458965750882524
-0.1,-0.25,SL-10_TS-25,3.818,132.87,34.8,6.286,2.63,3.834,6.756,2.63,4.8765,0.3500068393040372
-0.09,-0.25,SL-9_TS-25,3.814,132.71,34.8,5.963,2.628,4.076,5.967,2.628,4.6585,0.3012175798539521
-0.08,-0.12,SL-8_TS-12,3.813,133.07,34.89,6.159,2.338,4.179,5.811,2.338,4.6217500000000005,0.3279423890324823
-0.12,-0.15,SL-12_TS-15,3.811,136.16,35.73,5.846,2.72,4.036,7.291,2.72,4.97325,0.3495658885789696
,-0.2,SLX_TS-20,3.8,132.6,34.89,6.233,2.577,3.748,6.992,2.577,4.8875,0.3670932789115871
-0.2,-0.2,SL-20_TS-20,3.8,132.6,34.89,6.233,2.577,3.748,6.992,2.577,4.8875,0.3670932789115871
-0.2,-0.25,SL-20_TS-25,3.797,132.12,34.8,6.233,2.577,3.754,6.78,2.577,4.835999999999999,0.3582256295313962
-0.15,-0.18,SL-15_TS-18,3.797,134.77,35.49,5.676,2.642,3.865,7.425,2.642,4.902,0.3698447935614405
-0.06,-0.3,SL-6_TS-30,3.796,135.63,35.73,5.884,2.744,4.34,5.294,2.744,4.5655,0.26003934918719973
-0.1,,SL-10_TSX,3.777,133.47,35.33,6.286,2.63,3.834,6.891,2.63,4.91025,0.3552887797870077
-0.1,-0.3,SL-10_TS-30,3.777,133.47,35.33,6.286,2.63,3.834,6.891,2.63,4.91025,0.3552887797870077
-0.09,-0.3,SL-9_TS-30,3.773,133.31,35.33,5.963,2.628,4.076,6.087,2.628,4.6885,0.3053997443101471
-0.09,,SL-9_TSX,3.773,133.31,35.33,5.963,2.628,4.076,6.087,2.628,4.6885,0.3053997443101471
-0.12,-0.2,SL-12_TS-20,3.772,131.61,34.89,5.846,2.725,3.69,6.987,2.725,4.811999999999999,0.3510490252647469
,-0.18,SLX_TS-18,3.756,133.93,35.65,5.635,2.486,3.865,7.425,2.486,4.85275,0.38283249798990254
,-0.25,SLX_TS-25,3.756,130.69,34.8,6.233,2.668,3.754,5.908,2.668,4.64075,0.31996146479614923
-0.2,-0.18,SL-20_TS-18,3.756,133.93,35.65,5.635,2.486,3.865,7.425,2.486,4.85275,0.38283249798990254
-0.07,,SL-7_TSX,3.745,133.8,35.73,5.937,2.94,4.153,5.938,2.94,4.742,0.2678395350445765
-0.07,-0.3,SL-7_TS-30,3.745,133.8,35.73,5.937,2.94,4.153,5.938,2.94,4.742,0.2678395350445765
-0.08,-0.3,SL-8_TS-30,3.739,133.57,35.73,6.171,2.873,4.022,5.938,2.873,4.751,0.28790087486442284
-0.08,,SL-8_TSX,3.739,133.57,35.73,6.171,2.873,4.022,5.938,2.873,4.751,0.28790087486442284
-0.07,-0.25,SL-7_TS-25,3.721,132.94,35.73,5.937,2.94,4.153,5.82,2.94,4.7125,0.26377846417285206
-0.05,-0.25,SL-5_TS-25,3.72,133.19,35.8,6.132,2.785,4.355,4.497,2.785,4.44225,0.26664847315628015
-0.08,-0.25,SL-8_TS-25,3.715,132.72,35.73,6.171,2.873,4.022,5.82,2.873,4.721500000000001,0.2844318524679492
-0.12,-0.25,SL-12_TS-25,3.712,129.27,34.82,5.846,2.725,3.7,5.837,2.725,4.527,0.3001880384460827
-0.06,-0.25,SL-6_TS-25,3.706,132.42,35.73,5.884,2.744,4.34,4.91,2.744,4.4695,0.2548306632005199
-0.15,-0.2,SL-15_TS-20,3.7,131.33,35.49,5.676,2.642,3.748,6.992,2.642,4.7645,0.35325168654700256
-0.2,,SL-20_TSX,3.669,131.1,35.73,6.233,2.577,3.754,6.027,2.577,4.647749999999999,0.3316179422125013
,,SLX_TSX,3.669,131.1,35.73,6.233,2.668,3.754,6.027,2.668,4.6705,0.32350212866837696
,-0.3,SLX_TS-30,3.669,131.1,35.73,6.233,2.668,3.754,6.027,2.668,4.6705,0.32350212866837696
-0.2,-0.3,SL-20_TS-30,3.669,131.1,35.73,6.233,2.577,3.754,6.027,2.577,4.647749999999999,0.3316179422125013
-0.15,-0.25,SL-15_TS-25,3.635,129.0,35.49,5.676,2.642,3.759,5.842,2.642,4.47975,0.29914767166157974
-0.12,-0.3,SL-12_TS-30,3.629,129.67,35.73,5.846,2.725,3.7,5.955,2.725,4.5565,0.3046280947541568
-0.12,,SL-12_TSX,3.629,129.67,35.73,5.846,2.725,3.7,5.955,2.725,4.5565,0.3046280947541568
-0.15,-0.3,SL-15_TS-30,3.622,129.4,35.73,5.676,2.642,3.759,5.96,2.642,4.50925,0.3039793037754474
-0.15,,SL-15_TSX,3.622,129.4,35.73,5.676,2.642,3.759,5.96,2.642,4.50925,0.3039793037754474
-0.1,-0.12,SL-10_TS-12,3.505,132.9,37.92,6.226,2.772,4.262,5.95,2.772,4.802499999999999,0.28998967056822256
-0.15,-0.12,SL-15_TS-12,3.392,130.35,38.43,6.143,2.338,4.109,5.436,2.338,4.5065,0.32161397765648136
-0.12,-0.12,SL-12_TS-12,3.392,130.35,38.43,6.143,2.338,4.109,5.436,2.338,4.5065,0.32161397765648136
-0.2,-0.12,SL-20_TS-12,3.392,130.35,38.43,6.143,2.338,4.109,5.436,2.338,4.5065,0.32161397765648136
,-0.12,SLX_TS-12,3.392,130.35,38.43,6.143,2.338,4.109,5.436,2.338,4.5065,0.32161397765648136
