method,cal_78,cal_525,score,delta
L_badpenalty_0.5,3.933,4.699,4.29897278428231,0.10530434245241249
G_defonly_pen1.0_dur45,3.922,4.66,4.275104677081019,0.08143623525112087
L_badpenalty_1.0,3.918,4.654,4.270172361860818,0.07650392003092055
L_badpenalty_0.3,3.91,4.657,4.267185254942654,0.07351681311275637
G_defonly_pen0.5_dur45,3.908,4.652,4.263802997325275,0.07013455549537717
L_badpenalty_1.5,3.882,4.671,4.258265139701848,0.06459669787195033
G_defonly_pen1.5_dur45,3.882,4.671,4.258265139701848,0.06459669787195033
G_defonly_pen1.0_dur30,3.906,4.638,4.256292753089242,0.06262431125934409
G_defonly_pen0.5_dur30,3.906,4.638,4.256292753089242,0.06262431125934409
G_defonly_pen1.5_dur30,3.876,4.667,4.253150832030296,0.05948239020039825
G_defonly_pen2.0_dur45,3.844,4.587,4.199098474672867,0.005430032842968835
B_mom+0.3_dur30,3.861,4.555,4.193668441829898,0.0
H_momreduce_1.0,3.861,4.555,4.193668441829898,0.0
H_momreduce_0.7,3.861,4.555,4.193668441829898,0.0
B_mom+0.3_dur45,3.861,4.555,4.193668441829898,0.0
H_momreduce_0.3,3.861,4.555,4.193668441829898,0.0
H_momreduce_0.5,3.861,4.555,4.193668441829898,0.0
B_mom+1.0_dur30,3.861,4.555,4.193668441829898,0.0
B_mom+1.0_dur45,3.861,4.555,4.193668441829898,0.0
B_mom+0.5_dur45,3.861,4.555,4.193668441829898,0.0
B_mom+0.5_dur30,3.861,4.555,4.193668441829898,0.0
B_mom+0.7_dur45,3.861,4.555,4.193668441829898,0.0
B_mom+0.7_dur30,3.861,4.555,4.193668441829898,0.0
G_defonly_pen2.0_dur30,3.808,4.528,4.1524238704640934,-0.04124457136580428
M_asym_g0.2_b1.0,3.721,4.132,3.92111871791712,-0.2725497239127779
D_growth+0.3_dur45,3.709,4.142,3.919525226350763,-0.27414321547913456
M_asym_g0.3_b1.0,3.568,4.006,3.780662375827813,-0.4130060660020849
M_asym_g0.3_b1.5,3.589,3.656,3.622345096757072,-0.5713233450728259
D_growth+0.5_dur45,3.178,4.09,3.6052766884110294,-0.5883917534188683
M_asym_g0.5_b2.0,3.362,3.748,3.5497571747937915,-0.6439112670361062
D_growth+0.3_dur30,3.686,3.366,3.5223679535221755,-0.6713004883077223
I_rev_boost_0.3,3.506,3.516,3.5109964397589466,-0.6826720020709511
M_asym_g0.5_b1.0,3.331,3.638,3.481117349357818,-0.7125510924720797
I_rev_boost_0.5,3.122,3.572,3.3394286936540505,-0.8542397481758472
J_value_0.5,2.786,3.902,3.2971157092222287,-0.896552732607669
K_allfactor_0.2,3.021,3.514,3.2581887606460125,-0.9354796811838852
D_growth+0.5_dur30,3.229,3.273,3.250925560513498,-0.9427428813163998
K_allfactor_0.3,2.445,3.991,3.1237789614503777,-1.06988948037952
I_rev_boost_0.7,2.93,3.258,3.089650465667597,-1.1040179761623006
J_value_1.0,2.485,3.106,2.778202656394958,-1.41546578543494
D_growth+1.0_dur30,2.153,1.95,2.048987554867037,-2.1446808869628606
J_value_1.5,1.616,2.468,1.9970698535604607,-2.196598588269437
I_rev_boost_1.0,1.98,1.992,1.98599093653521,-2.2076775052946878
K_allfactor_0.5,1.856,1.946,1.9004673109527561,-2.293201130877142
I_rev_boost_1.5,2.059,1.525,1.7719974604947943,-2.4216709813351036
D_growth+1.0_dur45,1.643,1.369,1.499755646763832,-2.6939127950660655
