buff,nerf,dur,cal_78,cal_525,score,delta
-0.5,0.0,30,3.861,4.555,4.193668441829898,0.0
-0.5,0.0,45,3.861,4.555,4.193668441829898,0.0
-1.5,2.0,30,3.861,4.555,4.193668441829898,0.0
-1.5,2.0,45,3.861,4.555,4.193668441829898,0.0
-2.0,0.0,30,3.861,4.555,4.193668441829898,0.0
-2.0,0.0,45,3.861,4.555,4.193668441829898,0.0
-2.0,0.5,30,3.861,4.555,4.193668441829898,0.0
-2.0,0.5,45,3.861,4.555,4.193668441829898,0.0
-2.0,1.0,30,3.861,4.555,4.193668441829898,0.0
-2.0,1.0,45,3.861,4.555,4.193668441829898,0.0
-2.0,2.0,30,3.861,4.555,4.193668441829898,0.0
-2.0,2.0,45,3.861,4.555,4.193668441829898,0.0
-3.0,0.0,30,3.861,4.555,4.193668441829898,0.0
-3.0,0.0,45,3.861,4.555,4.193668441829898,0.0
-3.0,0.5,30,3.861,4.555,4.193668441829898,0.0
-3.0,0.5,45,3.861,4.555,4.193668441829898,0.0
-3.0,1.0,30,3.861,4.555,4.193668441829898,0.0
-3.0,1.0,45,3.861,4.555,4.193668441829898,0.0
-3.0,2.0,30,3.861,4.555,4.193668441829898,0.0
-1.5,1.0,45,3.861,4.555,4.193668441829898,0.0
-1.5,1.0,30,3.861,4.555,4.193668441829898,0.0
-1.5,0.5,45,3.861,4.555,4.193668441829898,0.0
-1.0,0.0,45,3.861,4.555,4.193668441829898,0.0
-0.5,0.5,30,3.861,4.555,4.193668441829898,0.0
-0.5,0.5,45,3.861,4.555,4.193668441829898,0.0
-0.5,1.0,30,3.861,4.555,4.193668441829898,0.0
-0.5,1.0,45,3.861,4.555,4.193668441829898,0.0
-0.5,2.0,30,3.861,4.555,4.193668441829898,0.0
-0.5,2.0,45,3.861,4.555,4.193668441829898,0.0
-1.0,0.0,30,3.861,4.555,4.193668441829898,0.0
-1.0,0.5,30,3.861,4.555,4.193668441829898,0.0
-1.5,0.5,30,3.861,4.555,4.193668441829898,0.0
-1.0,0.5,45,3.861,4.555,4.193668441829898,0.0
-1.0,1.0,30,3.861,4.555,4.193668441829898,0.0
-1.0,1.0,45,3.861,4.555,4.193668441829898,0.0
-1.0,2.0,30,3.861,4.555,4.193668441829898,0.0
-1.0,2.0,45,3.861,4.555,4.193668441829898,0.0
-1.5,0.0,30,3.861,4.555,4.193668441829898,0.0
-1.5,0.0,45,3.861,4.555,4.193668441829898,0.0
-3.0,2.0,45,3.861,4.555,4.193668441829898,0.0
