method,cal_78,cal_525,score,delta
PENALTY_all_0.5_dur90,3.992,4.778,4.36735343199975,0.1736849901698525
PENALTY_all_0.3_dur90,3.941,4.683,4.296010125686391,0.10234168385649323
PENALTY_all_1.0_dur90,3.936,4.624,4.266153302449409,0.07248486061951098
EXTREME_opm15+_1.0_dur90,3.823,3.824,3.823499967307441,-0.37016847452245694
EXTREME_opm15+_0.5_dur90,3.854,3.736,3.794541342507682,-0.3991270993222158
ASYM_g0.3_b0.5_dur90,3.151,4.215,3.644374431915579,-0.5492940099143189
ASYM_g0.5_b0.5_dur60,3.407,3.783,3.5900809183081095,-0.6035875235217882
ASYM_g0.5_b0.5_dur180,3.507,3.547,3.526943294128784,-0.6667251477011136
ASYM_g0.3_b1.0_dur90,3.108,3.9,3.481551378336962,-0.7121170634929359
BOOST_rev+mom_0.3_dur90,3.089,3.619,3.3435147674266372,-0.8501536744032605
ASYM_g0.5_b0.5_dur150,2.876,3.509,3.1767725760589154,-1.0168958657709823
ASYM_g0.5_b0.5_dur120,2.851,3.508,3.162484466365013,-1.0311839754648848
EXTREME_opm15+_1.5_dur90,3.025,3.284,3.1518407320167685,-1.0418277098131292
ASYM_g0.5_b0.5_dur90,2.739,3.272,2.993661303487754,-1.2000071383421438
ASYM_g0.5_b0.5_dur90,2.739,3.272,2.993661303487754,-1.2000071383421438
ASYM_g0.5_b1.0_dur90,2.8,3.121,2.95614613982462,-1.237522302005278
BOOST_rev+mom_0.5_dur90,2.684,3.04,2.856459346813814,-1.3372090950160835
TOP20_boost_0.5_dur90,2.938,2.694,2.813356003068222,-1.3803124387616759
TOP20_boost_1.0_dur90,2.51,2.08,2.2849070002956355,-1.9087614415342622
TOP20_boost_1.5_dur90,2.609,1.947,2.253824083640957,-1.9398443581889406
BOOST_rev+mom_1.0_dur90,2.154,2.253,2.202943939368408,-1.99072450246149
ASYM_g1.0_b0.5_dur90,2.178,2.136,2.1568977722646014,-2.0367706695652963
