method,cal_78,cal_525,score,delta
R_momboost2.0+Lpen,3.933,4.699,4.29897278428231,0.10530434245241249
R_momboost1.5+Lpen,3.933,4.699,4.29897278428231,0.10530434245241249
R_momboost1.0+Lpen,3.933,4.699,4.29897278428231,0.10530434245241249
R_momboost0.5+Lpen,3.933,4.699,4.29897278428231,0.10530434245241249
O_extreme+Lpen_gbs0.3,3.677,4.132,3.897866595972725,-0.29580184585717273
P_proportional_sc0.01,3.746,3.641,3.693126859451216,-0.5005415823786818
O_extreme+Lpen_gbs0.5,3.713,3.589,3.6504735309271865,-0.5431949109027112
N_extreme_opm>5.0%_bs0.5,3.275,3.599,3.4331800127578513,-0.7604884290720464
N_extreme_opm>2.0%_bs0.5,3.132,3.572,3.344772638012934,-0.8488958038169638
P_proportional_sc0.05,3.26,3.243,3.2514888897242136,-0.9421795521056842
P_proportional_sc0.02,3.509,2.993,3.2407463646512045,-0.9529220771786933
Q_top20only_bs0.3,3.407,2.982,3.1874243520435117,-1.006244089786386
O_extreme+Lpen_gbs1.0,3.219,3.084,3.1507770470155454,-1.0428913948143523
Q_top20only_bs0.5,3.254,2.974,3.110851330423876,-1.0828171114060217
N_extreme_opm>10.0%_bs0.5,3.26,2.718,2.976689436269763,-1.2169790055601348
N_extreme_opm>10.0%_bs1.0,2.753,2.258,2.493245675820977,-1.7004227660089208
N_extreme_opm>10.0%_bs1.5,2.452,2.33,2.3902217470351994,-1.8034466947946983
Q_top20only_bs1.5,2.403,2.144,2.2698088025206,-1.9238596393092977
N_extreme_opm>5.0%_bs1.0,2.253,2.019,2.1327932389240174,-2.0608752029058803
Q_top20only_bs1.0,2.069,1.988,2.028095658493455,-2.165572783336443
N_extreme_opm>2.0%_bs1.0,1.954,2.045,1.9989822410416758,-2.194686200788222
N_extreme_opm>2.0%_bs1.5,2.019,1.545,1.7661695841566292,-2.4274988576732683
N_extreme_opm>5.0%_bs1.5,2.092,1.461,1.7482597061077625,-2.4454087357221352
