strategy,period,cal,cagr,mdd,total,trades
baseline,7.8y,3.234,122.49,37.88,42937.08,0
baseline,5.25y,3.44,107.66,31.3,4161.73,0
baseline,2018H2-19,4.895,179.77,36.72,351.08,0
baseline,2020-21,2.521,94.3,37.41,269.63,0
baseline,2022-23,4.05,80.4,19.85,215.68,0
baseline,2024-26,5.373,168.16,31.3,777.97,0
weighted_40_30_20_10,7.8y,2.814,100.37,35.67,19351.04,0
weighted_40_30_20_10,5.25y,2.32,82.77,35.67,2112.49,0
weighted_40_30_20_10,2018H2-19,5.831,175.79,30.15,341.7,0
weighted_40_30_20_10,2020-21,1.891,71.05,37.57,187.64,0
weighted_40_30_20_10,2022-23,2.035,46.17,22.69,109.51,0
weighted_40_30_20_10,2024-26,3.985,142.16,35.67,601.33,0
