strategy,period,cal,cagr,mdd,total
baseline,7.8y,3.234,122.49,37.88,42937.08
baseline,5.25y,3.44,107.66,31.3,4161.73
baseline,2018H2-19,4.895,179.77,36.72,351.08
baseline,2020-21,2.521,94.3,37.41,269.63
baseline,2022-23,4.05,80.4,19.85,215.68
baseline,2024-26,5.373,168.16,31.3,777.97
provisional,7.8y,3.513,123.0,35.02,43690.0
provisional,5.25y,3.007,99.69,33.15,3386.01
provisional,2018H2-19,6.509,207.07,31.81,416.96
provisional,2020-21,2.288,81.3,35.53,222.54
provisional,2022-23,4.922,85.81,17.43,234.39
provisional,2024-26,4.702,155.88,33.15,691.86
