기간,전략,E/X/S,CAGR(%),MDD(%),Calmar,Sharpe,누적(%),보유수
2026 YTD,v80 baseline,3/6/3,1367.23,23.96,57.072,3.596,142.22,2.9
2026 YTD,Top 3 균등,3/3/3,817.37,25.27,32.344,2.913,107.5,2.6
2026 YTD,Top 5 균등,5/5/5,776.98,22.98,33.806,3.204,104.45,4.4
2026 YTD,Top 10 균등,10/10/10,790.13,22.39,35.293,3.438,105.45,8.4
2026 YTD,Top 15 균등,15/15/15,402.71,20.67,19.482,2.797,70.21,12.5
2026 YTD,Top 20 균등,20/20/20,393.94,20.26,19.443,2.825,69.23,16.0
2026 YTD,Top 5 (X10),5/10/5,588.45,22.41,26.259,2.959,88.78,4.7
2026 YTD,Top 10 (X15),10/15/10,905.1,20.46,44.241,3.609,113.84,9.0
2026 YTD,Top 20 (X25),20/25/20,369.05,20.84,17.709,2.765,66.37,17.4
2024~2026 (2.3년),v80 baseline,3/6/3,233.29,25.89,9.011,2.437,1415.3,2.9
2024~2026 (2.3년),Top 3 균등,3/3/3,195.12,31.71,6.153,2.18,1051.39,2.6
2024~2026 (2.3년),Top 5 균등,5/5/5,138.55,32.42,4.274,2.059,612.11,4.1
2024~2026 (2.3년),Top 10 균등,10/10/10,92.77,37.23,2.492,1.773,340.14,7.3
2024~2026 (2.3년),Top 15 균등,15/15/15,71.01,34.09,2.083,1.58,235.84,10.5
2024~2026 (2.3년),Top 20 균등,20/20/20,55.58,35.23,1.577,1.356,171.27,13.3
2024~2026 (2.3년),Top 5 (X10),5/10/5,134.02,32.66,4.104,2.063,581.98,4.3
2024~2026 (2.3년),Top 10 (X15),10/15/10,91.54,36.05,2.539,1.762,333.81,7.7
2024~2026 (2.3년),Top 20 (X25),20/25/20,50.82,35.54,1.43,1.282,152.91,14.1
2021~2026 (5.3년),v80 baseline,3/6/3,132.13,25.89,5.104,2.025,7812.11,3.0
2021~2026 (5.3년),Top 3 균등,3/3/3,127.97,31.71,4.035,1.939,7104.41,2.8
2021~2026 (5.3년),Top 5 균등,5/5/5,109.03,32.42,3.363,1.954,4492.33,3.9
2021~2026 (5.3년),Top 10 균등,10/10/10,67.09,37.23,1.802,1.532,1336.32,6.5
2021~2026 (5.3년),Top 15 균등,15/15/15,62.46,34.09,1.832,1.511,1141.33,9.2
2021~2026 (5.3년),Top 20 균등,20/20/20,54.78,35.23,1.555,1.396,865.5,11.4
2021~2026 (5.3년),Top 5 (X10),5/10/5,93.92,32.66,2.876,1.819,3010.9,4.1
2021~2026 (5.3년),Top 10 (X15),10/15/10,70.63,36.05,1.959,1.594,1501.09,6.9
2021~2026 (5.3년),Top 20 (X25),20/25/20,54.71,35.54,1.54,1.399,863.09,12.1
2018~2026 (7.8년),v80 baseline,3/6/3,148.24,35.73,4.149,0.815,103734.08,3.0
2018~2026 (7.8년),Top 3 균등,3/3/3,140.06,35.4,3.957,0.797,80299.46,2.8
2018~2026 (7.8년),Top 5 균등,5/5/5,128.8,37.05,3.476,0.761,55593.68,3.9
2018~2026 (7.8년),Top 10 균등,10/10/10,95.0,37.23,2.552,0.661,16325.51,6.2
2018~2026 (7.8년),Top 15 균등,15/15/15,87.21,35.9,2.429,0.635,11929.28,8.7
2018~2026 (7.8년),Top 20 균등,20/20/20,78.65,35.23,2.232,0.606,8314.34,10.7
2018~2026 (7.8년),Top 5 (X10),5/10/5,116.68,37.41,3.119,0.727,36653.39,4.1
2018~2026 (7.8년),Top 10 (X15),10/15/10,99.99,36.18,2.764,0.676,19827.45,6.6
2018~2026 (7.8년),Top 20 (X25),20/25/20,79.1,35.54,2.226,0.607,8478.38,11.4
