기간,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%)
2026 YTD,TS -20% (loose),1334.25,23.96,55.695,3.564,140.41
2026 YTD,TS -15% (baseline),1367.23,23.96,57.072,3.596,142.22
2026 YTD,TS -12%,1246.74,25.92,48.1,3.456,135.48
2026 YTD,TS -10%,1216.65,25.92,46.939,3.432,133.73
2026 YTD,TS -8% (tight),1180.85,24.77,47.667,3.362,131.62
2026 YTD,TS -6% (very tight),942.62,24.77,38.05,3.136,116.44
2026 YTD,TS off,1338.49,23.96,55.872,3.638,140.64
2024~2026 (2.3y),TS -20% (loose),224.42,25.89,8.669,2.392,1325.78
2024~2026 (2.3y),TS -15% (baseline),233.29,25.89,9.011,2.437,1415.3
2024~2026 (2.3y),TS -12%,209.25,28.38,7.373,2.322,1179.67
2024~2026 (2.3y),TS -10%,214.15,27.72,7.726,2.353,1225.9
2024~2026 (2.3y),TS -8% (tight),240.22,26.57,9.041,2.47,1487.39
2024~2026 (2.3y),TS -6% (very tight),200.54,38.76,5.174,2.256,1099.75
2024~2026 (2.3y),TS off,219.94,25.89,8.496,2.366,1281.67
2018~2026 (7.8y),TS -20% (loose),143.99,34.89,4.126,0.804,90904.28
2018~2026 (7.8y),TS -15% (baseline),148.24,35.73,4.149,0.815,103734.08
2018~2026 (7.8y),TS -12%,143.0,37.92,3.771,0.802,88114.89
2018~2026 (7.8y),TS -10%,143.97,34.89,4.126,0.804,90846.77
2018~2026 (7.8y),TS -8% (tight),152.14,35.64,4.269,0.824,116879.21
2018~2026 (7.8y),TS -6% (very tight),144.55,38.76,3.73,0.806,92526.67
2018~2026 (7.8y),TS off,143.58,35.33,4.064,0.803,89744.89
