version,period,cal,cagr,mdd,sharpe,total
v79,7.8y,3.241,122.77,37.88,0.748,43337.99
v80,7.8y,3.827,137.89,36.03,0.788,71374.05
v79,5.25y,3.31,105.53,31.88,1.802,3941.6
v80,5.25y,4.391,120.67,27.48,1.937,5722.08
v79,2018H2,-1.736,-50.81,29.27,-2.683,-29.27
v80,2018H2,-1.742,-49.97,28.69,-2.597,-28.69
v79,2019,20.014,563.92,28.18,1.054,534.66
v80,2019,23.639,666.08,28.18,1.086,629.82
v79,2020,3.774,141.2,37.41,1.951,137.85
v80,2020,4.297,154.83,36.03,2.064,151.07
v79,2021,2.254,54.54,24.2,1.337,53.47
v80,2021,2.222,55.47,24.96,1.327,54.39
v79,2022,3.669,62.16,16.94,1.494,60.0
v80,2022,3.669,62.16,16.94,1.494,60.0
v79,2023,4.351,86.39,19.85,1.778,83.2
v80,2023,4.385,87.05,19.85,1.844,83.82
v79,2024,6.214,196.47,31.62,2.302,186.42
v80,2024,7.565,207.92,27.48,2.421,197.12
v79,2025,-1.194,-17.89,14.98,-0.46,-5.1
v80,2025,1.477,21.04,14.25,0.697,5.21
v79,2026,15.975,382.7,23.96,2.258,53.89
v80,2026,24.993,598.74,23.96,2.679,70.29
v79,2018H2-19,4.815,175.38,36.42,0.795,340.74
v80,2018H2-19,6.145,204.65,33.3,0.823,411.01
v79,2020-21,2.478,92.72,37.41,1.664,263.75
v80,2020-21,2.524,90.92,36.03,1.636,257.1
v79,2022-23,4.123,81.85,19.85,1.742,220.66
v80,2022-23,4.139,82.17,19.85,1.775,221.76
v79,2024-26,5.406,172.36,31.88,2.129,808.57
v80,2024-26,6.874,188.91,27.48,2.204,934.61
