period,cal,cagr,mdd,total_ret,sharpe,days,win_rate,avg_win,avg_loss,profit_factor
7.8y,3.861,137.96,35.73,71549.91,0.788,1911,52.80545359202936,2.618819845328423,-1.804855307713292,1.450986034246925
5.25y,4.555,117.92,25.89,5359.69,1.908,1294,53.21456235476375,2.290365251172484,-1.8512184020206983,1.2372204428566802
2018H2,-1.742,-49.97,28.69,-28.69,-2.597,123,43.333333333333336,1.1163939082258418,-1.3268514669239306,0.8413857436612726
2019,24.184,681.44,28.18,644.11,1.09,246,55.371900826446286,4.813010168226433,-1.4764927694811993,3.2597587118002602
2020,4.005,147.2,36.75,143.67,2.005,248,52.244897959183675,2.7683818057718064,-2.1527781574985796,1.2859577732749423
2021,2.677,59.91,22.38,58.73,1.351,248,48.57142857142857,2.1713311125105124,-1.6195083188194102,1.3407347694844631
2022,3.669,62.16,16.94,60.0,1.494,245,52.892561983471076,1.7661591079143648,-1.513351201208075,1.1670517104717522
2023,4.485,89.04,19.85,85.73,1.875,245,53.30578512396694,1.9410088776348917,-1.6054834032814576,1.20898719579888
2024,8.539,221.05,25.89,209.38,2.477,244,53.941908713692946,2.6891635837091243,-2.011416291981217,1.336950284448743
2025,6.757,161.88,23.96,228.09,1.986,311,56.16883116883117,2.7000096098041233,-2.4335659223272983,1.109486940555946
WF 2018H2-19,6.286,208.71,33.2,421.01,0.826,369,51.23287671232877,3.7544637688157216,-1.4080214803272402,2.66648188346043
WF 2020-21,2.582,94.89,36.75,271.86,1.66,496,50.50709939148072,2.458771984041813,-1.8825470741337935,1.306087915582751
WF 2022-23,4.188,83.14,19.85,225.09,1.791,491,53.278688524590166,1.8827275350067458,-1.568596445825414,1.2002625276994252
WF 2024-26,7.351,190.3,25.89,945.62,2.214,555,54.891304347826086,2.71262668566832,-2.224780241254432,1.2192784866422663
