V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
15,0,55,30,12m,2f_rev_oca_60,3.594,131.98,36.72,4.062,116.72,28.74,3.8208412686213493
10,0,60,30,12m,3f_rev_oca_gp,3.082,121.57,39.44,3.925,107.01,27.26,3.478052616048239
15,5,50,30,12m,2f_rev_oca_60,3.289,124.08,37.72,3.59,110.85,30.88,3.4362057563539468
10,5,55,30,12m,2f_rev_oca_60,3.115,120.72,38.75,3.58,106.28,29.69,3.339416116628774
20,0,50,30,12m,2f_rev_oca_60,3.166,119.92,37.88,3.517,101.61,28.89,3.3368880712424263
15,5,50,30,12m,3f_rev_oca_gp,3.234,122.49,37.88,3.44,107.66,31.3,3.3354100197726817
15,0,55,30,12m,3f_rev_oca_gp,3.562,128.16,35.98,3.121,108.57,34.79,3.334216849576524
15,5,50,30,12m,2f_rev_oca_70,3.322,123.11,37.06,3.329,102.8,30.88,3.3254981581711935
10,0,60,30,12m,3f_rev_oca_opm,3.322,121.8,36.66,3.293,106.37,32.31,3.3074682160226425
0,0,65,35,12m,3f_rev_oca_opm,3.279,117.07,35.7,3.305,98.13,29.69,3.2919743316131735
10,0,55,35,12m,3f_rev_oca_opm,3.284,128.01,38.98,3.262,113.05,34.66,3.2729815153770727
5,0,60,35,12m-1m,3f_rev_oca_gp,3.236,117.82,36.41,3.288,95.29,28.98,3.261896380941614
15,10,45,30,12m,2f_rev_oca_70,3.189,116.57,36.55,3.318,99.21,29.9,3.2528605872370244
5,10,50,35,12m,3f_rev_oca_gp,3.157,120.57,38.19,3.339,113.48,33.99,3.246724965253448
15,5,50,30,12m,3f_rev_oca_opm,3.297,125.61,38.1,3.183,108.51,34.09,3.239498572310227
5,0,60,35,12m,3f_rev_oca_opm,3.182,125.93,39.58,3.27,108.52,33.18,3.2256999240474924
0,5,60,35,12m,2f_rev_oca_70,3.133,116.82,37.28,3.311,100.37,30.31,3.22077055997474
20,5,45,30,12m,2f_rev_oca_60,3.222,117.19,36.37,3.198,98.74,30.88,3.2099775700150928
5,15,45,35,12m,3f_rev_oca_gp,3.101,117.44,37.87,3.298,116.86,35.43,3.1979834270990213
15,10,45,30,12m,2f_rev_oca_60,3.089,112.67,36.48,3.275,100.52,30.7,3.1806406587352805
5,0,65,30,12m,3f_rev_oca_opm,3.086,114.16,36.99,3.263,95.13,29.15,3.17326614074521
10,0,55,35,12m,3f_rev_oca_gp,3.343,123.52,36.94,2.973,104.9,35.29,3.152576565287511
10,5,55,30,12m,2f_rev_oca_70,3.139,116.31,37.06,3.151,90.96,28.87,3.144994276624363
10,5,55,30,12m,3f_rev_oca_gp,3.287,121.36,36.92,3.008,107.88,35.86,3.1444070983255332
15,5,55,25,12m,2f_rev_oca_60,2.906,113.05,38.9,3.378,96.96,28.7,3.1331243192698244
15,0,50,35,12m-1m,2f_rev_oca_60,3.152,112.9,35.81,3.113,85.91,27.6,3.132439305078392
5,0,60,35,12m-1m,2f_rev_oca_60,3.117,111.27,35.7,3.098,85.49,27.6,3.1074854786466823
10,10,45,35,12m,3f_rev_oca_gp,3.065,114.23,37.27,3.148,103.11,32.76,3.1062227866011156
15,10,45,30,12m,3f_rev_oca_gp,3.011,114.57,38.05,3.185,100.21,31.46,3.096778164479981
20,5,50,25,12m,2f_rev_oca_60,3.034,111.44,36.72,3.156,91.34,28.95,3.0943988107546834
5,0,65,30,12m-1m,3f_rev_oca_gp,2.903,114.51,39.44,3.274,93.03,28.42,3.082924261152064
15,0,55,30,12m,3f_rev_oca_opm,3.161,120.43,38.1,3.004,102.43,34.09,3.0815002839526073
10,0,55,35,12m-1m,2f_rev_oca_60,3.117,114.51,36.74,3.038,85.66,28.19,3.077246496464006
15,0,50,35,12m-1m,3f_rev_oca_gp,3.232,115.21,35.64,2.907,90.27,31.06,3.0651955891916587
20,5,45,30,12m,3f_rev_oca_gp,3.102,117.52,37.88,3.023,100.44,33.22,3.062245254710994
10,5,60,25,12m-1m,3f_rev_oca_gp,2.86,111.87,39.12,3.267,90.85,27.81,3.0567335507040845
15,5,45,35,12m,2f_rev_oca_70,3.132,112.82,36.02,2.981,98.49,33.04,3.0555673777549073
15,5,45,35,12m-1m,3f_rev_oca_gp,3.084,113.68,36.86,3.012,90.88,30.17,3.047787394159901
10,10,50,30,12m,2f_rev_oca_60,3.118,113.98,36.55,2.977,91.39,30.7,3.0466844273734686
5,5,55,35,12m-1m,3f_rev_oca_gp,2.991,108.91,36.41,3.101,86.19,27.79,3.045503406663667
10,5,55,30,12m,3f_rev_oca_opm,3.324,117.11,35.23,2.788,93.08,33.39,3.044226010006484
10,5,50,35,12m-1m,3f_rev_oca_gp,3.002,109.25,36.4,3.066,83.73,27.3,3.0338312411866286
10,10,50,30,12m,3f_rev_oca_gp,3.13,120.71,38.57,2.937,105.45,35.9,3.0319647095571542
25,10,40,25,6m-1m,2f_rev_oca_60,3.04,109.75,36.1,3.01,84.54,28.08,3.0249628096887404
10,10,55,25,12m,2f_rev_oca_70,2.936,112.32,38.25,3.113,96.45,30.98,3.0232049219330137
20,0,50,30,12m,2f_rev_oca_70,3.016,110.77,36.72,3.015,84.68,28.09,3.015499958547504
5,5,60,30,12m,3f_rev_oca_gp,2.994,118.08,39.44,3.028,105.74,34.92,3.010952008916781
20,5,45,30,12m,3f_rev_oca_opm,3.111,118.56,38.1,2.914,100.08,34.34,3.0108892374180756
25,10,45,20,6m,3f_rev_oca_gp,3.029,112.02,36.99,2.988,82.17,27.51,3.0084301554132846
25,15,45,15,6m-1m,3f_rev_oca_opm,3.079,111.17,36.1,2.923,85.7,29.32,2.999986166634773
25,10,50,15,6m,3f_rev_oca_opm,3.122,112.72,36.1,2.872,79.77,27.78,2.9943920918944467
10,0,55,35,12m-1m,3f_rev_oca_gp,3.154,114.84,36.41,2.841,87.75,30.88,2.9934117658618233
10,5,50,35,12m,2f_rev_oca_60,3.001,110.31,36.76,2.941,97.17,33.04,2.9708485319854323
15,0,55,30,12m,2f_rev_oca_70,3.199,112.91,35.3,2.751,87.96,31.97,2.9665550728075147
10,10,45,35,6m-1m,3f_rev_oca_gp,2.955,110.7,37.46,2.975,87.83,29.52,2.9649831365456367
15,0,50,35,12m,2f_rev_oca_60,3.007,116.95,38.89,2.922,101.67,34.8,2.9641953376928454
0,0,65,35,12m-1m,3f_rev_oca_gp,2.81,110.83,39.44,3.126,89.79,28.73,2.963791490641675
10,5,50,35,12m,3f_rev_oca_opm,3.215,123.88,38.53,2.724,104.96,38.53,2.9593343846209743
10,5,45,40,12m-1m,3f_rev_oca_gp,3.083,113.88,36.94,2.834,94.74,33.43,2.9558792262201785
15,10,40,35,12m,3f_rev_oca_gp,2.917,108.25,37.11,2.987,93.64,31.35,2.95179250625785
15,15,40,30,12m,2f_rev_oca_70,2.823,108.28,38.35,3.074,94.19,30.65,2.9458278972132774
10,15,45,30,12m,3f_rev_oca_gp,3.004,112.41,37.42,2.879,98.19,34.1,2.940835935580222
10,0,50,40,12m,3f_rev_oca_gp,3.172,124.61,39.29,2.722,106.93,39.29,2.938398203103181
5,0,65,30,12m,2f_rev_oca_60,2.793,110.16,39.44,3.091,96.81,31.32,2.9382244638556805
10,10,40,40,12m,2f_rev_oca_60,2.766,108.53,39.23,3.12,103.54,33.18,2.9376725481237695
5,0,60,35,12m,3f_rev_oca_gp,2.861,112.19,39.22,2.987,98.52,32.98,2.9233212276450224
