V,Q,G,M,mom,gs,cal_78,cal_525,score
15,0,55,30,12m,2f_60,3.594,4.062,3.8208412686213493
10,5,55,30,12m,3f_gp_433,3.79,3.68,3.7345950248989515
15,5,50,30,12m,2f_65,3.524,3.899,3.7067608501223814
20,0,50,30,12m,2f_50,3.406,3.936,3.661422674316638
10,5,55,30,12m,3f_gp_622,3.583,3.717,3.649385016684318
15,0,55,30,12m,2f_55,3.478,3.765,3.618655827790203
15,0,55,30,12m,3f_opm_622,3.533,3.439,3.485683146816417
20,0,50,30,12m,2f_55,3.183,3.81,3.4824172639130997
10,0,60,30,12m,3f_gp_532,3.082,3.925,3.478052616048239
15,5,50,30,12m,2f_60,3.289,3.59,3.4362057563539468
0,0,65,35,12m,3f_opm_622,3.26,3.439,3.3483040483205824
10,5,55,30,12m,2f_60,3.115,3.58,3.339416116628774
20,0,50,30,12m,2f_60,3.166,3.517,3.3368880712424263
15,5,50,30,12m,3f_gp_532,3.234,3.44,3.3354100197726817
15,0,55,30,12m,3f_gp_532,3.562,3.121,3.334216849576524
15,5,50,30,12m,2f_70,3.322,3.329,3.3254981581711935
10,0,60,30,12m,3f_opm_532,3.322,3.293,3.3074682160226425
0,0,65,35,12m,3f_opm_532,3.279,3.305,3.2919743316131735
15,5,50,30,12m,2f_55,3.255,3.329,3.2917920651219754
0,0,65,35,12m,2f_55,3.146,3.378,3.259936809203516
15,5,50,30,12m,3f_opm_532,3.297,3.183,3.239498572310227
15,0,55,30,12m,2f_50,3.166,3.307,3.2357320655456006
10,5,55,30,12m,3f_gp_442,3.196,3.268,3.231799498731318
15,5,50,30,12m,2f_50,3.176,3.267,3.2211786662648816
0,0,65,35,12m,2f_50,3.125,3.216,3.170173496829472
15,5,50,30,12m,3f_opm_622,3.314,3.0,3.1530937188735764
20,0,50,30,12m,3f_gp_442,3.209,3.084,3.1458792093785166
10,5,55,30,12m,2f_70,3.139,3.151,3.144994276624363
10,5,55,30,12m,3f_gp_532,3.287,3.008,3.1444070983255332
10,0,60,30,12m,2f_50,3.026,3.256,3.1388940727587475
15,5,50,30,12m,3f_gp_442,3.126,3.145,3.1354856083228957
15,5,50,30,12m,3f_gp_622,3.189,3.035,3.111047251328723
15,0,55,30,12m,3f_opm_532,3.161,3.004,3.0815002839526073
10,5,55,30,12m,2f_65,3.059,3.087,3.0729681091739303
10,5,55,30,12m,2f_55,2.889,3.235,3.0571089283831547
10,5,55,30,12m,3f_opm_532,3.324,2.788,3.044226010006484
10,0,60,30,12m,2f_55,2.953,3.105,3.0280463999086935
15,0,55,30,12m,2f_75,3.249,2.81,3.0215376879992744
20,0,50,30,12m,2f_70,3.016,3.015,3.015499958547504
10,0,60,30,12m,3f_gp_442,3.095,2.928,3.010342173242105
15,0,55,30,12m,3f_gp_442,3.207,2.814,3.0040802252935923
15,5,50,30,12m,3f_gp_433,3.111,2.861,2.9833824763177788
15,0,55,30,12m,2f_70,3.199,2.751,2.9665550728075147
10,5,55,30,12m,2f_75,3.03,2.887,2.9576358802259617
10,5,55,30,12m,3f_opm_622,3.164,2.74,2.944377693163702
15,5,50,30,12m,2f_75,3.211,2.67,2.9280317621228082
10,0,60,30,12m,2f_70,3.059,2.778,2.9151161211862555
15,0,55,30,12m,2f_65,3.124,2.715,2.9123289649351083
15,0,55,30,12m,3f_acc_622,3.456,2.449,2.909251450115648
0,0,65,35,12m,3f_gp_532,2.886,2.925,2.9054345630215113
0,0,65,35,12m,2f_60,2.715,3.075,2.8893987263788983
15,0,55,30,12m,2f_80,3.2,2.595,2.88166618469246
0,0,65,35,12m,3f_gp_622,3.018,2.743,2.8772163630842917
10,0,60,30,12m,3f_opm_622,3.103,2.617,2.8496580496613975
10,5,55,30,12m,2f_50,3.016,2.661,2.8329447576682467
10,0,60,30,12m,3f_gp_433,3.091,2.589,2.82888653006797
10,0,60,30,12m,2f_60,2.837,2.794,2.8154179085883504
10,0,60,30,12m,2f_75,2.96,2.568,2.7570418930440646
