V,Q,G,M,mom,gs,E,X,S,cal_78,cal_525,score
15,0,55,30,12m,2f_rev_oca_60,3,6,3,3.594,4.062,3.8208412686213493
15,0,55,30,12m,2f_60,3,6,3,3.594,4.062,3.8208412686213493
10,5,55,30,12m,3f_gp_433,3,6,3,3.79,3.68,3.7345950248989515
15,5,50,30,12m,2f_65,3,6,3,3.524,3.899,3.7067608501223814
15,0,55,30,12m,2f_60,3,10,3,3.388,3.995,3.679002582222524
15,0,55,30,12m,2f_rev_oca_60,3,10,3,3.388,3.995,3.679002582222524
20,0,50,30,12m,2f_50,3,6,3,3.406,3.936,3.661422674316638
10,5,55,30,12m,3f_gp_622,3,6,3,3.583,3.717,3.649385016684318
15,5,50,30,12m,2f_65,3,10,3,3.465,3.825,3.640552842632558
15,0,55,30,12m,2f_rev_oca_60,5,6,3,3.429,3.865,3.6404786773170366
15,0,55,30,12m,2f_60,5,6,3,3.429,3.865,3.6404786773170366
15,0,55,30,12m,2f_55,3,6,3,3.478,3.765,3.618655827790203
20,0,50,30,12m,2f_50,3,8,3,3.426,3.819,3.617166570673792
15,0,55,30,12m,2f_60,3,8,3,3.346,3.895,3.610078946505187
15,0,55,30,12m,2f_rev_oca_60,3,8,3,3.346,3.895,3.610078946505187
15,0,55,30,12m,2f_55,5,10,3,3.314,3.836,3.5654598581389187
15,0,55,30,12m,3f_opm_622,3,10,3,3.618,3.479,3.547819330236533
10,0,60,30,12m,3f_rev_oca_gp,3,10,3,3.283,3.805,3.5343761825815885
15,0,55,30,12m,2f_55,5,6,3,3.385,3.671,3.5251007077812684
10,0,60,30,12m,3f_rev_oca_gp,3,8,3,3.159,3.907,3.5131485878055315
15,0,55,30,12m,3f_opm_622,3,8,3,3.577,3.438,3.506811372172732
15,0,55,30,12m,3f_opm_622,3,6,3,3.533,3.439,3.485683146816417
20,0,50,30,12m,2f_55,3,6,3,3.183,3.81,3.4824172639130997
10,0,60,30,12m,3f_rev_oca_gp,3,6,3,3.082,3.925,3.478052616048239
10,5,55,30,12m,3f_gp_622,5,6,3,3.705,3.26,3.4753848707733073
15,0,55,30,12m,2f_55,3,8,3,3.228,3.719,3.464813414889754
20,0,50,30,12m,2f_50,5,6,3,3.384,3.516,3.4493686378814314
15,0,55,30,12m,2f_55,3,10,3,3.201,3.696,3.439606954289981
15,0,55,30,12m,2f_60,3,6,5,3.293,3.579,3.433023011865781
15,0,55,30,12m,2f_rev_oca_60,3,6,5,3.293,3.579,3.433023011865781
15,0,55,30,12m,2f_60,3,6,7,3.288,3.579,3.430415718247571
15,0,55,30,12m,2f_rev_oca_60,3,6,7,3.288,3.579,3.430415718247571
10,5,55,30,12m,3f_gp_433,3,8,3,3.443,3.411,3.4269626493441683
15,5,50,30,12m,2f_65,3,8,3,3.29,3.523,3.4045073064982545
10,5,55,30,12m,3f_gp_622,3,8,3,3.489,3.28,3.3828863415728287
15,0,55,30,12m,2f_55,7,10,3,3.178,3.595,3.380075442945024
20,0,50,30,12m,2f_50,5,8,3,3.235,3.526,3.377367317897181
15,0,55,30,12m,2f_55,5,8,3,3.201,3.524,3.358619359201039
10,5,55,30,12m,3f_gp_433,3,10,3,3.358,3.321,3.339448756905846
15,0,55,30,12m,2f_55,3,6,7,3.144,3.523,3.32810937320275
15,0,55,30,12m,2f_55,3,6,5,3.144,3.523,3.32810937320275
20,0,50,30,12m,2f_55,3,8,3,3.165,3.448,3.3034709019454067
20,0,50,30,12m,2f_50,7,8,3,3.169,3.413,3.288737903816599
15,5,50,30,12m,2f_65,5,6,3,3.166,3.392,3.277052334034353
20,0,50,30,12m,2f_50,3,10,3,3.092,3.472,3.2764956889945696
10,5,55,30,12m,3f_gp_433,5,6,3,3.194,3.301,3.247059284953079
20,0,50,30,12m,2f_55,5,6,3,3.187,3.308,3.2469364022105514
15,0,55,30,12m,2f_rev_oca_60,3,8,7,3.118,3.372,3.24251383960038
15,0,55,30,12m,2f_60,3,8,7,3.118,3.372,3.24251383960038
15,0,55,30,12m,2f_rev_oca_60,3,8,5,3.118,3.369,3.2410711192443773
15,0,55,30,12m,2f_60,3,8,5,3.118,3.369,3.2410711192443773
20,0,50,30,12m,2f_55,3,10,3,3.104,3.316,3.2082493668666094
15,0,55,30,12m,2f_rev_oca_60,3,10,5,3.071,3.348,3.206510252595491
15,0,55,30,12m,2f_60,3,10,5,3.071,3.348,3.206510252595491
15,0,55,30,12m,2f_rev_oca_60,3,10,7,3.069,3.348,3.20546595676822
15,0,55,30,12m,2f_60,3,10,7,3.069,3.348,3.20546595676822
15,0,55,30,12m,2f_55,7,8,3,3.067,3.293,3.1779916614113386
15,0,55,30,12m,3f_opm_622,3,6,5,3.339,3.013,3.171814464939587
10,5,55,30,12m,3f_gp_622,3,10,3,3.118,3.203,3.160214233244322
15,0,55,30,12m,3f_opm_622,3,6,7,3.321,2.986,3.1490484277000252
10,5,55,30,12m,3f_gp_622,3,6,5,3.26,3.026,3.1408215485761044
10,5,55,30,12m,3f_gp_622,3,6,7,3.259,3.025,3.139820854762258
20,0,50,30,12m,2f_55,7,8,3,3.041,3.232,3.1350457731905608
20,0,50,30,12m,2f_55,3,6,7,3.125,3.144,3.134485603731496
20,0,50,30,12m,2f_55,3,6,5,3.115,3.129,3.121992152456505
15,0,55,30,12m,3f_opm_622,3,8,7,3.311,2.942,3.121051425401382
10,5,55,30,12m,3f_gp_433,5,10,3,3.145,3.096,3.120403820020736
10,5,55,30,12m,3f_gp_433,5,8,3,3.161,3.076,3.11821038417872
20,0,50,30,12m,2f_55,5,8,3,3.022,3.199,3.1092407433326867
15,0,55,30,12m,2f_60,5,8,3,3.0,3.188,3.0925717453278265
15,0,55,30,12m,2f_rev_oca_60,5,8,3,3.0,3.188,3.0925717453278265
20,0,50,30,12m,2f_50,5,10,3,2.925,3.257,3.086539324227054
20,0,50,30,12m,2f_50,7,10,3,2.925,3.257,3.086539324227054
15,5,50,30,12m,2f_65,5,10,3,2.992,3.183,3.086022683001536
15,5,50,30,12m,2f_65,7,10,3,2.992,3.183,3.086022683001536
20,0,50,30,12m,2f_50,3,6,7,3.061,3.105,3.082921504028281
15,0,55,30,12m,2f_55,3,10,5,2.839,3.339,3.07886683700351
20,0,50,30,12m,2f_50,3,6,5,3.053,3.093,3.0729349163299893
15,0,55,30,12m,2f_60,7,10,3,2.956,3.193,3.072215487233928
15,0,55,30,12m,2f_rev_oca_60,7,10,3,2.956,3.193,3.072215487233928
15,5,50,30,12m,2f_65,7,8,3,2.981,3.162,3.0701664449993586
15,5,50,30,12m,2f_65,5,8,3,2.981,3.162,3.0701664449993586
15,0,55,30,12m,2f_55,3,10,7,2.831,3.325,3.068073499771477
15,5,50,30,12m,2f_65,3,6,5,2.92,3.223,3.0677613988053243
15,0,55,30,12m,2f_60,7,8,3,2.981,3.155,3.0667662121524684
15,0,55,30,12m,2f_rev_oca_60,7,8,3,2.981,3.155,3.0667662121524684
15,5,50,30,12m,2f_65,3,6,7,2.918,3.221,3.0657589598662187
15,0,55,30,12m,2f_55,3,8,5,2.846,3.292,3.0608874530109724
15,0,55,30,12m,2f_55,3,8,7,2.841,3.284,3.054479333699935
15,0,55,30,12m,3f_opm_622,3,10,7,3.215,2.901,3.053967092160621
20,0,50,30,12m,2f_55,5,10,3,2.973,3.123,3.047077124064962
15,0,55,30,12m,3f_opm_622,3,8,5,3.245,2.843,3.0373565809762937
20,0,50,30,12m,2f_55,7,10,3,2.925,3.042,2.9829264154517787
15,0,55,30,12m,3f_opm_622,3,10,5,3.142,2.831,2.9824489936962877
15,0,55,30,12m,2f_60,5,10,3,2.895,3.071,2.9817016953411017
15,0,55,30,12m,2f_rev_oca_60,5,10,3,2.895,3.071,2.9817016953411017
10,5,55,30,12m,3f_gp_433,7,10,3,3.028,2.917,2.9719818303616865
10,5,55,30,12m,3f_gp_433,7,8,3,3.034,2.881,2.9565104430730496
10,0,60,30,12m,3f_rev_oca_gp,3,8,5,2.95,2.92,2.934961669255665
10,0,60,30,12m,3f_rev_oca_gp,3,8,7,2.95,2.92,2.934961669255665
15,0,55,30,12m,3f_opm_622,7,8,3,3.236,2.645,2.9256144653730436
10,0,60,30,12m,3f_rev_oca_gp,5,6,3,3.056,2.796,2.9231106718699515
20,0,50,30,12m,2f_50,3,10,5,2.975,2.872,2.9230463561154827
10,0,60,30,12m,3f_rev_oca_gp,3,10,5,2.899,2.934,2.916447496527239
15,0,55,30,12m,3f_opm_622,5,8,3,3.227,2.633,2.914908403363646
10,0,60,30,12m,3f_rev_oca_gp,3,10,7,2.893,2.927,2.9099503432189353
15,0,55,30,12m,3f_opm_622,5,6,5,3.268,2.579,2.9031314128023897
10,5,55,30,12m,3f_gp_622,3,10,5,2.964,2.839,2.900826778696032
10,0,60,30,12m,3f_rev_oca_gp,5,6,5,3.015,2.782,2.896157799568249
15,0,55,30,12m,2f_55,5,6,7,3.014,2.781,2.895156990561997
20,0,50,30,12m,2f_50,3,8,5,2.974,2.81,2.89083724896439
15,0,55,30,12m,3f_opm_622,5,6,7,3.296,2.534,2.8899937716195856
10,5,55,30,12m,3f_gp_622,3,10,7,2.954,2.822,2.887245746381835
15,0,55,30,12m,3f_opm_622,5,10,3,3.199,2.6,2.883990291245794
15,0,55,30,12m,3f_opm_622,7,10,3,3.199,2.6,2.883990291245794
20,0,50,30,12m,2f_50,3,8,7,2.964,2.805,2.883404238049185
10,5,55,30,12m,3f_gp_622,3,8,5,3.016,2.755,2.882547484431089
15,5,50,30,12m,2f_65,5,6,5,2.96,2.79,2.8737432035587314
10,0,60,30,12m,3f_rev_oca_gp,3,6,7,2.936,2.809,2.871798043038542
10,0,60,30,12m,3f_rev_oca_gp,3,6,5,2.936,2.809,2.871798043038542
10,5,55,30,12m,3f_gp_622,3,8,7,3.005,2.738,2.868395021610517
10,0,60,30,12m,3f_rev_oca_gp,5,10,3,3.097,2.652,2.865875782374386
15,0,55,30,12m,2f_55,5,6,5,2.973,2.762,2.86555858429033
10,5,55,30,12m,3f_gp_433,3,6,7,2.943,2.765,2.852611960992942
10,5,55,30,12m,3f_gp_433,3,6,5,2.943,2.765,2.852611960992942
15,5,50,30,12m,2f_65,5,6,7,2.956,2.743,2.8475090869038504
10,0,60,30,12m,3f_rev_oca_gp,5,6,7,2.984,2.695,2.8358208688138253
15,0,55,30,12m,3f_opm_622,5,6,3,3.126,2.571,2.8349507932237556
20,0,50,30,12m,2f_50,3,10,7,2.899,2.772,2.8347888810280035
20,0,50,30,12m,2f_50,5,6,5,2.919,2.724,2.819814887541379
15,5,50,30,12m,2f_65,3,10,7,2.736,2.901,2.8172923171016526
15,5,50,30,12m,2f_65,3,10,5,2.728,2.886,2.8058880947037075
15,5,50,30,12m,2f_65,3,8,7,2.729,2.873,2.8000744632955747
15,5,50,30,12m,2f_65,3,8,5,2.724,2.864,2.793122983328876
20,0,50,30,12m,2f_55,5,6,7,2.886,2.688,2.78524110266957
20,0,50,30,12m,2f_50,5,6,7,2.915,2.661,2.7851059225817605
20,0,50,30,12m,2f_55,5,6,5,2.836,2.724,2.7794359139940608
10,5,55,30,12m,3f_gp_622,5,6,5,3.022,2.553,2.7776187643375394
10,5,55,30,12m,3f_gp_433,3,8,7,2.844,2.709,2.7756793762969094
10,5,55,30,12m,3f_gp_433,3,8,5,2.838,2.699,2.767627503837899
20,0,50,30,12m,2f_55,7,8,7,2.846,2.684,2.7638133077326335
20,0,50,30,12m,2f_50,5,10,5,2.785,2.737,2.7608956879969226
10,5,55,30,12m,3f_gp_622,5,10,3,3.023,2.488,2.742485004516889
10,5,55,30,12m,3f_gp_622,5,6,7,2.976,2.526,2.741783361245013
20,0,50,30,12m,2f_55,3,8,5,2.849,2.608,2.7258378528445157
20,0,50,30,12m,2f_55,3,10,5,2.842,2.6,2.718308297452664
15,0,55,30,12m,2f_rev_oca_60,5,6,7,2.905,2.526,2.7088798422964424
15,0,55,30,12m,2f_60,5,6,7,2.905,2.526,2.7088798422964424
20,0,50,30,12m,2f_55,3,8,7,2.831,2.592,2.708865445163344
15,0,55,30,12m,2f_60,5,6,5,2.83,2.588,2.7062963621894776
15,0,55,30,12m,2f_rev_oca_60,5,6,5,2.83,2.588,2.7062963621894776
10,5,55,30,12m,3f_gp_433,3,10,7,2.779,2.635,2.7060423130468596
20,0,50,30,12m,2f_50,5,8,7,2.802,2.606,2.702223528873953
20,0,50,30,12m,2f_55,5,8,7,2.77,2.631,2.6996055267390457
20,0,50,30,12m,2f_55,3,10,7,2.822,2.58,2.6982883463410654
