dV,dQ,dG,dM,d_mom,d_gs,dE,dX,dS,cal_78,cal_525,score
30,15,15,40,6m-1m,2f_70,3,6,5,3.653,4.062,3.8520755444305608
30,15,15,40,6m-1m,2f_70,3,6,7,3.594,4.062,3.8208412686213493
30,15,15,40,6m-1m,2f_80,3,6,7,3.867,3.751,3.8085583886819956
30,15,15,40,6m-1m,2f_80,3,6,5,3.85,3.716,3.782406641280126
30,15,10,45,6m-1m,2f_60,3,6,5,3.088,4.466,3.7136246444679895
25,5,25,45,6m-1m,2f_70,3,6,7,2.743,5.023,3.711884831187519
30,15,10,45,6m-1m,2f_60,3,6,7,3.084,4.466,3.7112186677693892
25,5,25,45,6m-1m,2f_70,3,6,5,2.733,4.996,3.6951411339758056
20,10,20,50,6m-1m,2f_70,5,10,7,3.498,3.872,3.6802521652734614
30,20,5,45,6m-1m,2f_60,3,6,5,3.66,3.692,3.675965179378064
30,15,15,40,6m-1m,2f_70,3,8,7,3.408,3.917,3.6536469451768325
30,20,10,40,6m-1m,2f_60,3,6,5,3.909,3.391,3.6407992254448747
30,20,10,40,6m-1m,2f_60,3,6,7,3.904,3.391,3.6384700081215455
30,20,5,45,6m-1m,2f_60,3,6,7,3.615,3.622,3.618498307309263
30,20,10,40,6m-1m,2f_70,3,6,7,3.866,3.385,3.6175143399853993
30,20,10,40,6m-1m,2f_70,3,6,5,3.861,3.373,3.6087605905629156
30,15,15,40,6m-1m,2f_80,3,8,7,3.754,3.462,3.6050447986120786
30,20,10,40,6m-1m,2f_60,3,8,7,3.733,3.463,3.5954664509629346
40,0,15,45,6m,2f_80,3,6,7,2.735,4.71,3.5891294209041837
40,0,15,45,6m,2f_80,3,6,5,2.735,4.71,3.5891294209041837
25,15,10,50,6m-1m,2f_70,5,10,7,3.009,4.263,3.581531376380779
30,0,20,50,6m-1m,2f_60,5,8,7,3.04,4.214,3.579184264605554
25,15,10,50,6m-1m,2f_80,5,10,7,3.129,4.049,3.559398966117735
25,15,15,45,6m-1m,2f_80,5,8,7,3.258,3.877,3.554049239951523
30,15,10,45,6m-1m,2f_60,3,8,7,2.975,4.236,3.5499436615247855
25,5,20,50,6m-1m,2f_60,5,8,7,3.186,3.939,3.542549082228784
30,20,10,40,6m-1m,2f_70,3,8,7,3.806,3.288,3.537531342617334
30,10,15,45,6m-1m,2f_80,5,10,7,3.09,4.046,3.5358365346831295
25,10,20,45,6m-1m,2f_80,5,8,7,3.317,3.756,3.529681572040175
25,15,10,50,6m-1m,2f_60,5,10,7,2.949,4.206,3.521859452050862
30,20,5,45,6m-1m,2f_80,3,6,5,3.309,3.666,3.4829289398435908
30,0,20,50,6m-1m,2f_70,5,8,7,3.222,3.763,3.4820089029179693
30,20,5,45,6m-1m,2f_70,3,6,5,3.09,3.922,3.48123254035119
25,10,20,45,6m-1m,2f_80,3,8,7,2.499,4.834,3.4756533198810264
25,10,20,45,6m-1m,2f_80,3,6,5,2.741,4.403,3.4739923718972094
25,10,20,45,6m-1m,2f_80,3,6,7,2.737,4.4,3.4702737644168655
25,10,15,50,6m-1m,2f_60,5,8,7,2.835,4.246,3.469497081710835
20,10,25,45,6m-1m,2f_70,3,8,7,2.458,4.886,3.465514103275299
30,0,20,50,6m-1m,2f_60,5,10,7,2.805,4.221,3.4409163023822598
25,10,20,45,6m-1m,2f_70,5,8,7,3.371,3.508,3.438817820123654
25,5,20,50,6m-1m,2f_80,5,10,7,2.894,4.08,3.4362072114469466
20,10,20,50,6m-1m,2f_60,5,8,7,3.252,3.618,3.4301218637243776
25,10,20,45,6m-1m,2f_70,3,6,7,2.529,4.646,3.427788499893189
30,20,5,45,6m-1m,2f_70,3,6,7,3.052,3.849,3.42741126799805
30,15,10,45,6m-1m,2f_70,3,8,7,3.004,3.904,3.424560701754314
30,20,5,45,6m-1m,2f_80,3,6,7,3.261,3.587,3.4201179804211432
30,5,20,45,6m-1m,2f_70,5,8,7,3.138,3.724,3.418466322782777
25,5,20,50,6m-1m,2f_60,5,10,7,3.057,3.817,3.415928717054851
30,15,10,45,6m-1m,2f_80,3,6,5,3.054,3.804,3.408433071075329
25,10,20,45,6m-1m,2f_70,5,10,7,3.341,3.474,3.406851038715958
30,15,10,45,6m-1m,2f_80,3,6,7,3.048,3.804,3.4050832588939732
