type,label,cal_78,cal_525,score,switches
KOSPI,KP_MA150_10d,3.827,4.152,3.9861891575789525,15
KOSPI,KP_MA180_10d,3.798,4.034,3.9142217617299098,13
KOSPI,KP_MA180_5d,3.918,3.757,3.8366555748464055,21
KOSPI,KP_MA200_10d,3.627,3.652,3.639478534076001,13
KOSPI,KP_MA180_7d,3.678,3.532,3.604260811872526,19
KOSPI,KP_MA200_5d,3.505,3.614,3.559082747000974,21
KOSPI,KP_MA250_5d,3.677,3.43,3.551353263194187,17
KOSPI,KP_MA200_7d,3.609,3.389,3.4972705071240915,21
KOSPI,KP_MA120_10d,3.765,3.168,3.4536241833760664,17
KOSPI,KP_MA250_7d,3.503,3.208,3.352256553427855,13
KOSPI,KP_MA100_10d,3.689,2.976,3.3133765255400722,15
KOSPI,KP_MA100_7d,3.556,2.62,3.0523302573607594,17
KOSPI,KP_MA120_5d,3.529,2.581,3.01800414181293,19
KOSPI,KP_MA150_5d,3.452,2.622,3.0085119245234844,23
KOSDAQ,KD_MA120_7d,3.271,2.758,3.003567545436593,17
KOSPI,KP_MA100_5d,3.588,2.496,2.992598870547137,17
KOSDAQ,KD_MA100_10d,3.337,2.681,2.9910695411507904,13
KOSDAQ,KD_MA120_10d,3.273,2.727,2.9875526773598486,17
KOSPI,KP_MA150_7d,3.428,2.6,2.985431292125143,15
KOSPI,KP_MA250_10d,3.354,2.633,2.9717136470393646,11
KOSDAQ,KD_MA100_7d,3.234,2.642,2.9230511456353274,17
KOSPI,KP_MA120_7d,3.355,2.479,2.8839287439186148,17
KOSDAQ,KD_MA120_5d,2.962,2.45,2.69386339668514,21
KOSDAQ,KD_MA100_5d,2.871,2.307,2.573596122160585,23
KOSDAQ,KD_MA150_5d,2.497,2.626,2.560687798229218,21
KOSDAQ,KD_MA150_7d,1.917,2.679,2.266195710877593,19
KOSDAQ,KD_MA80_5d,2.66,1.903,2.2498844414769397,31
KOSDAQ,KD_MA180_10d,2.013,2.43,2.2116939209574187,15
KOSDAQ,KD_MA180_7d,2.135,2.212,2.1731589909622353,17
VIX,VIX<18_3d,1.943,2.365,2.1436405948759227,58
VIX,VIX<18_5d,1.75,2.486,2.0857852238425703,32
KOSDAQ,KD_MA180_5d,2.087,1.973,2.0291995958998217,23
KOSDAQ,KD_MA200_10d,1.934,2.109,2.0196054070040512,15
VIX,VIX<18_7d,1.593,2.497,1.9944224727975766,26
KOSDAQ,KD_MA80_7d,2.421,1.615,1.9773505000378664,25
RET20,ret20>-5%_3d,2.22,1.736,1.9631403413918223,33
VIX,VIX<20_5d,1.709,2.171,1.926198068735404,31
VIX,VIX<20_3d,1.621,2.048,1.8220340282223053,47
KOSDAQ,KD_MA200_7d,2.007,1.633,1.8103676422207728,21
KOSDAQ,KD_MA150_10d,1.833,1.776,1.8042749236189035,15
KOSDAQ,KD_MA80_10d,2.232,1.393,1.7632855696114569,17
KOSDAQ,KD_MA200_5d,1.835,1.669,1.7500328568344081,25
VIX,VIX<20_7d,1.502,1.873,1.6772733826064252,20
RET20,ret20>-5%_1d,1.872,1.381,1.6078656660305923,77
VIX,VIX<28_3d,1.446,1.661,1.549776112862758,27
RET20,ret20>-5%_5d,1.792,1.246,1.4942663751821494,29
VIX,VIX<23_3d,1.242,1.724,1.4632867114820662,37
VIX,VIX<28_5d,1.279,1.467,1.369778449239146,19
HY,HY_!high_5d,1.127,1.663,1.3690146091258486,21
VIX,VIX<23_7d,1.272,1.449,1.3576185031149215,21
VIX,VIX<23_5d,1.275,1.44,1.3549907748763457,29
VIX,VIX<28_1d,1.253,1.459,1.3520824678990553,82
RET20,ret20>-8%_1d,1.219,1.493,1.349061525654038,38
VIX,VIX<25_7d,1.249,1.429,1.3359719308428604,17
VIX,VIX<25_3d,1.238,1.434,1.3324008405881467,27
VIX,VIX<30_5d,1.237,1.428,1.3290733614063597,15
VIX,VIX<28_7d,1.213,1.433,1.3184191291087977,15
VIX,VIX<25_1d,1.206,1.44,1.317816375676065,112
VIX,VIX<25_5d,1.249,1.37,1.3081016780051924,23
VIX,VIX<23_1d,1.129,1.499,1.3009116034535169,120
VIX,VIX<18_1d,1.188,1.409,1.2937897819970599,198
RET20,ret20>-8%_3d,1.129,1.429,1.2701736101809076,19
RET20,ret20>-8%_5d,1.052,1.474,1.2452501756675243,13
VIX,VIX<20_1d,1.109,1.346,1.221766753517217,216
RET20,ret20>-10%_1d,1.076,1.298,1.1817986292088851,20
RET20,ret20>-10%_5d,1.011,1.272,1.1340158729047842,9
RET20,ret20>-20%_1d,0.999,1.206,1.0976310855656375,2
RET20,ret20>-15%_1d,0.977,1.205,1.0850276494172857,8
RET20,ret20>-20%_5d,0.972,1.206,1.0826966334112247,3
RET20,ret20>-15%_5d,0.956,1.206,1.0737485739222195,3
HY,HY_!high_1d,0.936,1.231,1.0734132475426228,86
HY,HY_!high_3d,0.95,1.212,1.0730330842988953,33
RET20,ret20>-20%_3d,0.933,1.206,1.060753505768423,3
HY,HY_!crisis_3d,0.914,1.206,1.0498971378187485,15
RET20,ret20>-15%_3d,0.906,1.206,1.045292303616553,5
RET20,ret20>-10%_3d,0.861,1.148,0.9941971635445355,13
VIX,VIX<30_7d,0.909,1.036,0.970424649315958,13
VIX,VIX<30_1d,0.878,0.956,0.9161702898479082,58
VIX,VIX<30_3d,0.886,0.942,0.9135710153020399,21
HY,HY_!crisis_5d,0.833,0.983,0.9048972317340793,11
HY,HY_!crisis_7d,0.798,0.914,0.8540327862558907,9
HY,HY_!high_7d,0.776,0.879,0.8258958772145555,11
HY,HY_!crisis_10d,0.765,0.857,0.8096943867904729,5
HY,HY_!high_10d,0.668,0.703,0.6852765864962848,9
HY,HY_!crisis_1d,0.574,0.63,0.6013484846576068,48
