label,ma_n,confirm,cal_78,cal_525,score,switches
KP_MA170_8d,170,8,3.861,4.374,4.109502889644927,21
KP_MA150_10d,150,10,3.827,4.152,3.9861891575789525,15
KP_MA150_11d,150,11,3.896,3.947,3.921417090797662,15
KP_MA180_10d,180,10,3.798,4.034,3.9142217617299098,13
KP_MA170_5d,170,5,3.965,3.835,3.899458295712367,21
KP_MA170_10d,170,10,3.788,3.941,3.8637427450595103,13
KP_MA170_6d,170,6,3.875,3.841,3.857962545178478,21
KP_MA160_9d,160,9,3.707,4.013,3.856966554171814,17
KP_MA180_5d,180,5,3.918,3.757,3.8366555748464055,21
KP_MA160_10d,160,10,3.683,3.989,3.8329475602987317,13
KP_MA170_9d,170,9,3.795,3.868,3.8313261411683555,19
KP_MA130_11d,130,11,3.759,3.851,3.804721934649101,15
KP_MA170_12d,170,12,3.831,3.759,3.794829245170328,13
KP_MA140_10d,140,10,3.708,3.86,3.783236709485675,15
KP_MA140_12d,140,12,3.866,3.657,3.7600481379897253,15
KP_MA170_11d,170,11,3.741,3.778,3.7594544817034294,13
KP_MA120_11d,120,11,3.751,3.744,3.747498365576695,17
KP_MA190_8d,190,8,3.745,3.746,3.7454999666266184,19
KP_MA140_11d,140,11,3.752,3.739,3.7454943598942982,15
KP_MA130_10d,130,10,3.786,3.694,3.7397171016000663,17
KP_MA180_8d,180,8,3.746,3.719,3.7324755859884737,19
KP_MA130_13d,130,13,3.743,3.693,3.7179159484851185,13
KP_MA160_11d,160,11,3.659,3.76,3.7091562382838497,13
KP_MA190_5d,190,5,3.66,3.742,3.7007728922483207,23
KP_MA160_7d,160,7,3.761,3.64,3.7000054054014573,21
KP_MA150_12d,150,12,3.78,3.603,3.690438998276492,15
KP_MA160_12d,160,12,3.774,3.607,3.6895552577512647,13
KP_MA170_7d,170,7,3.76,3.597,3.677597041547646,21
KP_MA180_6d,180,6,3.776,3.571,3.6720697161137883,21
KP_MA100_13d,100,13,3.671,3.651,3.6609863425038887,15
KP_MA200_10d,200,10,3.627,3.652,3.639478534076001,13
KP_MA200_12d,200,12,3.694,3.58,3.6365533132349372,13
KP_MA190_10d,190,10,3.665,3.565,3.614654201994985,13
KP_MA180_9d,180,9,3.69,3.539,3.6137113885865317,17
KP_MA130_12d,130,12,3.657,3.564,3.6102005484460276,15
KP_MA180_7d,180,7,3.678,3.532,3.604260811872526,19
KP_MA190_7d,190,7,3.69,3.511,3.5993874478860985,21
KP_MA100_12d,100,12,3.703,3.496,3.598011673132815,15
KP_MA200_11d,200,11,3.588,3.601,3.5944941229608376,13
KP_MA160_8d,160,8,3.74,3.45,3.592074609470132,19
KP_MA180_11d,180,11,3.595,3.576,3.585487414564441,13
KP_MA190_9d,190,9,3.615,3.547,3.5808385889341623,15
KP_MA140_13d,140,13,3.582,3.571,3.5764957710026724,13
KP_MA130_14d,130,14,3.679,3.475,3.575545412940521,11
KP_MA190_12d,190,12,3.677,3.476,3.5750876912322025,13
