label,score,switches,type
KP_MA170_8d AND VIX<18,4.641359714566411,22,AND_VIX
KP_MA170_8d AND VIX<20,4.256651265960133,22,AND_VIX
KP_MA150_10d AND VIX<20,4.224945916813611,16,AND_VIX
KP_MA150_10d AND VIX<18,4.116376076113552,14,AND_VIX
KP_MA170_8d (solo),4.109502889644927,0,solo
KP_MA180_10d AND VIX<20,4.102368096599816,16,AND_VIX
KP_MA180_10d AND VIX<18,4.075244287156292,14,AND_VIX
KP_MA170_5d AND VIX<18,4.050160737551042,28,AND_VIX
KP_MA170_5d AND VIX<20,4.011307517505982,29,AND_VIX
KP_MA170_5d AND VIX<23,3.9989173534845657,29,AND_VIX
KP_MA150_10d (solo),3.9861891575789525,0,solo
KP_MA150_11d (solo),3.921417090797662,0,solo
KP_MA180_10d (solo),3.9142217617299098,0,solo
KP_MA170_5d (solo),3.899458295712367,0,solo
KP_MA150_10d AND VIX<23,3.8544591060225297,16,AND_VIX
KP_MA170_8d AND VIX<23,3.8375914321355267,26,AND_VIX
KP_MA180_10d AND VIX<23,3.8018087800414158,14,AND_VIX
KP_MA150_11d AND VIX<20,3.7920332277025213,16,AND_VIX
KP_MA150_11d AND VIX<18,3.7665221358701717,12,AND_VIX
KP_MA150_11d AND VIX<23,3.578818939259152,14,AND_VIX
KP_MA180_10d ASYM(KD120+V20),3.2627215633578053,18,ASYM
KP_MA150_10d ASYM(KD120+V20),3.254813051467012,18,ASYM
KP_MA170_8d AND KD100,3.1685966925438778,19,AND_KD
KP_MA150_11d AND KD100,3.1184587539359887,13,AND_KD
KP_MA170_8d AND KD120,3.094365201458936,19,AND_KD
KP_MA180_10d AND KD100,3.07258034882735,13,AND_KD
KP_MA170_8d ASYM(KD120+V20),3.0708321347804084,22,ASYM
KP_MA180_10d AND KD120,3.0350052718240867,15,AND_KD
KP_MA150_11d ASYM(KD120+V20),3.0247280869526105,16,ASYM
KP_MA150_10d AND KD120,2.9739166094562908,17,AND_KD
KP_MA150_10d AND KD100,2.936844905676839,15,AND_KD
KP_MA180_10d ASYM(KD120+V23),2.9295829054662375,16,ASYM
KP_MA150_11d AND KD120,2.925884481656786,13,AND_KD
KP_MA170_5d ASYM(KD120+V20),2.9066637232401,29,ASYM
KP_MA180_10d ASYM(KD150+V20),2.8628337360035423,14,ASYM
KP_MA150_10d ASYM(KD150+V20),2.8596284723718917,14,ASYM
KP_MA170_8d ASYM(KD120+V23),2.8563669232085713,24,ASYM
KP_MA150_10d ASYM(KD120+V23),2.8552218827965015,18,ASYM
KP_MA150_11d ASYM(KD120+V23),2.750595935429266,14,ASYM
KP_MA170_5d ASYM(KD150+V20),2.6814652710784825,27,ASYM
KP_MA170_8d AND KD150,2.600271139708319,17,AND_KD
KP_MA170_8d ASYM(KD150+V20),2.5906559015044817,18,ASYM
KP_MA150_11d ASYM(KD150+V20),2.5887908374374318,10,ASYM
KP_MA170_5d ASYM(KD120+V23),2.5369812770298483,29,ASYM
KP_MA170_5d AND KD150,2.5357066076342507,19,AND_KD
KP_MA170_5d AND KD100,2.51897121857317,23,AND_KD
KP_MA170_5d AND KD120,2.5113281346729663,21,AND_KD
KP_MA180_10d AND KD150,2.1362701140071216,13,AND_KD
KP_MA150_10d AND KD150,2.045608955787982,15,AND_KD
KP_MA150_11d AND KD150,2.022338250639591,11,AND_KD
