V,Q,G,M,cal,cagr,mdd
20,0,50,30,3.455,119.9,34.7
15,5,45,35,3.176,120.29,37.88
15,5,50,30,2.948,111.66,37.88
20,5,50,25,2.919,99.64,34.14
20,0,60,20,2.834,96.47,34.04
25,5,45,25,2.815,97.77,34.73
15,0,55,30,2.802,115.09,41.08
15,0,50,35,2.758,108.91,39.48
20,0,55,25,2.745,93.71,34.14
10,10,50,30,2.726,101.36,37.17
10,10,55,25,2.724,101.06,37.1
25,0,50,25,2.68,92.88,34.65
15,5,55,25,2.638,95.65,36.26
15,5,60,20,2.596,94.13,36.26
10,10,45,35,2.584,98.93,38.28
10,5,55,30,2.578,103.98,40.33
20,5,45,30,2.516,95.31,37.88
10,5,60,25,2.451,94.63,38.61
20,10,50,20,2.447,84.98,34.73
15,10,45,30,2.422,91.73,37.88
10,0,55,35,2.364,97.92,41.42
25,0,55,20,2.336,88.43,37.86
10,0,60,30,2.325,95.5,41.08
10,5,50,35,2.305,97.83,42.44
20,0,45,35,2.285,86.62,37.91
25,0,45,30,2.226,82.93,37.26
25,5,50,20,2.196,79.71,36.31
20,5,40,35,2.182,82.67,37.88
15,0,60,25,2.179,85.6,39.29
25,10,45,20,2.179,78.12,35.86
25,0,40,35,2.094,85.55,40.86
20,10,40,30,2.092,79.25,37.88
20,10,45,25,2.083,77.66,37.29
15,10,40,35,2.008,81.57,40.62
15,10,50,25,1.967,78.32,39.82
20,5,55,20,1.911,75.95,39.75
15,10,55,20,1.893,74.19,39.19
25,5,40,30,1.874,84.24,44.94
25,10,40,25,1.656,67.16,40.56
30,0,50,20,1.653,64.38,38.95
30,0,45,25,1.641,73.87,45.02
10,10,60,20,1.528,71.08,46.53
30,5,45,20,1.482,70.95,47.89
30,10,40,20,1.323,74.48,56.29
30,5,40,25,1.15,66.46,57.8
30,0,40,30,1.14,54.88,48.13
