V,Q,G,M,cal,cagr,mdd
30,15,10,45,3.455,119.9,34.7
30,20,5,45,3.435,129.42,37.68
25,20,5,50,3.323,124.66,37.51
20,20,10,50,3.135,121.65,38.81
30,15,15,40,3.083,116.1,37.65
25,20,10,45,3.062,108.44,35.42
40,15,5,40,2.947,108.15,36.7
20,15,15,50,2.923,122.87,42.03
25,15,5,55,2.913,114.44,39.28
30,10,10,50,2.903,115.81,39.89
20,10,15,55,2.899,127.47,43.97
20,20,5,55,2.873,112.87,39.28
40,10,10,40,2.86,112.23,39.24
20,15,10,55,2.826,119.04,42.13
25,15,15,45,2.818,116.68,41.41
25,10,15,50,2.805,127.22,45.36
25,10,10,55,2.789,117.24,42.03
35,10,5,50,2.769,114.12,41.21
30,10,5,55,2.761,113.01,40.93
40,10,5,45,2.757,109.74,39.8
30,20,10,40,2.685,116.77,43.48
20,20,15,45,2.681,113.14,42.2
30,10,15,45,2.633,116.88,44.4
25,15,10,50,2.597,113.07,43.54
40,15,15,30,2.564,106.94,41.7
35,20,5,40,2.559,111.99,43.76
35,15,5,45,2.553,108.04,42.32
30,15,5,50,2.505,115.53,46.13
20,20,20,40,2.471,96.36,39.0
40,20,10,30,2.407,104.33,43.34
40,10,20,30,2.395,110.0,45.94
35,10,10,45,2.35,110.78,47.14
35,20,15,30,2.321,101.01,43.52
35,15,10,40,2.297,109.17,47.52
25,20,15,40,2.293,101.32,44.19
35,15,20,30,2.245,101.07,45.01
25,10,20,45,2.052,114.64,55.86
20,15,20,45,2.046,112.24,54.86
35,10,15,40,2.042,103.35,50.62
30,10,20,40,1.881,109.32,58.1
30,20,20,30,1.877,95.32,50.78
20,10,20,50,1.859,114.1,61.36
25,15,20,40,1.366,89.38,65.43
