기간,전략,CAGR(%),MDD(%),Calmar,Sharpe,누적(%)
2026 YTD,baseline (no penalty),1367.23,23.96,57.072,3.596,142.22
2026 YTD,"vol_pen [1.5, 0.3]",928.95,23.96,38.776,3.227,115.5
2026 YTD,"vol_pen [1.5, 0.5]",928.95,23.96,38.776,3.227,115.5
2026 YTD,"vol_pen [1.5, 0.7]",928.95,23.96,38.776,3.227,115.5
2026 YTD,"vol_pen [2.0, 0.5]",1367.23,23.96,57.072,3.596,142.22
2026 YTD,"vol_pen [1.2, 0.5]",928.95,23.96,38.776,3.227,115.5
2024~2026 (2.3y),baseline (no penalty),233.29,25.89,9.011,2.437,1415.3
2024~2026 (2.3y),"vol_pen [1.5, 0.3]",218.05,25.89,8.423,2.377,1263.34
2024~2026 (2.3y),"vol_pen [1.5, 0.5]",197.84,33.81,5.852,2.251,1075.53
2024~2026 (2.3y),"vol_pen [1.5, 0.7]",203.54,31.28,6.507,2.287,1126.91
2024~2026 (2.3y),"vol_pen [2.0, 0.5]",236.83,25.89,9.148,2.457,1451.85
2024~2026 (2.3y),"vol_pen [1.2, 0.5]",211.16,27.45,7.692,2.351,1197.6
2018~2026 (7.8y),baseline (no penalty),148.24,35.73,4.149,0.815,103734.08
2018~2026 (7.8y),"vol_pen [1.5, 0.3]",140.0,37.88,3.696,0.794,80151.81
2018~2026 (7.8y),"vol_pen [1.5, 0.5]",134.07,39.42,3.401,0.779,66173.95
2018~2026 (7.8y),"vol_pen [1.5, 0.7]",134.73,39.42,3.418,0.781,67618.75
2018~2026 (7.8y),"vol_pen [2.0, 0.5]",143.5,35.73,4.016,0.803,89509.82
2018~2026 (7.8y),"vol_pen [1.2, 0.5]",136.75,39.42,3.469,0.786,72194.46
