sub1,sub2,ratio,avg_cal,avg_cagr,avg_sharpe,avg_sortino,min_cal,borda
rev_z,op_margin_z,0.45,1.6154,56.112,1.3274,1.9240000000000002,1.127,1564.0
rev_z,oca_z,0.5,1.6304000000000003,55.160000000000004,1.2946,1.8678000000000001,1.133,1557.0
rev_z,oca_z,0.55,1.612,56.29200000000001,1.3115999999999999,1.8954,1.083,1554.0
rev_z,oca_z,0.65,1.5256,53.672000000000004,1.2762,1.8483999999999998,1.111,1541.0
rev_z,op_margin_z,0.4,1.4698,52.802,1.2756,1.8316,1.27,1538.0
rev_z,op_margin_z,0.6,1.6283999999999998,56.04200000000001,1.3178,1.903,0.994,1535.0
rev_z,oca_z,0.6,1.5444,53.584,1.2710000000000001,1.8397999999999999,1.063,1528.0
rev_z,oca_z,0.45,1.5358,53.57000000000001,1.2656,1.8394,1.076,1527.0
rev_z,oca_z,0.7,1.4362,52.132000000000005,1.2538,1.8402,1.095,1518.0
rev_z,op_margin_z,0.55,1.4718,53.8,1.2782,1.8274000000000001,1.022,1514.0
rev_z,oca_z,0.4,1.4176,52.968,1.2571999999999999,1.8219999999999998,1.09,1510.0
rev_z,op_margin_z,0.5,1.431,52.288,1.2606,1.8277999999999999,1.065,1508.0
rev_z,op_margin_z,0.15,1.4688,51.616,1.2544,1.8384,1.026,1499.0
rev_z,op_margin_z,0.65,1.5958,55.584,1.3054000000000001,1.8922,0.874,1498.0
oca_z,op_margin_z,0.5,1.4280000000000002,50.730000000000004,1.2376,1.8135999999999999,1.151,1493.0
rev_z,op_margin_z,0.35,1.3834,50.86,1.2416,1.7928000000000002,1.208,1489.0
oca_z,op_margin_z,0.6,1.4347999999999999,52.346000000000004,1.2512,1.8346,0.93,1476.0
oca_z,op_margin_z,0.65,1.3324,51.303999999999995,1.232,1.8097999999999999,1.077,1469.0
oca_z,op_margin_z,0.55,1.3832,49.944,1.2204000000000002,1.7824000000000002,1.178,1456.0
oca_z,op_margin_z,0.95,1.3568,51.196,1.23,1.8077999999999999,1.038,1455.0
oca_z,op_margin_z,0.45,1.455,49.394,1.2202,1.7856,1.116,1453.0
rev_z,op_margin_z,0.3,1.4116,49.836,1.2224,1.7722000000000002,1.143,1449.5
rev_z,op_margin_z,0.7,1.4292,52.164,1.2474,1.8085999999999998,0.866,1446.0
rev_z,op_margin_z,0.75,1.3359999999999999,50.45,1.228,1.7916,1.058,1446.0
oca_z,op_margin_z,0.9,1.3321999999999998,51.488,1.238,1.8106000000000002,0.93,1441.0
oca_z,op_margin_z,0.85,1.3322,51.69200000000001,1.2388,1.8268,0.894,1441.0
oca_z,op_margin_z,0.75,1.2866,51.315999999999995,1.2328,1.8084,1.006,1440.0
oca_z,op_margin_z,0.8,1.3072,50.75,1.223,1.802,1.008,1434.0
rev_z,oca_z,0.35,1.2892,50.748000000000005,1.2208,1.7722000000000002,1.075,1424.5
oca_z,op_margin_z,0.7,1.2856,51.46,1.2344,1.8123999999999998,0.904,1421.0
op_margin_z,cfo_growth_z,0.9,1.3585999999999998,48.47,1.2128,1.7513999999999998,1.13,1420.5
oca_z,gp_growth_z,0.95,1.2596,50.694,1.226,1.8061999999999998,0.982,1417.0
rev_z,oca_z,0.1,1.2568,51.314,1.2277999999999998,1.7978,0.96,1417.0
rev_z,op_margin_z,0.2,1.4106,49.766,1.2248,1.7926000000000002,0.931,1416.0
oca_z,op_margin_z,1.0,1.2984,50.04,1.2128,1.7764,1.042,1411.5
oca_z,gp_growth_z,1.0,1.2984,50.04,1.2128,1.7764,1.042,1411.5
oca_z,rev_accel_z,1.0,1.2984,50.04,1.2128,1.7764,1.042,1411.5
oca_z,cfo_growth_z,1.0,1.2984,50.04,1.2128,1.7764,1.042,1411.5
rev_z,oca_z,0.0,1.2984,50.04,1.2128,1.7764,1.042,1411.5
oca_z,op_margin_z,0.4,1.3646,47.518,1.1856,1.7308,1.163,1406.0
rev_z,oca_z,0.15,1.2972,50.732,1.2178,1.7803999999999998,0.934,1398.0
rev_z,op_margin_z,0.25,1.3501999999999998,47.614,1.1892,1.7315999999999998,1.078,1395.0
rev_z,oca_z,0.75,1.3174,49.68,1.2126000000000001,1.7686,0.988,1388.0
oca_z,op_margin_z,0.35,1.328,46.938,1.177,1.721,1.108,1378.0
rev_z,oca_z,0.3,1.223,49.606,1.2014,1.7332,1.015,1365.0
oca_z,gp_growth_z,0.9,1.1949999999999998,49.212,1.2052,1.7713999999999999,0.965,1353.0
rev_z,op_margin_z,0.8,1.234,46.976,1.174,1.7102,1.048,1345.0
rev_z,op_margin_z,0.1,1.3594,47.724000000000004,1.185,1.7125999999999997,0.878,1341.0
rev_z,oca_z,0.05,1.2302,49.714,1.1984,1.7548,0.853,1335.0
oca_z,cfo_growth_z,0.85,1.1968,48.13,1.189,1.7440000000000002,0.916,1329.0
rev_z,oca_z,0.2,1.1663999999999999,48.602,1.186,1.7218,0.951,1324.0
op_margin_z,cfo_growth_z,0.95,1.2184,46.608,1.1742000000000001,1.6893999999999998,0.969,1313.0
oca_z,op_margin_z,0.2,1.2686,46.462,1.176,1.7242000000000002,0.888,1312.0
rev_z,oca_z,0.25,1.1594,48.04,1.1802,1.7108,0.959,1309.5
oca_z,rev_accel_z,0.95,1.1662000000000001,46.678000000000004,1.1545999999999998,1.6960000000000002,0.977,1294.0
oca_z,op_margin_z,0.1,1.1772,46.244,1.165,1.6792000000000002,0.959,1292.5
rev_z,rev_accel_z,0.75,1.225,45.382,1.1503999999999999,1.6705999999999999,0.995,1291.0
oca_z,gp_growth_z,0.85,1.1474,47.168,1.171,1.7158000000000002,0.926,1287.0
rev_z,gp_growth_z,0.75,1.1488,46.884,1.17,1.7073999999999998,0.937,1286.0
rev_z,oca_z,0.8,1.201,46.79,1.1642,1.6876000000000002,0.851,1273.5
oca_z,cfo_growth_z,0.95,1.2214,48.577999999999996,1.1852,1.736,0.732,1271.0
rev_z,rev_accel_z,0.7,1.2458,44.838,1.144,1.657,0.912,1253.0
oca_z,op_margin_z,0.15,1.1834,45.146,1.1468,1.6572,0.92,1250.0
oca_z,op_margin_z,0.25,1.1814,44.474000000000004,1.1372,1.6648,0.967,1246.0
oca_z,gp_growth_z,0.8,1.0968,45.824,1.1454,1.6676000000000002,0.93,1236.0
oca_z,cfo_growth_z,0.8,1.0455999999999999,45.754,1.1494,1.6732,0.966,1235.0
oca_z,cfo_growth_z,0.9,1.1198000000000001,47.074,1.1642,1.7066,0.774,1225.5
rev_z,gp_growth_z,0.7,1.1092,45.122,1.1396000000000002,1.6504,0.892,1207.0
rev_z,gp_growth_z,0.55,1.1418,45.465999999999994,1.1456,1.6515999999999997,0.803,1203.0
oca_z,op_margin_z,0.05,1.15,45.763999999999996,1.1576,1.6664,0.757,1200.5
gp_growth_z,op_margin_z,0.05,1.1176,44.67,1.1401999999999999,1.6405999999999998,0.866,1193.0
rev_z,op_margin_z,0.05,1.2074,45.1,1.1423999999999999,1.6461999999999999,0.744,1185.0
