sub1,sub2,ratio,config,calmar,cagr,mdd,sharpe,sortino
rev_z,oca_z,0.0,공격_G50_12m1m,1.604,65.67,40.94,1.442,2.156
rev_z,oca_z,0.0,공격_G40_12m,1.536,60.51,39.4,1.38,2.079
rev_z,oca_z,0.0,방어_M50_6m1m,1.056,39.34,37.25,1.065,1.508
rev_z,oca_z,0.0,방어_M50_6m,1.254,41.16,32.81,1.077,1.548
rev_z,oca_z,0.0,밸런스_G30_6m,1.042,43.52,41.77,1.1,1.591
rev_z,oca_z,0.05,공격_G50_12m1m,1.61,67.78,42.11,1.472,2.218
rev_z,oca_z,0.05,공격_G40_12m,1.397,60.72,43.47,1.365,2.046
rev_z,oca_z,0.05,방어_M50_6m1m,1.051,38.94,37.07,1.052,1.488
rev_z,oca_z,0.05,방어_M50_6m,1.24,40.19,32.42,1.055,1.524
rev_z,oca_z,0.05,밸런스_G30_6m,0.853,40.94,48.02,1.048,1.498
rev_z,oca_z,0.1,공격_G50_12m1m,1.758,70.34,40.01,1.521,2.331
rev_z,oca_z,0.1,공격_G40_12m,1.136,54.8,48.25,1.265,1.845
rev_z,oca_z,0.1,방어_M50_6m1m,1.088,41.7,38.32,1.104,1.558
rev_z,oca_z,0.1,방어_M50_6m,1.342,45.77,34.11,1.148,1.671
rev_z,oca_z,0.1,밸런스_G30_6m,0.96,43.96,45.77,1.101,1.584
rev_z,oca_z,0.15,공격_G50_12m1m,1.913,68.53,35.82,1.499,2.291
rev_z,oca_z,0.15,공격_G40_12m,1.377,60.93,44.25,1.371,2.022
rev_z,oca_z,0.15,방어_M50_6m1m,1.043,39.48,37.86,1.063,1.497
rev_z,oca_z,0.15,방어_M50_6m,1.219,41.98,34.44,1.076,1.541
rev_z,oca_z,0.15,밸런스_G30_6m,0.934,42.74,45.76,1.08,1.551
rev_z,oca_z,0.2,공격_G50_12m1m,1.375,58.58,42.61,1.352,2.04
rev_z,oca_z,0.2,공격_G40_12m,1.563,62.42,39.93,1.401,2.042
rev_z,oca_z,0.2,방어_M50_6m1m,0.96,39.55,41.18,1.061,1.494
rev_z,oca_z,0.2,방어_M50_6m,0.983,39.38,40.06,1.027,1.462
rev_z,oca_z,0.2,밸런스_G30_6m,0.951,43.08,45.3,1.089,1.571
rev_z,oca_z,0.25,공격_G50_12m1m,1.424,57.94,40.68,1.348,2.021
