v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
15,25,15,45,1.0,6m,2.392,72.66,30.38,1.56,2.264
15,15,20,50,0.8,6m,2.362,73.69,31.19,1.551,2.248
10,25,15,50,0.7,6m,2.183,63.17,28.94,1.419,2.036
15,15,20,50,0.9,6m,2.14,69.56,32.5,1.498,2.134
15,15,20,50,0.7,6m,2.12,63.38,29.89,1.416,2.055
10,20,15,55,0.6,6m,2.117,64.21,30.33,1.439,2.04
15,0,40,45,0.8,12m,2.081,70.18,33.72,1.488,2.146
10,20,15,55,0.4,6m,2.078,62.79,30.21,1.432,2.082
5,25,10,60,0.4,6m,2.07,57.94,27.99,1.4,2.033
20,15,15,50,1.0,6m-1m,2.066,64.49,31.22,1.467,2.066
5,25,25,45,0.6,6m-1m,2.042,63.52,31.1,1.423,2.104
10,25,15,50,0.8,6m,2.018,59.16,29.32,1.377,1.967
25,5,45,25,0.3,12m,2.014,67.42,33.48,1.478,2.247
10,15,20,55,0.5,6m,1.984,65.88,33.21,1.477,2.123
10,25,15,50,0.5,6m,1.984,64.2,32.35,1.452,2.031
25,5,45,25,0.3,12m-1m,1.975,69.83,35.35,1.515,2.293
5,25,10,60,0.3,6m,1.954,57.62,29.5,1.388,1.995
15,15,30,40,0.4,6m-1m,1.918,66.22,34.52,1.472,2.168
25,5,45,25,0.4,12m-1m,1.905,55.35,29.05,1.302,1.941
25,0,50,25,0.3,12m-1m,1.903,69.72,36.63,1.5,2.289
5,20,15,60,1.0,6m,1.855,58.32,31.44,1.35,1.889
15,10,25,50,0.9,6m-1m,1.855,65.98,35.57,1.461,2.138
10,30,10,50,0.3,6m,1.854,59.82,32.27,1.398,2.005
5,25,10,60,0.6,6m,1.852,53.37,28.82,1.315,1.885
0,20,20,60,1.0,6m,1.846,61.72,33.43,1.399,1.998
10,25,20,45,0.5,6m,1.835,64.12,34.94,1.447,2.112
15,25,10,50,0.7,6m,1.834,58.18,31.72,1.371,1.955
15,0,40,45,0.7,12m,1.825,59.52,32.61,1.339,1.894
20,0,40,40,0.5,12m,1.813,63.73,35.15,1.4,1.995
10,25,15,50,0.6,6m,1.812,57.43,31.69,1.337,1.941
5,15,40,40,0.4,12m,1.803,79.45,44.07,1.588,2.446
0,25,15,60,0.8,6m,1.796,58.25,32.43,1.367,1.999
10,25,15,50,0.9,6m,1.793,56.3,31.39,1.333,1.908
15,25,15,45,0.5,6m,1.783,57.58,32.29,1.353,1.96
0,20,20,60,0.5,6m,1.777,53.7,30.21,1.281,1.831
20,0,35,45,0.7,12m,1.771,65.54,37.0,1.426,2.026
5,0,45,50,0.4,12m,1.771,79.1,44.66,1.611,2.456
15,20,15,50,0.9,6m,1.771,57.6,32.53,1.344,1.933
20,10,20,50,0.6,6m-1m,1.77,59.45,33.6,1.364,1.903
0,30,10,60,1.0,6m,1.768,52.63,29.77,1.285,1.869
5,25,10,60,0.7,6m,1.768,51.19,28.95,1.268,1.82
10,25,10,55,0.4,6m,1.766,61.26,34.69,1.431,2.009
15,20,15,50,0.8,6m,1.76,59.27,33.67,1.369,1.953
15,25,10,50,0.8,6m,1.757,55.25,31.45,1.328,1.871
0,20,20,60,0.9,6m,1.749,55.3,31.62,1.29,1.851
20,20,15,45,0.8,6m,1.749,53.29,30.46,1.277,1.768
15,25,15,45,0.6,6m,1.748,59.54,34.06,1.385,2.021
0,20,45,35,0.6,6m,1.746,77.13,44.18,1.555,2.318
10,25,10,55,0.3,6m,1.746,59.88,34.3,1.411,1.991
15,25,10,50,0.5,6m,1.742,55.56,31.89,1.325,1.865
15,0,40,45,0.9,12m,1.736,66.68,38.4,1.428,2.062
20,5,25,50,0.9,12m-1m,1.736,57.79,33.29,1.37,1.955
5,15,30,50,0.9,12m,1.735,68.44,39.45,1.492,2.157
10,30,10,50,0.4,6m,1.73,61.25,35.41,1.436,2.085
