v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
20,5,60,15,12m,2.62,81.6,31.15,1.654,2.587
20,0,65,15,12m,2.47,82.95,33.58,1.668,2.595
20,0,65,15,12m-1m,2.409,76.19,31.62,1.593,2.533
15,5,65,15,12m-1m,2.405,80.83,33.61,1.632,2.604
10,0,70,20,12m-1m,2.386,86.91,36.43,1.711,2.769
20,0,70,10,12m-1m,2.285,74.14,32.45,1.551,2.444
25,5,35,35,12m-1m,2.268,61.9,27.3,1.445,2.109
25,5,50,20,12m,2.267,67.95,29.97,1.502,2.256
20,5,30,45,6m-1m,2.253,60.51,26.85,1.424,2.075
20,5,60,15,12m-1m,2.219,71.9,32.41,1.537,2.404
25,0,60,15,12m,2.213,69.36,31.34,1.518,2.381
20,10,35,35,12m-1m,2.202,63.09,28.66,1.435,2.11
15,0,70,15,12m-1m,2.178,83.21,38.21,1.656,2.689
0,25,30,45,12m,2.162,70.43,32.57,1.515,2.316
20,0,70,10,12m,2.16,75.75,35.06,1.573,2.469
25,5,40,30,12m-1m,2.159,65.81,30.48,1.483,2.227
0,20,50,30,12m,2.149,78.28,36.43,1.57,2.47
20,10,30,40,12m-1m,2.148,58.51,27.24,1.389,2.033
0,15,45,40,12m-1m,2.142,69.64,32.51,1.481,2.298
15,5,65,15,12m,2.088,72.95,34.93,1.523,2.42
15,0,70,15,12m,2.085,74.85,35.9,1.554,2.494
0,20,35,45,6m,2.081,67.36,32.36,1.471,2.227
0,20,45,35,12m,2.078,73.45,35.34,1.519,2.368
25,10,30,35,12m-1m,2.07,52.6,25.41,1.296,1.873
5,20,30,45,12m-1m,2.064,63.43,30.74,1.419,2.156
15,10,60,15,12m,2.056,65.73,31.97,1.422,2.249
20,0,60,20,12m-1m,2.053,66.65,32.46,1.454,2.281
0,20,30,50,6m,2.047,72.95,35.64,1.556,2.378
20,5,50,25,12m,2.041,67.2,32.94,1.462,2.192
25,5,45,25,12m,2.026,68.77,33.94,1.495,2.282
25,10,25,40,6m-1m,2.023,52.31,25.86,1.286,1.854
0,20,35,45,12m,2.014,68.37,33.94,1.471,2.25
15,5,60,20,12m,2.009,73.95,36.81,1.541,2.432
25,0,45,30,6m,2.002,60.43,30.19,1.371,2.09
20,0,60,20,12m,1.988,73.17,36.81,1.552,2.405
15,5,60,20,12m-1m,1.986,65.41,32.94,1.423,2.244
30,10,30,30,6m-1m,1.984,59.44,29.96,1.42,2.088
20,5,55,20,12m-1m,1.982,63.58,32.07,1.421,2.211
20,0,50,30,12m,1.975,74.49,37.72,1.563,2.397
20,0,45,35,12m,1.973,76.95,39.0,1.602,2.477
10,20,30,40,12m,1.964,65.46,33.33,1.454,2.148
25,0,20,55,6m-1m,1.962,52.75,26.89,1.303,1.89
30,0,30,40,6m-1m,1.961,51.27,26.14,1.294,1.906
15,0,65,20,12m-1m,1.951,75.34,38.62,1.564,2.487
25,0,55,20,12m,1.951,62.88,32.23,1.42,2.172
30,5,40,25,12m,1.939,57.65,29.74,1.353,2.027
25,10,30,35,6m-1m,1.938,59.73,30.82,1.394,2.021
0,15,50,35,12m,1.937,74.1,38.25,1.539,2.42
10,5,65,20,12m-1m,1.933,72.9,37.71,1.514,2.376
10,15,45,30,12m,1.932,71.6,37.06,1.498,2.301
25,0,50,25,12m-1m,1.93,68.17,35.32,1.481,2.237
0,25,25,50,12m,1.93,66.06,34.22,1.478,2.248
15,10,45,30,12m,1.925,68.14,35.4,1.468,2.216
0,20,40,40,12m,1.925,70.68,36.71,1.472,2.262
0,25,40,35,12m,1.917,70.97,37.03,1.464,2.261
5,10,50,35,12m,1.917,72.47,37.8,1.513,2.361
25,5,50,20,12m-1m,1.913,59.22,30.96,1.371,2.079
25,5,15,55,6m-1m,1.912,56.42,29.5,1.378,1.976
10,25,20,45,12m,1.905,57.89,30.38,1.374,1.992
5,20,40,35,6m,1.897,68.54,36.13,1.471,2.238
0,35,15,50,12m,1.895,59.76,31.54,1.397,2.097
15,0,60,25,12m-1m,1.89,66.66,35.28,1.454,2.287
5,25,25,45,12m,1.889,63.38,33.55,1.442,2.166
25,5,35,35,12m,1.886,59.48,31.53,1.381,2.05
15,5,45,35,12m-1m,1.883,67.91,36.07,1.479,2.211
35,0,45,20,12m-1m,1.875,57.9,30.87,1.392,2.146
5,20,35,40,6m-1m,1.871,59.41,31.75,1.343,2.052
0,25,30,45,12m-1m,1.871,61.9,33.08,1.382,2.107
30,5,35,30,6m-1m,1.87,55.12,29.47,1.331,2.025
20,10,45,25,12m,1.87,64.44,34.46,1.412,2.103
5,20,35,40,12m-1m,1.87,65.9,35.23,1.428,2.158
20,0,35,45,6m-1m,1.869,55.13,29.5,1.327,1.961
0,15,55,30,12m,1.868,71.54,38.3,1.488,2.33
5,20,40,35,12m,1.865,68.83,36.91,1.456,2.234
5,15,45,35,12m,1.859,71.51,38.47,1.5,2.321
15,10,45,30,12m-1m,1.853,66.28,35.77,1.463,2.17
0,20,55,25,12m-1m,1.853,65.06,35.12,1.408,2.218
20,5,65,10,6m,1.853,62.51,33.73,1.386,2.153
0,25,35,40,12m,1.851,65.42,35.35,1.397,2.167
20,5,65,10,12m-1m,1.849,69.24,37.44,1.488,2.315
5,15,40,40,6m,1.845,66.87,36.24,1.456,2.221
5,15,50,30,12m,1.845,70.73,38.34,1.481,2.301
10,30,20,40,12m,1.843,56.45,30.63,1.344,1.969
25,5,55,15,12m-1m,1.842,58.59,31.8,1.355,2.066
10,25,25,40,12m,1.841,60.13,32.65,1.394,2.046
10,5,30,55,6m-1m,1.834,62.65,34.16,1.439,2.116
10,5,60,25,12m-1m,1.833,64.33,35.09,1.408,2.242
30,0,40,30,12m,1.831,56.77,31.0,1.345,2.008
25,5,35,35,6m-1m,1.827,58.06,31.78,1.373,2.066
20,0,65,15,6m-1m,1.826,70.26,38.47,1.507,2.366
25,0,45,30,12m,1.826,65.23,35.73,1.444,2.206
25,0,65,10,12m,1.826,61.69,33.78,1.391,2.184
5,20,35,40,6m,1.825,65.21,35.73,1.436,2.131
25,10,35,30,6m-1m,1.822,57.95,31.8,1.356,2.017
5,20,45,30,12m,1.821,76.29,41.89,1.553,2.431
30,0,35,35,6m-1m,1.819,49.99,27.48,1.266,1.924
10,10,45,35,12m,1.819,68.98,37.92,1.472,2.209
0,20,55,25,12m,1.813,70.1,38.66,1.478,2.314
10,0,65,25,12m-1m,1.809,71.05,39.27,1.5,2.377
10,10,50,30,12m,1.804,67.11,37.19,1.429,2.192
0,25,45,30,12m,1.8,64.79,36.0,1.397,2.156
15,0,70,15,6m-1m,1.8,63.77,35.43,1.404,2.225
25,0,65,10,12m-1m,1.795,58.5,32.59,1.346,2.11
5,15,35,45,12m-1m,1.792,62.32,34.77,1.402,2.08
0,35,15,50,12m-1m,1.788,52.48,29.35,1.288,1.924
20,5,40,35,12m,1.784,62.79,35.2,1.404,2.142
20,5,40,35,12m-1m,1.783,63.26,35.49,1.433,2.164
10,20,25,45,12m,1.783,58.89,33.04,1.372,2.01
5,15,40,40,12m-1m,1.783,58.92,33.05,1.332,2.005
15,0,55,30,6m,1.78,63.8,35.85,1.419,2.177
25,15,20,40,6m-1m,1.779,53.69,30.18,1.32,1.878
20,5,35,40,12m-1m,1.779,53.66,30.16,1.303,1.913
15,5,70,10,12m-1m,1.778,67.48,37.97,1.438,2.279
20,0,40,40,12m,1.773,62.99,35.53,1.426,2.11
10,0,70,20,12m,1.773,74.4,41.97,1.537,2.454
10,5,35,50,6m-1m,1.772,57.83,32.63,1.35,2.016
25,5,30,40,6m-1m,1.771,52.16,29.45,1.289,1.884
0,15,40,45,12m,1.768,66.46,37.59,1.447,2.217
5,20,35,40,12m,1.766,61.1,34.6,1.35,2.056
25,0,50,25,12m,1.764,66.44,37.66,1.452,2.207
25,5,55,15,12m,1.761,57.95,32.91,1.344,2.044
5,25,20,50,12m,1.759,60.64,34.47,1.406,2.071
10,5,55,30,12m-1m,1.756,64.49,36.73,1.41,2.212
20,10,30,40,6m-1m,1.754,56.08,31.97,1.349,1.931
30,5,35,30,12m,1.753,50.2,28.63,1.25,1.824
25,10,20,45,6m-1m,1.753,47.78,27.26,1.238,1.755
5,20,45,30,12m-1m,1.751,61.28,34.99,1.357,2.102
5,5,70,20,12m-1m,1.75,70.71,40.41,1.477,2.331
5,15,25,55,6m-1m,1.749,54.51,31.16,1.309,1.873
20,0,50,30,12m-1m,1.745,66.85,38.3,1.472,2.271
15,5,50,30,12m-1m,1.744,62.11,35.61,1.394,2.117
20,5,30,45,12m-1m,1.744,49.2,28.22,1.23,1.732
15,10,35,40,12m-1m,1.741,59.41,34.12,1.376,2.0
5,20,50,25,12m,1.736,63.72,36.7,1.381,2.134
30,0,25,45,6m-1m,1.733,47.88,27.63,1.226,1.806
5,5,65,25,12m-1m,1.732,68.32,39.44,1.445,2.289
25,5,60,10,12m,1.73,56.87,32.88,1.325,2.01
20,0,55,25,12m,1.726,66.65,38.62,1.458,2.257
10,0,60,30,12m-1m,1.725,60.88,35.3,1.362,2.155
0,20,40,40,6m-1m,1.724,59.94,34.76,1.34,2.069
25,0,40,35,6m,1.721,52.31,30.39,1.267,1.883
20,0,70,10,6m-1m,1.72,66.1,38.44,1.43,2.263
5,25,40,30,12m,1.72,62.81,36.51,1.37,2.11
0,30,20,50,12m,1.719,62.54,36.38,1.443,2.19
15,0,40,45,12m,1.718,54.66,31.82,1.301,1.925
10,15,30,45,6m-1m,1.715,59.09,34.46,1.377,2.009
15,5,65,15,6m-1m,1.715,64.71,37.74,1.415,2.244
15,0,55,30,12m-1m,1.708,62.49,36.59,1.396,2.176
15,5,30,50,6m-1m,1.708,52.3,30.62,1.28,1.888
15,15,40,30,12m-1m,1.707,61.59,36.07,1.388,2.043
25,0,45,30,12m-1m,1.707,59.41,34.81,1.377,2.087
25,15,25,35,12m-1m,1.705,47.79,28.03,1.214,1.733
15,10,55,20,12m,1.703,59.7,35.06,1.338,2.07
5,20,50,25,12m-1m,1.7,59.66,35.1,1.329,2.127
0,20,50,30,6m,1.696,68.84,40.6,1.46,2.243
0,15,30,55,6m,1.695,64.11,37.82,1.428,2.14
0,30,30,40,12m,1.693,59.74,35.29,1.328,2.035
10,20,40,30,12m-1m,1.693,59.17,34.95,1.339,2.048
25,10,15,50,6m-1m,1.692,52.12,30.8,1.318,1.885
20,5,55,20,12m,1.69,60.65,35.88,1.367,2.105
5,15,45,35,12m-1m,1.688,59.08,35.01,1.333,2.056
0,10,50,40,12m,1.687,62.8,37.23,1.382,2.169
5,20,45,30,6m,1.685,64.74,38.43,1.41,2.141
0,30,20,50,12m-1m,1.685,52.06,30.9,1.275,1.902
30,5,40,25,12m-1m,1.683,54.14,32.17,1.307,1.981
10,10,50,30,12m-1m,1.683,65.21,38.74,1.437,2.239
30,5,35,30,12m-1m,1.681,48.95,29.12,1.247,1.843
5,15,45,35,6m,1.681,65.36,38.89,1.429,2.179
0,10,70,20,12m-1m,1.68,65.12,38.76,1.399,2.218
0,20,45,35,12m-1m,1.679,59.47,35.42,1.329,2.041
20,5,20,55,12m-1m,1.671,54.59,32.67,1.347,1.937
10,15,45,30,12m-1m,1.67,59.6,35.69,1.348,2.082
5,30,20,45,6m-1m,1.67,53.73,32.18,1.3,1.919
20,15,45,20,12m,1.67,54.5,32.64,1.277,1.929
5,0,70,25,12m-1m,1.669,72.6,43.5,1.51,2.413
10,10,60,20,12m,1.668,65.02,38.97,1.388,2.244
5,20,20,55,6m-1m,1.666,47.24,28.36,1.202,1.714
