v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
20,10,20,50,6m-1m,2.224,60.02,26.99,1.392,1.95
15,10,25,50,6m-1m,2.207,66.5,30.14,1.505,2.158
20,5,35,40,12m,2.139,70.97,33.18,1.541,2.312
20,15,25,40,12m-1m,2.098,64.64,30.81,1.483,2.186
15,5,30,50,6m-1m,2.059,70.39,34.19,1.555,2.233
20,0,40,40,12m,2.029,70.43,34.72,1.55,2.317
20,5,25,50,6m-1m,2.017,64.49,31.96,1.47,2.134
25,10,20,45,6m-1m,2.007,59.91,29.85,1.378,1.943
15,15,25,45,12m-1m,1.985,67.69,34.09,1.517,2.206
15,10,30,45,12m-1m,1.962,64.94,33.1,1.459,2.143
25,15,20,40,6m,1.96,54.68,27.9,1.288,1.856
10,10,30,50,12m-1m,1.948,71.05,36.47,1.529,2.244
20,5,30,45,12m,1.946,62.3,32.02,1.381,1.924
20,0,45,35,12m,1.937,69.03,35.64,1.522,2.265
15,10,35,40,12m,1.935,74.72,38.62,1.575,2.38
15,5,25,55,6m-1m,1.925,60.24,31.29,1.408,2.026
10,20,30,40,6m-1m,1.889,57.77,30.58,1.331,1.903
15,10,30,45,12m,1.881,61.93,32.92,1.399,2.077
25,20,20,35,12m-1m,1.881,52.89,28.11,1.315,1.899
20,15,20,45,6m-1m,1.874,57.35,30.61,1.375,1.927
20,0,45,35,12m-1m,1.873,73.85,39.43,1.616,2.421
20,15,25,40,6m-1m,1.869,56.25,30.1,1.345,1.931
15,20,25,40,12m,1.848,69.66,37.7,1.506,2.238
15,15,30,40,12m-1m,1.846,65.45,35.46,1.453,2.184
15,0,40,45,12m-1m,1.845,62.28,33.75,1.446,2.217
20,0,40,40,12m-1m,1.834,65.28,35.59,1.459,2.017
10,5,25,60,6m-1m,1.83,60.44,33.02,1.409,2.028
25,25,15,35,12m-1m,1.828,51.32,28.08,1.3,1.853
15,5,40,40,12m,1.827,72.18,39.5,1.554,2.329
20,10,30,40,12m-1m,1.825,60.36,33.08,1.384,1.944
15,0,50,35,12m,1.815,73.17,40.32,1.568,2.356
10,15,25,50,12m-1m,1.811,63.45,35.03,1.435,2.083
25,15,15,45,6m-1m,1.804,53.87,29.85,1.327,1.833
15,5,25,55,12m-1m,1.799,63.58,35.34,1.455,2.12
20,5,40,35,12m,1.796,69.42,38.65,1.527,2.237
15,0,45,40,12m,1.795,69.56,38.76,1.521,2.259
5,15,30,50,6m,1.782,62.35,35.0,1.399,2.044
15,15,25,45,6m-1m,1.779,53.67,30.18,1.308,1.87
0,30,15,55,6m-1m,1.75,52.42,29.95,1.285,1.812
20,5,20,55,6m-1m,1.75,55.29,31.59,1.32,1.858
5,25,20,50,12m-1m,1.749,56.61,32.36,1.347,1.997
20,5,30,45,6m-1m,1.748,59.26,33.91,1.373,1.889
20,10,20,50,6m,1.747,59.68,34.16,1.363,1.932
15,5,25,55,12m,1.746,62.33,35.7,1.41,2.059
20,10,30,40,12m,1.742,62.98,36.14,1.418,2.094
25,20,15,40,12m-1m,1.741,51.3,29.46,1.314,1.899
20,25,15,40,12m-1m,1.734,50.76,29.27,1.299,1.83
15,10,25,50,12m-1m,1.73,63.67,36.8,1.452,2.064
20,5,25,50,12m-1m,1.727,56.44,32.68,1.344,1.948
20,10,30,40,6m,1.726,55.65,32.24,1.316,1.937
15,0,30,55,6m-1m,1.72,61.07,35.5,1.409,2.032
25,15,15,45,12m-1m,1.72,55.82,32.45,1.383,1.951
15,15,25,45,12m,1.716,58.43,34.04,1.34,1.956
20,0,30,50,6m-1m,1.701,60.6,35.63,1.401,2.026
10,20,25,45,12m,1.699,64.83,38.16,1.454,2.151
20,0,35,45,12m,1.699,56.22,33.08,1.325,1.958
25,10,25,40,6m,1.696,45.32,26.73,1.144,1.665
10,0,30,60,12m,1.691,58.19,34.4,1.356,1.966
25,0,45,30,12m-1m,1.681,67.85,40.36,1.535,2.33
10,20,25,45,12m-1m,1.679,59.23,35.28,1.368,2.068
10,5,40,45,12m-1m,1.679,66.25,39.45,1.457,2.141
10,0,30,60,12m-1m,1.675,60.91,36.36,1.39,2.029
15,5,35,45,12m,1.675,66.46,39.69,1.473,2.228
10,5,45,40,12m,1.666,67.04,40.24,1.468,2.2
15,5,30,50,6m,1.664,55.69,33.47,1.307,1.854
15,0,30,55,12m,1.664,62.15,37.36,1.414,2.054
10,15,20,55,12m-1m,1.663,52.39,31.5,1.278,1.846
15,10,25,50,12m,1.656,55.53,33.52,1.322,1.899
15,5,45,35,12m,1.652,65.53,39.68,1.453,2.191
20,15,15,50,6m-1m,1.646,56.85,34.54,1.386,1.957
25,15,25,35,12m-1m,1.642,58.44,35.59,1.393,2.081
20,20,20,40,12m-1m,1.639,52.06,31.76,1.305,1.859
15,5,30,50,12m-1m,1.638,57.59,35.15,1.357,1.989
10,0,45,45,12m,1.637,67.51,41.25,1.481,2.165
10,10,40,40,12m,1.635,68.06,41.62,1.47,2.209
5,20,25,50,12m,1.633,57.26,35.07,1.336,2.009
10,10,40,40,12m-1m,1.632,65.86,40.35,1.437,2.208
20,0,50,30,12m,1.631,68.03,41.71,1.478,2.21
15,15,30,40,12m,1.631,61.26,37.57,1.384,2.058
20,5,35,40,12m-1m,1.63,55.56,34.1,1.312,1.828
5,0,35,60,12m,1.63,52.4,32.16,1.271,1.877
0,35,15,50,6m-1m,1.629,49.68,30.49,1.236,1.786
25,5,40,30,12m,1.628,63.87,39.24,1.467,2.15
15,10,20,55,12m-1m,1.626,60.94,37.48,1.417,1.99
30,0,20,50,6m-1m,1.622,51.67,31.85,1.285,1.839
10,10,35,45,12m-1m,1.621,65.89,40.64,1.44,2.108
10,10,25,55,12m-1m,1.617,55.43,34.27,1.315,1.862
0,25,25,50,6m,1.616,53.32,32.98,1.268,1.854
0,25,30,45,12m,1.613,57.12,35.41,1.296,1.959
20,10,25,45,6m,1.613,57.22,35.48,1.315,1.902
20,15,20,45,6m,1.611,55.66,34.55,1.304,1.881
25,20,20,35,12m,1.609,52.14,32.41,1.267,1.822
15,15,20,50,6m-1m,1.608,54.89,34.13,1.329,1.858
10,15,30,45,6m,1.606,55.32,34.44,1.3,1.936
0,30,20,50,12m-1m,1.603,63.06,39.33,1.431,2.189
0,20,35,45,6m,1.601,59.22,36.99,1.355,1.995
10,10,25,55,6m-1m,1.6,54.9,34.31,1.312,1.87
5,20,25,50,12m-1m,1.6,54.51,34.08,1.306,1.942
25,15,25,35,12m,1.6,52.79,32.99,1.286,1.894
15,0,35,50,6m,1.599,57.4,35.9,1.334,1.92
0,25,20,55,6m-1m,1.596,48.83,30.59,1.219,1.721
10,35,20,35,6m-1m,1.596,49.17,30.8,1.223,1.825
15,0,55,30,6m,1.596,76.93,48.2,1.635,2.433
10,20,20,50,6m-1m,1.594,56.51,35.46,1.351,1.928
15,0,30,55,12m-1m,1.591,57.73,36.29,1.345,2.001
5,10,25,60,6m-1m,1.59,55.4,34.84,1.323,1.886
15,0,35,50,6m-1m,1.589,62.02,39.02,1.418,2.05
10,15,25,50,12m,1.588,59.72,37.59,1.388,2.021
25,0,20,55,6m-1m,1.585,54.01,34.09,1.297,1.854
5,5,30,60,6m-1m,1.581,56.25,35.59,1.338,1.918
10,15,35,40,12m-1m,1.581,60.72,38.41,1.353,2.019
0,25,25,50,12m,1.579,59.98,37.99,1.372,2.097
20,0,35,45,12m-1m,1.578,57.0,36.11,1.358,2.046
30,0,20,50,12m-1m,1.577,47.51,30.12,1.225,1.648
0,30,25,45,12m-1m,1.576,57.19,36.29,1.32,2.026
20,0,30,50,12m,1.572,52.61,33.47,1.252,1.844
10,15,30,45,12m-1m,1.572,61.82,39.33,1.393,2.05
