v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,5,60,15,12m,5,8,3,,-0.2,,3.278,111.74,34.08,1.74,2.791,3.0
20,5,60,15,12m,5,8,3,,-0.2,0.6,3.278,111.74,34.08,1.74,2.791,3.0
20,5,60,15,12m,5,8,3,,-0.2,0.65,3.278,111.74,34.08,1.74,2.791,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.2,0.6,3.186,110.38,34.64,1.725,2.763,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.2,0.65,3.186,110.38,34.64,1.725,2.763,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.2,,3.186,110.38,34.64,1.725,2.763,3.0
20,5,60,15,12m,7,8,3,,-0.2,0.65,3.13,107.68,34.4,1.715,2.734,3.0
20,5,60,15,12m,7,8,3,,-0.2,0.6,3.13,107.68,34.4,1.715,2.734,3.0
20,5,60,15,12m,7,8,3,,-0.2,,3.13,107.68,34.4,1.715,2.734,3.0
20,5,60,15,12m,5,8,3,-0.08,-0.2,,3.066,106.71,34.8,1.69,2.711,3.0
20,5,60,15,12m,5,8,3,-0.08,-0.2,0.6,3.066,106.71,34.8,1.69,2.711,3.0
20,5,60,15,12m,5,8,3,-0.08,-0.2,0.65,3.066,106.71,34.8,1.69,2.711,3.0
20,5,60,15,12m,7,8,3,-0.1,-0.2,,3.034,106.13,34.98,1.697,2.702,3.0
20,5,60,15,12m,7,8,3,-0.1,-0.2,0.65,3.034,106.13,34.98,1.697,2.702,3.0
20,5,60,15,12m,7,8,3,-0.1,-0.2,0.6,3.034,106.13,34.98,1.697,2.702,3.0
20,5,60,15,12m-1m,5,12,3,-0.1,-0.15,0.6,3.014,101.77,33.77,1.657,2.748,3.0
20,5,60,15,12m-1m,5,12,3,-0.1,-0.15,,3.014,101.77,33.77,1.657,2.748,3.0
20,5,60,15,12m-1m,5,12,3,-0.1,-0.15,0.65,3.014,101.77,33.77,1.657,2.748,3.0
20,5,60,15,12m-1m,5,12,3,,-0.15,0.65,2.935,99.11,33.77,1.643,2.698,3.0
20,5,60,15,12m-1m,5,12,3,,-0.15,0.6,2.935,99.11,33.77,1.643,2.698,3.0
