v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
15,10,25,50,6m-1m,5,8,7,-0.12,-0.15,0.6,2.533,73.38,28.96,1.61,2.324,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,-0.15,0.65,2.533,73.38,28.96,1.61,2.324,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,-0.15,,2.533,73.38,28.96,1.61,2.324,5.2
15,10,25,50,6m-1m,5,8,5,-0.08,-0.15,0.65,2.51,79.81,31.8,1.669,2.424,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,-0.15,0.6,2.51,79.81,31.8,1.669,2.424,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,-0.15,,2.51,79.81,31.8,1.669,2.424,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.15,0.65,2.498,79.45,31.8,1.668,2.417,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.15,0.6,2.498,79.45,31.8,1.668,2.417,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.15,,2.498,79.45,31.8,1.668,2.417,4.8
15,10,25,50,6m-1m,5,8,7,-0.08,-0.15,,2.477,73.94,29.85,1.615,2.334,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,-0.15,0.65,2.477,73.94,29.85,1.615,2.334,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,-0.15,0.6,2.477,73.94,29.85,1.615,2.334,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,-0.15,,2.463,72.75,29.53,1.601,2.309,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,-0.15,0.6,2.463,72.75,29.53,1.601,2.309,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,-0.15,0.65,2.463,72.75,29.53,1.601,2.309,5.2
15,10,25,50,6m-1m,5,8,7,,-0.15,0.6,2.453,72.45,29.53,1.598,2.305,5.2
15,10,25,50,6m-1m,5,8,7,,-0.15,0.65,2.453,72.45,29.53,1.598,2.305,5.2
15,10,25,50,6m-1m,5,8,7,,-0.15,,2.453,72.45,29.53,1.598,2.305,5.2
20,10,20,50,6m-1m,5,8,7,-0.12,-0.15,,2.436,61.88,25.4,1.428,2.0,5.2
20,10,20,50,6m-1m,5,8,7,-0.12,-0.15,0.65,2.436,61.88,25.4,1.428,2.0,5.2
20,10,20,50,6m-1m,5,8,7,-0.12,-0.15,0.6,2.436,61.88,25.4,1.428,2.0,5.2
15,10,25,50,6m-1m,5,8,5,-0.12,-0.15,0.65,2.435,77.82,31.96,1.645,2.376,4.8
15,10,25,50,6m-1m,5,8,5,-0.12,-0.15,,2.435,77.82,31.96,1.645,2.376,4.8
15,10,25,50,6m-1m,5,8,5,-0.12,-0.15,0.6,2.435,77.82,31.96,1.645,2.376,4.8
20,15,25,40,12m-1m,5,8,5,-0.08,,,2.413,70.55,29.24,1.56,2.345,4.8
