v,q,g,m,g_rev,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings,wf_avg_calmar,WF1_calmar,WF2_calmar,WF3_calmar
25,0,55,20,0.3,12m,3,4,3,-0.08,-0.2,,2.063,93.01,45.09,1.531,2.441,2.7,13.602333333333334,3.206,20.742,16.859
25,0,50,25,0.3,12m-1m,3,4,7,,-0.2,,2.067,99.03,47.91,1.635,2.578,2.9,10.342,5.097,14.212,11.717
25,0,50,25,0.3,12m-1m,3,4,5,,-0.2,,2.067,99.03,47.91,1.635,2.578,2.9,10.342,5.097,14.212,11.717
25,0,50,25,0.3,12m-1m,3,4,5,,-0.15,,2.138,98.9,46.25,1.631,2.56,2.9,10.124666666666668,4.889,13.88,11.605
25,0,50,25,0.3,12m-1m,3,4,7,,-0.15,,2.138,98.9,46.25,1.631,2.56,2.9,10.124666666666668,4.889,13.88,11.605
25,0,50,25,0.3,12m-1m,3,4,5,-0.12,-0.15,,2.104,97.29,46.25,1.614,2.528,2.9,9.037666666666667,4.889,11.146,11.078
25,0,50,25,0.3,12m-1m,3,4,7,-0.12,-0.15,,2.104,97.29,46.25,1.614,2.528,2.9,9.037666666666667,4.889,11.146,11.078
5,15,40,40,0.4,6m,7,12,5,,,,2.241,76.95,34.33,1.587,2.462,5.0,9.020666666666665,1.459,11.92,13.683
25,0,50,25,0.3,12m-1m,3,4,7,-0.1,-0.15,,2.089,96.63,46.25,1.606,2.518,2.8,8.999666666666668,4.721,11.146,11.132
25,0,50,25,0.3,12m-1m,3,4,5,-0.1,-0.15,,2.089,96.63,46.25,1.606,2.518,2.8,8.999666666666668,4.721,11.146,11.132
25,5,45,25,0.3,12m,5,12,5,-0.12,,,2.085,70.88,33.99,1.522,2.292,4.9,8.688666666666668,2.249,9.56,14.257
25,5,45,25,0.3,12m,5,12,5,-0.08,,,2.055,68.53,33.35,1.495,2.266,4.9,8.612,2.334,10.041,13.461
5,10,45,40,0.3,6m,7,12,5,-0.12,-0.15,0.65,2.19,78.73,35.94,1.62,2.543,5.0,8.539666666666667,2.552,9.715,13.352
25,0,55,20,0.3,12m,5,15,7,-0.12,,,2.061,63.0,30.56,1.457,2.209,6.0,8.474666666666666,1.73,11.829,11.865
10,10,40,40,0.3,6m,7,15,5,,,,2.16,79.24,36.69,1.621,2.557,5.0,8.429,1.467,9.941,13.879
5,10,45,40,0.3,6m,7,12,5,-0.12,-0.15,,2.063,76.46,37.06,1.563,2.42,5.0,8.398000000000001,2.205,11.029,11.96
5,10,45,40,0.3,6m,7,12,5,-0.1,-0.15,,2.152,79.73,37.06,1.609,2.492,5.0,8.237333333333334,2.181,10.775,11.756
5,10,45,40,0.3,6m,7,12,5,-0.1,-0.15,0.65,2.362,82.03,34.73,1.663,2.607,5.0,8.135666666666667,2.525,8.616,13.266
25,5,45,25,0.3,12m,5,12,5,,,,2.099,70.05,33.37,1.518,2.303,4.9,8.017000000000001,2.694,8.489,12.868
5,10,45,40,0.3,6m,7,12,5,,-0.15,0.65,2.175,78.47,36.08,1.619,2.539,5.0,7.974666666666667,2.668,8.578,12.678
25,15,25,35,0.3,12m,5,8,7,-0.08,,,2.409,71.83,29.82,1.546,2.295,5.2,7.640666666666667,2.217,12.554,8.151
25,15,25,35,0.3,12m,5,8,7,-0.12,,,2.388,71.47,29.92,1.545,2.292,5.2,7.611,2.161,12.532,8.14
5,10,45,40,0.3,6m,7,12,5,-0.08,-0.15,0.65,2.488,86.4,34.73,1.719,2.685,5.0,7.582999999999999,2.714,7.723,12.312
25,15,25,35,0.3,12m,5,8,7,-0.1,,,2.25,70.26,31.22,1.525,2.261,5.2,7.556333333333334,1.997,12.532,8.14
25,15,25,35,0.3,12m,5,8,7,,-0.2,,2.628,73.31,27.9,1.571,2.334,5.2,7.549666666666667,2.267,12.285,8.097
25,15,25,35,0.3,12m,5,8,7,-0.08,-0.2,,2.41,71.87,29.82,1.547,2.297,5.2,7.544333333333334,2.217,12.308,8.108
25,15,25,35,0.3,12m,5,8,7,,,,2.595,72.41,27.9,1.56,2.313,5.3,7.543,2.115,12.428,8.086
25,15,25,35,0.3,12m,5,8,7,-0.12,-0.2,,2.399,71.79,29.92,1.55,2.3,5.2,7.531333333333333,2.212,12.285,8.097
5,15,40,40,0.4,6m,7,12,5,-0.1,-0.15,0.65,2.3,78.7,34.21,1.624,2.515,5.0,7.510000000000001,2.438,8.228,11.864
25,0,55,20,0.3,12m,5,15,7,-0.08,,,2.094,63.41,30.28,1.463,2.214,5.9,7.489999999999999,1.734,9.614,11.122
5,15,40,40,0.4,6m,7,12,5,-0.12,-0.15,0.65,2.306,74.53,32.31,1.57,2.427,5.0,7.474666666666667,2.332,8.228,11.864
25,15,25,35,0.3,12m,5,8,7,-0.1,-0.2,,2.25,70.26,31.22,1.525,2.262,5.2,7.4576666666666656,1.991,12.285,8.097
25,15,25,35,0.3,12m,5,8,7,-0.08,-0.15,,2.366,71.5,30.22,1.537,2.277,5.2,7.401666666666666,2.427,11.879,7.899
15,15,30,40,0.4,6m-1m,5,8,7,-0.08,-0.2,,2.103,66.56,31.66,1.475,2.227,5.2,7.351666666666667,0.511,10.47,11.074
10,10,35,45,0.3,6m-1m,7,12,5,,,,2.074,74.04,35.69,1.58,2.376,5.0,7.347666666666666,1.142,8.257,12.644
25,10,30,35,0.3,12m,5,8,5,-0.1,-0.15,,2.079,69.92,33.64,1.49,2.25,4.8,7.336000000000001,2.172,10.692,9.144
25,15,25,35,0.3,12m,5,8,7,,-0.15,,2.482,72.01,29.01,1.552,2.295,5.2,7.298333333333333,2.251,11.858,7.786
25,10,30,35,0.3,12m,5,8,5,-0.08,-0.15,,2.229,71.13,31.91,1.509,2.268,4.8,7.297000000000001,2.288,10.55,9.053
25,15,25,35,0.3,12m,5,8,7,-0.12,-0.15,,2.327,70.56,30.32,1.53,2.264,5.2,7.295333333333335,2.242,11.858,7.786
25,10,30,35,0.3,12m,5,8,5,-0.12,,,2.184,71.84,32.89,1.52,2.298,4.8,7.294333333333333,1.83,10.844,9.209
25,10,30,35,0.3,12m,5,8,5,-0.08,,,2.255,71.96,31.91,1.524,2.3,4.8,7.292666666666666,2.058,10.701,9.119
25,10,30,35,0.3,12m,5,8,7,-0.12,-0.2,,2.253,68.75,30.51,1.483,2.219,5.2,7.288,2.305,10.903,8.656
25,10,30,35,0.3,12m,5,8,7,-0.12,,,2.249,68.64,30.51,1.486,2.227,5.2,7.281,2.309,10.932,8.602
25,15,25,35,0.3,12m,5,8,7,-0.1,-0.15,,2.199,69.5,31.61,1.51,2.234,5.2,7.272666666666667,2.192,11.858,7.768
15,15,30,40,0.4,6m-1m,5,8,7,-0.1,-0.15,,2.182,69.37,31.79,1.522,2.3,5.2,7.267333333333333,0.996,10.145,10.661
25,10,30,35,0.3,12m,5,8,7,,-0.2,,2.277,69.48,30.51,1.494,2.238,5.2,7.262666666666667,2.379,10.81,8.599
15,15,30,40,0.4,6m-1m,5,8,7,-0.08,-0.15,,2.219,69.64,31.38,1.523,2.305,5.2,7.262333333333333,0.981,10.145,10.661
25,10,30,35,0.3,12m,5,8,7,,-0.15,,2.344,71.38,30.46,1.521,2.281,5.1,7.260666666666666,2.537,10.678,8.567
25,10,30,35,0.3,12m,5,8,7,-0.1,-0.2,,2.235,68.2,30.51,1.471,2.202,5.2,7.251333333333334,2.281,10.903,8.57
15,15,30,40,0.4,6m-1m,5,8,7,-0.12,-0.15,,2.174,69.33,31.89,1.521,2.3,5.2,7.248333333333332,1.121,10.043,10.581
