v,q,g,m,g_rev,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings,wf_avg_calmar,WF1_calmar,WF2_calmar,WF3_calmar,stability
15,15,30,40,0.4,6m-1m,5,8,7,-0.08,-0.15,,2.219,69.64,31.38,1.523,2.305,5.2,7.262333333333333,0.981,10.145,10.661,20.588235294117645
25,15,25,35,0.3,12m,5,8,7,,-0.2,,2.628,73.31,27.9,1.571,2.334,5.2,7.549666666666667,2.267,12.285,8.097,17.647058823529413
25,15,25,35,0.3,12m,5,8,7,-0.12,-0.2,,2.399,71.79,29.92,1.55,2.3,5.2,7.531333333333333,2.212,12.285,8.097,17.647058823529413
15,15,30,40,0.4,6m-1m,5,8,7,-0.1,-0.15,,2.182,69.37,31.79,1.522,2.3,5.2,7.267333333333333,0.996,10.145,10.661,17.647058823529413
15,15,30,40,0.4,6m-1m,5,8,7,-0.12,-0.15,,2.174,69.33,31.89,1.521,2.3,5.2,7.248333333333332,1.121,10.043,10.581,17.647058823529413
25,0,55,20,0.3,12m,5,15,7,-0.08,,,2.094,63.41,30.28,1.463,2.214,5.9,7.489999999999999,1.734,9.614,11.122,16.0
5,15,40,40,0.4,6m,7,12,5,,,,2.241,76.95,34.33,1.587,2.462,5.0,9.020666666666665,1.459,11.92,13.683,14.705882352941178
10,10,40,40,0.3,6m,7,15,5,,,,2.16,79.24,36.69,1.621,2.557,5.0,8.429,1.467,9.941,13.879,14.705882352941178
25,15,25,35,0.3,12m,5,8,7,-0.08,,,2.409,71.83,29.82,1.546,2.295,5.2,7.640666666666667,2.217,12.554,8.151,14.705882352941178
25,15,25,35,0.3,12m,5,8,7,-0.12,,,2.388,71.47,29.92,1.545,2.292,5.2,7.611,2.161,12.532,8.14,14.705882352941178
25,15,25,35,0.3,12m,5,8,7,-0.1,,,2.25,70.26,31.22,1.525,2.261,5.2,7.556333333333334,1.997,12.532,8.14,14.705882352941178
