defense,offense,rule,approx_cal,calmar,cagr,mdd,sharpe,sortino,boost
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,6.001325796334962,6.16,164.48,26.7,2.424,3.892,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KQ60_1d,5.7318769866867365,6.011,150.95,25.11,2.305,3.607,56.95415695415696
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,6.2228188106789135,5.961,157.55,26.43,2.336,3.608,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_3d+VIX25_1d,5.964843055955446,5.894,152.15,25.81,2.361,3.723,48.25174825174825
V20Q10G30M40 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,KQ60_1d,5.277651365436344,5.842,146.72,25.11,2.243,3.553,56.95415695415696
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_1d,5.873870050629566,5.811,150.02,25.81,2.321,3.534,48.717948717948715
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,KP120_3d+VIX25_1d,5.907755919599731,5.797,156.95,27.07,2.31,3.828,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_3d+VIX25_1d,5.833075509744726,5.781,149.22,25.81,2.312,3.673,48.562548562548564
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,KQ60_1d,5.360874310844241,5.768,146.55,25.41,2.258,3.541,56.95415695415696
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,5.606064264033001,5.727,142.61,24.9,2.267,3.506,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_5d,5.948459323605983,5.708,155.94,27.32,2.305,3.638,59.44055944055944
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KQ60_1d,5.2873289921192885,5.681,142.66,25.11,2.216,3.488,56.95415695415696
V20Q10G30M40 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_3d+VIX25_1d,5.4664443672211664,5.661,142.8,25.23,2.25,3.618,48.25174825174825
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,KK120_3d+VIX25_1d,5.806600305831474,5.656,146.0,25.81,2.262,3.698,48.25174825174825
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.647236924454413,5.637,151.47,26.87,2.284,3.64,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.66740358385994,5.604,150.25,26.81,2.27,3.545,59.28515928515928
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_5d,5.486217835293727,5.599,149.52,26.7,2.305,3.7,57.73115773115774
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.518474458510344,5.591,140.42,25.11,2.161,3.404,59.28515928515928
V15Q20G15M50 g0.9 6m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.602917216944002,5.571,141.57,25.41,2.212,3.612,67.75446775446775
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,5.462574935792367,5.529,138.86,25.11,2.171,3.348,55.011655011655016
V20Q10G30M40 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,5.295365259863805,5.524,147.5,26.7,2.256,3.683,55.16705516705517
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_3d+VIX25_1d,5.284299047699544,5.485,137.75,25.11,2.207,3.536,48.562548562548564
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,5.5719698705020075,5.483,146.41,26.7,2.281,3.661,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_5d,5.7982805965775555,5.439,148.62,27.32,2.194,3.708,59.44055944055944
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_5d,5.531965242700825,5.437,147.77,27.18,2.283,3.625,59.44055944055944
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.5507198110198415,5.436,148.79,27.37,2.258,3.602,59.20745920745921
V20Q10G30M40 g0.7 6m-1m,V25Q0G55M20 g0.3 12m,KK120_3d+VIX25_1d,5.316885096370872,5.426,136.87,25.23,2.155,3.588,48.25174825174825
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.451035666017294,5.413,147.28,27.21,2.249,3.519,59.28515928515928
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.5226271431845975,5.388,144.79,26.87,2.272,3.572,59.28515928515928
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.669136478344076,5.38,145.49,27.04,2.275,3.633,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_7d,5.459884332272175,5.374,145.2,27.02,2.181,3.728,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_45_3d,5.578920251398735,5.359,138.35,25.81,2.215,3.402,50.815850815850816
