defense,offense,rule,calmar,cagr,mdd,sharpe,sortino,boost
V20Q10G20M50 6m-1m,V20Q0G70M10 12m,B126_40+VIX30_3d,6.145,160.27,26.08,2.3,3.567,58.27505827505828
V20Q10G20M50 6m-1m,V20Q0G70M10 12m,B126_40_3d,6.114,159.48,26.08,2.287,3.564,59.28515928515928
V20Q5G25M50 6m-1m,V10Q0G70M20 12m-1m,KP120_3d,5.97,172.0,28.81,2.422,3.922,57.88655788655789
V20Q10G20M50 6m-1m,V10Q0G70M20 12m-1m,KK120_3d,5.951,160.42,26.96,2.328,3.687,50.815850815850816
V20Q5G25M50 6m-1m,V20Q0G70M10 12m,B126_40+VIX30_3d,5.923,170.7,28.82,2.408,3.808,58.27505827505828
V25Q10G20M45 6m-1m,V20Q0G70M10 12m,B126_40+VIX30_3d,5.922,151.43,25.57,2.212,3.35,58.27505827505828
V15Q10G25M50 6m-1m,V10Q0G70M20 12m-1m,KK120_3d,5.912,171.25,28.96,2.42,3.909,50.815850815850816
V20Q10G20M50 6m-1m,V10Q0G70M20 12m-1m,KP120_3d,5.851,162.12,27.71,2.304,3.689,57.88655788655789
V20Q10G20M50 6m-1m,V20Q0G70M10 12m,B126_40+HY5_3d,5.818,151.76,26.08,2.223,3.466,58.89665889665889
V20Q5G25M50 6m-1m,V10Q0G70M20 12m-1m,KK120_3d,5.793,172.34,29.75,2.471,3.963,50.815850815850816
V20Q5G25M50 6m-1m,V20Q0G70M10 12m,B126_40_3d,5.778,166.5,28.82,2.372,3.757,59.28515928515928
V25Q10G20M45 6m-1m,V10Q0G70M20 12m-1m,KP120_3d,5.715,154.74,27.07,2.237,3.517,57.88655788655789
V15Q10G25M50 6m-1m,V20Q0G70M10 12m,B126_40+VIX30_3d,5.701,163.58,28.69,2.333,3.695,58.27505827505828
V25Q10G20M45 6m-1m,V20Q0G70M10 12m,B126_40_3d,5.678,145.17,25.57,2.154,3.276,59.28515928515928
V15Q10G25M50 6m-1m,V10Q0G70M20 12m-1m,KP120_3d,5.641,168.62,29.89,2.363,3.845,57.88655788655789
V20Q10G20M50 6m-1m,V20Q0G65M15 12m,B126_40_3d,5.546,144.67,26.08,2.161,3.412,59.28515928515928
V15Q10G25M50 6m-1m,V20Q0G70M10 12m,B126_40_3d,5.524,158.48,28.69,2.288,3.632,59.28515928515928
V20Q5G25M50 6m-1m,V20Q0G70M10 12m,B126_40+HY5_3d,5.49,158.21,28.82,2.305,3.65,58.89665889665889
V20Q10G20M50 6m-1m,V20Q0G65M15 12m,B126_40+HY5_3d,5.484,143.05,26.08,2.151,3.388,58.89665889665889
V20Q10G20M50 6m-1m,V20Q0G65M15 12m,KK120_3d,5.479,144.45,26.37,2.168,3.491,50.815850815850816
V25Q10G20M45 6m-1m,V20Q0G70M10 12m,B126_40+HY5_3d,5.462,139.67,25.57,2.106,3.203,58.89665889665889
V20Q10G20M50 6m-1m,V20Q0G65M15 12m,B126_40+VIX30_3d,5.446,142.05,26.08,2.143,3.375,58.27505827505828
V20Q5G25M50 6m-1m,V20Q0G70M10 12m,KP120_3d,5.437,156.65,28.81,2.322,3.763,57.88655788655789
V25Q10G20M45 6m-1m,V10Q0G70M20 12m-1m,KK120_3d,5.375,147.71,27.48,2.21,3.455,50.815850815850816
